DATI MISURA

Inizio misura: 29/10/2021 17:20:51
Tempo di acquisizione (sec): 337491.07
Eventi acquisiti: 33358

TDC QDC1 QDC2
3.002843555659143e-06 -2.529166e-09 -2.549999e-09
2.438193617853978e-06 -4.911459e-09 -4.773959e-09
9.953983689218988e-07 -6.859376e-09 -4.26875e-09
3.477730680872114e-07 -2.6260409999999997e-09 -2.6374990000000006e-09
1.5437632111757568e-06 -4.6520839999999995e-09 -4.063542e-09
7.484006685408078e-06 -2.833333e-09 -2.730208e-09
4.495638722859492e-06 -2.837499e-09 -2.702083e-09
2.0733455507227567e-06 -5.2510419999999995e-09 -6.5552100000000006e-09
2.50425409860688e-06 -2.920833e-09 -2.837499e-09
7.481774427345759e-06 -2.9031240000000002e-09 -2.9187490000000006e-09
1.5078408421249724e-06 -2.8187490000000005e-09 -2.778124e-09
9.63940378138774e-06 -2.7239580000000004e-09 -2.739583e-09
3.4681488497615365e-07 -2.549999e-09 -2.539583e-09
9.971517713686679e-06 -2.6677080000000003e-09 -2.597916e-09
7.81437048322624e-06 -2.658333e-09 -2.630208e-09
6.6533140972664834e-06 -2.8916659999999998e-09 -2.8239580000000004e-09
3.831560485596611e-06 -7.19896e-09 -5.378126e-09
5.823462153045235e-06 -2.608333e-09 -2.5999990000000002e-09
9.80608054997413e-06 -2.9468749999999997e-09 -2.804166e-09
8.148618363079434e-06 -3.0364580000000003e-09 -3.011458e-09
8.479339021802188e-06 -3.0062499999999996e-09 -2.9249990000000002e-09
3.498132624046556e-06 -2.8322909999999994e-09 -2.814583e-09
2.836855240432292e-06 -2.919791e-09 -2.9572909999999997e-09
1.5086091521144388e-06 -2.5416660000000004e-09 -2.556249e-09
7.815532774587682e-06 -2.8322909999999994e-09 -2.683333e-09
9.63929725034212e-06 -3.048958e-09 -3.05e-09
2.7684010644900997e-06 -7.618751999999999e-09 -5.545834e-09
9.307344927876349e-06 -2.666666e-09 -2.6333329999999998e-09
4.1647843962496994e-06 -2.8281240000000004e-09 -2.6291659999999995e-09
4.683682991784166e-06 -9.013544e-09 -4.31875e-09
7.712798382586489e-07 -9.673961e-09 -4.135417e-09
1.0304708173657846e-05 -2.6677080000000003e-09 -2.711458e-09
3.82369625695482e-06 -4.371875e-09 -3.938542e-09
7.733100130313255e-07 -4.41875e-09 -4.733334e-09
1.3528894589760707e-06 -5.211458999999999e-09 -5.451042e-09
3.926744983332285e-07 -5.437501e-09 -5.7520839999999995e-09
5.3254709715962925e-06 -2.581249e-09 -2.579166e-09
1.0110407861584802e-06 -2.98125e-09 -2.833333e-09
3.455162916621456e-07 -3.0916659999999995e-09 -3.1062499999999997e-09
1.5563143240535694e-06 -4.68125e-09 -3.508333e-09
7.3169792448181196e-06 -2.8697909999999998e-09 -2.845833e-09
1.3423691096477773e-06 -5.990626e-09 -3.64375e-09
9.639731263999978e-06 -3.0062499999999996e-09 -2.8968740000000006e-09
1.6753223022364995e-06 -2.904166e-09 -2.872916e-09
