DATI MISURA

Inizio misura: 04/11/2021 17:46:21
Tempo di acquisizione (sec): 324871.0
Eventi acquisiti: 27481

TDC QDC1 QDC2
1.3203937753103375e-06 -3.0666659999999997e-09 -3.0364580000000003e-09
7.121587540920767e-06 -3.0822909999999996e-09 -3.054166e-09
2.5440313021595238e-06 -3.040625e-09 -3.0583330000000003e-09
3.0914822109518304e-07 -3.840625e-09 -3.585417e-09
4.424325729999693e-06 -3.63125e-09 -4.632292000000001e-09
8.344759572294209e-06 -3.01875e-09 -3.076041e-09
3.1526696810302195e-06 -3.0520829999999998e-09 -3.061458e-09
7.12895663443306e-07 -2.990625e-09 -2.9854159999999998e-09
1.3205162561602565e-06 -3.054166e-09 -3.026041e-09
1.6058138235562696e-06 -7.520835e-09 -3.4770830000000003e-09
4.832111704947027e-06 -3.0333330000000004e-09 -2.954166e-09
2.2355667393475677e-06 -3.0520829999999998e-09 -3.0520829999999998e-09
4.0646090517236745e-07 -3.070833e-09 -3.072916e-09
2.236281077942498e-06 -6.454168e-09 -3.852083e-09
6.664629992940715e-06 -3.070833e-09 -3.0625e-09
1.4736916261630253e-06 -3.034375e-09 -3.0625e-09
9.412718727724975e-06 -3.057291e-09 -3.0552079999999996e-09
2.542051643468756e-06 -3.054166e-09 -3.042708e-09
7.118690226809253e-07 -3.0552079999999996e-09 -3.0375000000000003e-09
7.732130318885798e-06 -2.992708e-09 -3.0364580000000003e-09
6.052207920595927e-06 -3.0239579999999997e-09 -2.989583e-09
6.970299796302414e-06 -3.0822909999999996e-09 -3.0104159999999996e-09
2.5410859894374802e-06 -3.054166e-09 -3.0625e-09
2.0837986891322744e-06 -2.997916e-09 -3.0656250000000004e-09
7.732261616585513e-06 -3.061458e-09 -3.0447909999999993e-09
5.134637354045819e-06 -2.994791e-09 -3.078125e-09
6.6635753807808755e-06 -3.070833e-09 -3.092708e-09
4.984519254767205e-06 -2.996875e-09 -3.0375000000000003e-09
8.038246453189626e-06 -3.0166659999999996e-09 -2.972916e-09
6.206114134434557e-06 -2.9666659999999996e-09 -3.0125e-09
1.169932909064683e-06 -3.0625e-09 -3.022916e-09
1.0153297853250317e-06 -2.996875e-09 -2.970833e-09
2.7970177566783643e-07 -3.570833e-09 -3.490625e-09
5.898199868121893e-06 -3.01875e-09 -3.0583330000000003e-09
8.618566212612454e-07 -3.004166e-09 -2.9552080000000004e-09
2.5400928878458587e-06 -3.059375e-09 -3.053125e-09
1.7394548027493965e-07 -2.361355e-08 -5.264584e-09
4.832822306948734e-06 -3.020833e-09 -3.0125e-09
9.350977714372197e-07 -4.225e-09 -3.64375e-09
3.153169997551725e-06 -3.085416e-09 -3.0739579999999998e-09
3.303593143549633e-06 -3.022916e-09 -3.04375e-09
2.5199053141091436e-07 -3.0697909999999995e-09 -3.0145830000000003e-09
4.985703154963081e-06 -3.040625e-09 -3.0520829999999998e-09
1.77666613360666e-06 -3.01875e-09 -2.9416659999999994e-09
