DATI MISURA

Inizio misura: 09/11/2021 18:02:06
Tempo di acquisizione (sec): 246105.6
Eventi acquisiti: 24429

TDC QDC1 QDC2
9625037.091247825 -2.759374e-09 -2.8010409999999996e-09
9625037.091248177 -7.878126999999999e-09 -5.293751e-09
9625037.091250584 -3.0052080000000004e-09 -3.01875e-09
9625037.091254998 -2.6791659999999995e-09 -2.716666e-09
9625037.091246445 -2.731249e-09 -2.7906240000000005e-09
9625037.091250034 -2.7937490000000003e-09 -2.884374e-09
9625037.091254998 -3.039583e-09 -3.026041e-09
9625037.09124896 -8.471877e-09 -6.165626e-09
9625037.091249894 -2.6093739999999997e-09 -2.5333329999999997e-09
9625037.091254722 -2.665624e-09 -2.8833330000000003e-09
9625037.091248374 -2.9749999999999998e-09 -2.8999990000000004e-09
9625037.09124948 -2.804166e-09 -2.7572909999999996e-09
9625037.091248244 -4.90625e-09 -5.204167000000001e-09
9625037.091252515 -2.635416e-09 -2.6677080000000003e-09
9625037.091253206 -2.598958e-09 -2.7177080000000003e-09
9625037.091253342 -2.967708e-09 -2.8479159999999998e-09
9625037.091246696 -6.210418000000001e-09 -4.064583e-09
9625037.091252377 -2.7718740000000003e-09 -2.7343740000000004e-09
9625037.09125086 -2.6916659999999996e-09 -2.736458e-09
9625037.091254171 -2.970833e-09 -2.945833e-09
9625037.091252927 -2.753124e-09 -2.7510409999999995e-09
9625037.091247112 -4.475e-09 -4.161458e-09
9625037.091247134 -2.7374990000000006e-09 -2.6927080000000005e-09
9625037.091247011 -9.297919e-09 -6.991668000000001e-09
9625037.091255134 -2.9468749999999997e-09 -2.8697909999999998e-09
9625037.09125279 -2.678124e-09 -2.727083e-09
9625037.091250446 -2.9385409999999996e-09 -2.976041e-09
9625037.091246974 -6.7916680000000006e-09 -4.875e-09
9625037.091247411 -3.0291659999999998e-09 -2.989583e-09
9625037.091254307 -2.919791e-09 -2.886458e-09
9625037.091252929 -2.9468749999999997e-09 -2.894791e-09
9625037.091249065 -3.0666659999999997e-09 -2.99375e-09
9625037.091251686 -2.5333329999999997e-09 -2.6135410000000004e-09
9625037.091247993 -4.633334e-09 -4.30625e-09
9625037.091248516 -2.8656240000000003e-09 -2.839583e-09
9625037.091253066 -2.917708e-09 -2.876041e-09
9625037.091254722 -2.562499e-09 -2.574999e-09
9625037.091247521 -5.101042e-09 -4.740625e-09
9625037.091254307 -2.6593740000000005e-09 -2.786458e-09
9625037.091249986 -6.041668e-09 -4.217708e-09
9625037.091254583 -2.9239579999999997e-09 -2.8822909999999995e-09
9625037.091252375 -2.894791e-09 -2.7739580000000004e-09
9625037.09124672 -2.8739580000000005e-09 -2.9291659999999997e-09
9625037.091246653 -6.700001e-09 -4.854167e-09
9625037.09125086 -2.96875e-09 -2.926041e-09
9625037.091252929 -2.529166e-09 -2.5604160000000005e-09
9625037.091251135 -3.0020829999999998e-09 -2.9822909999999995e-09
9625037.091254583 -2.928125e-09 -2.922916e-09
