DATI MISURA

Inizio misura: 19/11/2021 17:04:08
Tempo di acquisizione (sec): 248946.7
Eventi acquisiti: 24936

TDC QDC1 QDC2
2.8913414088776575e-06 -2.678124e-09 -2.552083e-09
6.070392480526056e-07 -4.469792e-09 -3.812499999999999e-09
1.6596243790381757e-07 -6.9447930000000005e-09 -3.320833e-09
1.2518833999320247e-06 -5.663541999999999e-09 -5.558334000000001e-09
5.58592921063475e-06 -2.508333e-09 -2.5145830000000004e-09
6.355719390930609e-06 -2.549999e-09 -2.605208e-09
8.152198396388062e-06 -2.502083e-09 -2.502083e-09
3.402065511651391e-06 -2.508333e-09 -2.504166e-09
6.355865482940131e-06 -2.481249e-09 -2.495833e-09
1.8647335508145686e-06 -2.7072909999999996e-09 -2.708333e-09
2.1186720627326905e-06 -2.5145830000000004e-09 -2.4979160000000004e-09
6.225018921127817e-06 -2.602083e-09 -2.808333e-09
6.753624774706506e-08 -2.5145830000000004e-09 -2.508333e-09
3.314068233080886e-07 -5.855209e-09 -4.466667e-09
3.890212400922259e-06 -6.571876e-09 -5.864584e-09
2.0331009168577204e-06 -4.4604170000000005e-09 -5.005209e-09
1.7370074526292938e-06 -2.4979160000000004e-09 -2.4999989999999997e-09
3.4757550544381202e-06 -7.807293e-09 -4.717709e-09
1.8648583847705983e-06 -2.511458e-09 -2.4999989999999997e-09
1.4337214645782036e-06 -7.590627e-09 -3.772917e-09
7.381630716975906e-06 -2.479166e-09 -2.4874989999999996e-09
4.815128185844637e-06 -2.581249e-09 -2.603124e-09
1.1861223269389403e-06 -7.719793e-09 -3.933333e-09
6.354055251063359e-06 -2.529166e-09 -2.527083e-09
9.66237546919958e-07 -2.7510409999999995e-09 -2.833333e-09
4.746322689859976e-06 -5.408334e-09 -4.397917000000001e-09
9.655607717628476e-07 -2.504166e-09 -2.504166e-09
6.994602502802138e-06 -2.5104160000000005e-09 -2.512499e-09
3.937636925443138e-06 -4.5260420000000004e-09 -4.507292000000001e-09
1.969313283841582e-06 -5.287501e-09 -4.428125e-09
3.9903575779474615e-07 -8.596877000000001e-09 -5.1635419999999995e-09
7.464486740121325e-07 -5.1322920000000005e-09 -6.067709e-09
6.482803366987369e-06 -2.7041659999999993e-09 -2.739583e-09
9.427922099683132e-07 -4.4947920000000006e-09 -4.244792000000001e-09
7.637296218335076e-06 -2.5187489999999995e-09 -2.508333e-09
1.6215935115069758e-07 -4.2375e-09 -3.8416669999999995e-09
1.2242424961556703e-06 -2.731249e-09 -2.698958e-09
3.25265430875528e-07 -2.522916e-09 -2.5354160000000003e-09
3.147295970333863e-06 -4.46875e-09 -4.45e-09
7.893564932137583e-06 -2.5416660000000004e-09 -2.5916660000000004e-09
2.2492584045161862e-06 -2.527083e-09 -2.502083e-09
4.301509362932122e-06 -2.561458e-09 -2.619791e-09
2.76231814747742e-06 -2.5062489999999998e-09 -2.502083e-09
7.089985166304095e-07 -2.658333e-09 -2.6624990000000004e-09
