DATI MISURA

Inizio misura: 21/10/2022 16:19:57
Tempo di acquisizione (sec): 502837.2
Eventi acquisiti: 48440

TDC QDC1 QDC2
3.453684564012384e-06 -3.122916e-09 -3.117708e-09
8.765963329078373e-07 -5.197917e-09 -6.019793e-09
9.520210484176352e-06 -3.336458e-09 -3.336458e-09
4.0910036268613365e-06 -3.11875e-09 -3.1125e-09
8.56282176726229e-06 -3.351041e-09 -3.314583e-09
2.144170865272337e-06 -6.462501e-09 -4.476042e-09
1.15582045757647e-06 -5.765626e-09 -4.740625e-09
6.0071185584494105e-06 -3.114583e-09 -3.122916e-09
9.66016600721785e-07 -5.627084e-09 -5.696876e-09
2.136109573287862e-06 -7.16771e-09 -6.96146e-09
7.370854922273568e-07 -3.333333e-09 -3.352083e-09
1.0320806182260458e-05 -3.254166e-09 -3.1875e-09
7.385209826275699e-07 -3.089583e-09 -3.058333e-09
5.368966995182463e-06 -3.155208e-09 -3.084375e-09
6.966139683451506e-06 -3.411458e-09 -3.4125e-09
6.16026132188101e-07 -6.99896e-09 -4.58125e-09
1.0158143452742229e-05 -3.160416e-09 -3.029166e-09
2.3342617987479025e-06 -3.033333e-09 -3.070833e-09
3.292574301981177e-06 -3.220833e-09 -3.222916e-09
2.8866089081171336e-07 -1.005417e-08 -5.831251e-09
2.334785613515975e-06 -3.260416e-09 -3.264583e-09
7.2836558303852165e-06 -3.06875e-09 -3.022916e-09
8.390999929506687e-07 -5.812501e-09 -4.761459e-09
4.134663566285845e-06 -5.320834e-09 -6.290626e-09
7.6039716337740774e-06 -3.332291e-09 -3.326041e-09
3.7728961037370985e-06 -3.382291e-09 -3.332291e-09
1.3613331953362103e-06 -4.815625e-09 -6.122918e-09
9.361869091327004e-06 -3.064583e-09 -3.036458e-09
1.4077490385614254e-06 -6.601043e-09 -4.461459e-09
1.0158461166465441e-05 -2.9625e-09 -2.960416e-09
7.603078768249055e-06 -3.190625e-09 -3.194791e-09
9.998897784307722e-06 -3.13125e-09 -3.232291e-09
8.24179997551328e-06 -3.098958e-09 -3.122916e-09
8.469841825344513e-06 -8.288544e-09 -4.647917e-09
1.8553137926521827e-06 -3.235416e-09 -3.3e-09
8.402693635001484e-06 -3.346875e-09 -3.439583e-09
1.3761733396887676e-06 -3.317708e-09 -3.303125e-09
8.722696440907728e-06 -3.328125e-09 -3.301041e-09
9.520899360220386e-06 -3.344791e-09 -3.258333e-09
9.983534402825026e-07 -6.078126e-09 -6.69271e-09
3.0373973971188833e-06 -6.372918e-09 -6.063543e-09
7.888562095829933e-06 -7.466668e-09 -5.353126e-09
6.486829897603096e-06 -3.388541e-09 -3.310416e-09
1.5351465980366617e-06 -3.3375e-09 -3.338541e-09
1.1967613615088411e-06 -4.730209e-09 -7.046876e-09
2.334524044014328e-06 -3.2375e-09 -3.341666e-09
1.2355699581209054e-06 -9.351044e-09 -4.496875e-09
9.361217428836373e-06 -3.041666e-09 -3.125e-09
