DATI MISURA

Inizio misura: 04/11/2022 18:05:29
Tempo di acquisizione (sec): 246122.5
Eventi acquisiti: 24351

TDC QDC1 QDC2
1.01851271444219e-05  
8.77156382414873e-06 -3.35625e-09 -3.382291e-09
9.302500083115121e-06 -3.169791e-09 -3.132291e-09
9.480450395112521e-06 -3.285416e-09 -3.270833e-09
4.880278307956536e-06 -3.284375e-09 -3.326041e-09
1.5210981025033966e-06 -3.340625e-09 -3.3e-09
8.556991707844426e-06 -4.8375e-09 -5.160417e-09
7.261952529108353e-06 -4.821875e-09 -5.057292e-09
9.300966327850944e-06 -3.26875e-09 -3.376041e-09
1.608364410864753e-06 -7.28646e-09 -4.409375e-09
4.6075022630137694e-07 -2.920833e-09 -2.903124e-09
4.6289860037689133e-07 -6.123959e-09 -4.565625e-09
1.0187888372419413e-05 -3.169791e-09 -3.164583e-09
6.651133670625534e-06 -3.252083e-09 -3.211458e-09
1.941980515196344e-06 -4.355209e-09 -5.695834e-09
6.360046626377531e-07 -3.332291e-09 -3.366666e-09
2.5931565368321077e-06 -6.590626e-09 -4.522917e-09
6.688468642067203e-07 -5.226042e-09 -6.172918e-09
2.5503022001022e-06 -6.757293e-09 -5.019792e-09
5.411396274667987e-06 -3.132291e-09 -3.138541e-09
1.69750424937573e-06 -3.366666e-09 -3.310416e-09
7.887231001950987e-06 -2.979166e-09 -2.996875e-09
1.030212344936057e-06 -5.744792e-09 -4.789584e-09
1.0010743652071375e-05 -3.064583e-09 -3.232291e-09
1.8120526158772747e-06 -6.69896e-09 -5.526042e-09
2.1407361806518664e-06 -5.892709e-09 -4.776042e-09
1.8809977902563737e-06 -6.350001e-09 -5.702084e-09
5.0585899372097164e-06 -3.180208e-09 -3.095833e-09
3.995771439162978e-06 -3.058333e-09 -3.089583e-09
7.709737441352975e-06 -3.277083e-09 -3.23125e-09
7.036888639097717e-07 -6.735418e-09 -4.415625e-09
1.522237248300211e-06 -3.208333e-09 -3.234375e-09
5.010036039230016e-07 -6.200001e-09 -5.386459e-09
4.978719408565293e-06 -7.06771e-09 -4.836459e-09
6.473380335913911e-06 -3.280208e-09 -3.264583e-09
1.5331661374834441e-06 -6.871876e-09 -4.534375e-09
6.1186186363563286e-06 -3.310416e-09 -3.379166e-09
2.8990700389303033e-06 -4.584375e-09 -6.732293e-09
5.4371994900626783e-08 -8.466669e-09 -4.777084e-09
2.1989949707641205e-06 -6.81146e-09 -4.838542e-09
1.2631715582886537e-07 -7.690627e-09 -6.357293e-09
2.8264816598278694e-07 -3.067708e-09 -3.071875e-09
1.1071502041998222e-05 -3.290625e-09 -3.322916e-09
5.0580517959611355e-06 -3.130208e-09 -3.13125e-09
3.0569899238850605e-07 -6.475001e-09 -5.280209e-09
1.0208619263585897e-06 -6.266668e-09 -4.4e-09
7.625975737985356e-07 -6.64271e-09 -5.025e-09
8.064148211838318e-06 -3.29375e-09 -3.288541e-09
5.057373573139201e-06 -3.071875e-09 -3.089583e-09
