DATI MISURA

Inizio misura: 02/12/2022 17:23:36
Tempo di acquisizione (sec): 431679.4
Eventi acquisiti: 42879

TDC QDC1 QDC2
8.326064287136161e-06  
1.092467819207015e-05 -4.784375e-09 -6.050001e-09
8.994811096008262e-07 -3.039583e-09 -2.887499e-09
3.2680618499612957e-07 -1.956772e-08 -3.19375e-09
1.5756704256204296e-07 -2.703124e-09 -2.730208e-09
6.100196934004799e-06 -2.715624e-09 -2.703124e-09
3.7867726434922044e-06 -4.915625e-09 -3.955208e-09
5.698118933586999e-07 -4.416667e-09 -5.0125e-09
9.998263413944123e-06 -2.919791e-09 -2.806249e-09
1.641651813615045e-06 -2.809374e-09 -2.836458e-09
4.428499897576335e-06 -2.717708e-09 -2.734374e-09
8.949553240375331e-06 -5.982293e-09 -4.296875e-09
6.284083131220139e-06 -2.879166e-09 -2.867708e-09
2.5704498250358488e-06 -3.071875e-09 -2.890624e-09
1.4567436002142216e-06 -2.685416e-09 -2.709374e-09
1.415130922384112e-06 -5.151042e-09 -4.751042e-09
3.256059596871023e-07 -5.05e-09 -4.705209e-09
8.140056386334919e-06 -2.671874e-09 -2.680208e-09
3.2584387485468745e-06 -6.675001e-09 -6.270834e-09
3.4139838559606546e-06 -7.177085e-09 -4.238542e-09
1.5735433491743397e-07 -3.034375e-09 -3.029166e-09
2.594496703482607e-06 -4.654167e-09 -4.254167e-09
9.999240641424107e-06 -2.691666e-09 -2.669791e-09
3.9623757409679995e-06 -7.535418e-09 -3.785417e-09
1.6382526098083898e-06 -7.04271e-09 -4.941667e-09
1.2975180992803154e-06 -6.793751e-09 -4.840625e-09
1.8272741778334593e-06 -2.664583e-09 -2.619791e-09
4.984598346977589e-06 -2.677083e-09 -2.652083e-09
3.7474003555375494e-07 -8.994794e-09 -5.921876e-09
1.0553753715990708e-05 -3.064583e-09 -2.927083e-09
7.153551511785776e-07 -2.980208e-09 -2.93125e-09
1.8294429997436812e-06 -2.985416e-09 -2.909374e-09
8.14226055862338e-06 -2.703124e-09 -2.688541e-09
3.954029815760232e-07 -7.885419e-09 -3.830208e-09
1.0182514830334106e-05 -2.751041e-09 -2.721874e-09
8.883074067773092e-06 -2.664583e-09 -2.662499e-09
5.356311548992613e-06 -2.856249e-09 -2.911458e-09
2.151841639021173e-06 -5.076042e-09 -6.095834e-09
4.678881563330824e-06 -5.659376e-09 -4.516667e-09
1.1110889342092996e-05 -2.918749e-09 -2.908333e-09
1.1679521024518747e-06 -5.318751e-09 -4.229167e-09
4.082565726791717e-06 -8.456252e-09 -4.641667e-09
4.985456743064629e-06 -2.678124e-09 -2.696874e-09
1.5731271324698408e-07 -2.688541e-09 -2.759374e-09
1.5892821065368635e-06 -6.96146e-09 -5.378126e-09
9.001919603510595e-07 -2.776041e-09 -2.726041e-09
8.161332130732792e-08 -4.5625e-09 -4.588542e-09
2.488801089316927e-06 -4.923959e-09 -5.548959e-09
2.3858870218782263e-06 -2.755208e-09 -2.796874e-09
