DATI MISURA

Inizio misura: 05/10/2022 15:49:56
Tempo di acquisizione (sec): 427243.1
Eventi acquisiti: 34870

TDC QDC1 QDC2
3.738495498299334e-07  
2.972688683606892e-06 -2.933333e-09 -2.855208e-09
6.464400055948274e-07 -2.966666e-09 -2.7125e-09
8.49630609900813e-06 -2.910416e-09 -2.920833e-09
3.1178331364331167e-06 -2.93125e-09 -2.914583e-09
4.281343905388968e-06 -3.076041e-09 -2.925e-09
7.913749208081044e-06 -2.965625e-09 -2.880208e-09
1.6645109335923982e-06 -2.929166e-09 -2.91875e-09
6.170647305714857e-06 -2.953125e-09 -2.897916e-09
3.990290944528545e-06 -3.041666e-09 -2.95625e-09
8.787137067871987e-06 -3.004166e-09 -2.979166e-09
5.588642402314569e-06 -2.93125e-09 -2.895833e-09
5.2978223233318236e-06 -2.954166e-09 -2.91875e-09
7.040534496199532e-06 -2.95625e-09 -2.870833e-09
6.750618317526962e-06 -3.002083e-09 -2.99375e-09
1.6622208127290106e-06 -2.972916e-09 -2.958333e-09
4.426096991888153e-06 -2.939583e-09 -2.904166e-09
9.076965186143131e-06 -3.077083e-09 -3.035416e-09
6.4614756485536144e-06 -2.984375e-09 -2.903125e-09
9.079369471666146e-06 -2.98125e-09 -2.933333e-09
6.898435782852805e-06 -2.989583e-09 -3.0125e-09
7.334116194207366e-06 -3.039583e-09 -2.91875e-09
3.7001268763837623e-06 -3.001041e-09 -2.910416e-09
9.38737081949566e-07 -2.960416e-09 -2.805208e-09
2.6817807049232212e-06 -2.929166e-09 -2.915625e-09
3.7002543873801516e-06 -2.994791e-09 -2.90625e-09
8.511662723642935e-07 -3.979167e-09 -3.43125e-09
9.363031440100231e-07 -2.94375e-09 -2.848958e-09
5.898241279922892e-07 -3.716667e-09 -3.3e-09
3.992268114985419e-06 -2.91875e-09 -2.910416e-09
2.1253832592746276e-07 -7.359377e-09 -3.359375e-09
3.7009959456274124e-06 -2.920833e-09 -2.876041e-09
7.6247650604011575e-06 -3.066666e-09 -2.922916e-09
5.298955697633486e-06 -2.947916e-09 -2.929166e-09
7.768466614057954e-06 -3.027083e-09 -2.971875e-09
2.9721405080397897e-06 -3.045833e-09 -2.922916e-09
8.642768001482122e-06 -2.945833e-09 -2.927083e-09
4.863398686905449e-06 -2.908333e-09 -2.9e-09
6.8967978870030055e-06 -3.020833e-09 -2.922916e-09
1.22689371950238e-06 -2.927083e-09 -2.873958e-09
1.0889831332538981e-06 -5.684376e-09 -3.45e-09
8.205766382325392e-06 -2.925e-09 -2.902083e-09
1.4763782798535221e-06 -4.796876e-09 -4.621875e-09
2.6348012617975967e-06 -4.313542e-09 -4.035417e-09
2.2275860181587513e-06 -5.904168e-09 -3.51875e-09
4.896511526069173e-07 -3.477083e-09 -3.467708e-09
1.2301941557828983e-06 -2.95e-09 -2.866666e-09
6.0251662181531855e-06 -2.954166e-09 -2.93125e-09
2.2442334703906225e-06 -2.908333e-09 -2.90625e-09
