DATI MISURA

Inizio misura: 11/10/2022 17:25:33
Tempo di acquisizione (sec): 2.493884E+5
Eventi acquisiti: 20630

TDC          QDC1          QDC2          Time          Valido
4.160227E-6          -2.981250E-9          -2.945833E-9          1.031060E+1          0
7.703455E-6          -4.576042E-9          -4.125000E-9          1.833554E+1          0
5.120216E-6          -2.939583E-9          -2.952083E-9          3.200580E+1          0
5.600227E-6          -2.968750E-9          -2.920833E-9          4.521202E+1          0
2.400324E-6          -2.927083E-9          -2.929166E-9          5.856478E+1          0
4.160247E-6          -2.954166E-9          -2.922916E-9          7.166082E+1          0
3.680258E-6          -2.952083E-9          -2.920833E-9          8.535004E+1          0
6.400160E-6          -2.962500E-9          -2.927083E-9          9.845967E+1          0
4.800209E-6          -2.941666E-9          -2.939583E-9          1.115585E+2          0
5.440207E-6          -3.004166E-9          -2.941666E-9          1.250499E+2          0
2.142554E-6          -3.578125E-9          -4.588542E-9          1.353707E+2          0
1.007999E-5          -2.997916E-9          -2.939583E-9          1.488007E+2          0
4.000253E-6          -2.968750E-9          -2.952083E-9          1.620267E+2          0
9.440018E-6          -2.960416E-9          -2.927083E-9          1.753241E+2          0
9.120045E-6          -3.016666E-9          -2.937500E-9          1.884847E+2          0
8.640053E-6          -2.956250E-9          -2.916666E-9          2.024644E+2          0
5.920183E-6          -2.925000E-9          -2.877083E-9          2.157627E+2          0
2.241875E-6          -3.527083E-9          -3.379167E-9          2.266746E+2          0
6.240169E-6          -2.922916E-9          -2.912500E-9          2.405928E+2          0
6.512136E-7          -4.872917E-9          -4.191667E-9          2.427921E+2          0
7.206664E-6          -3.708333E-9          -3.397917E-9          2.472970E+2          0
4.960219E-6          -2.927083E-9          -2.908333E-9          2.604939E+2          0
9.760024E-6          -2.933333E-9          -2.935416E-9          2.735688E+2          0
5.440197E-6          -2.929166E-9          -2.935416E-9          2.870662E+2          0
3.070328E-7          -3.514583E-9          -4.387500E-9          2.884589E+2          0
4.960230E-6          -2.927083E-9          -2.925000E-9          3.021905E+2          0
1.267502E-6          -5.092709E-9          -3.312500E-9          3.082886E+2          0
6.864483E-7          -4.623959E-9          -3.666667E-9          3.209039E+2          0
