DATI MISURA

Inizio misura: 17/10/2022 17:20:01
Tempo di acquisizione (sec): 2.491054E+5
Eventi acquisiti: 21944

TDC          QDC1          QDC2          Time          Valido
6.404569E-7          -3.264583E-9          -3.300000E-9          1.079669E+1          0
6.404307E-7          -3.222916E-9          -3.182291E-9          2.272829E+1          0
1.440425E-6          -3.332291E-9          -3.247916E-9          3.472889E+1          0
4.804638E-7          -3.342708E-9          -3.390625E-9          4.647951E+1          0
9.281314E-8          -8.147919E-9          -4.800000E-9          5.493654E+1          0
1.440471E-6          -3.267708E-9          -3.268750E-9          6.678713E+1          0
2.372483E-7          -5.700001E-9          -6.478126E-9          7.458026E+1          0
2.577999E-7          -8.192710E-9          -5.788543E-9          8.195335E+1          0
7.487793E-7          -4.955209E-9          -5.378126E-9          8.582395E+1          0
1.120457E-6          -3.126041E-9          -3.116666E-9          9.795248E+1          0
1.920436E-6          -3.100000E-9          -3.119791E-9          1.097281E+2          0
6.404411E-7          -3.338541E-9          -3.312500E-9          1.214807E+2          0
4.379115E-6          -5.703126E-9          -4.331250E-9          1.260312E+2          0
1.280442E-6          -2.955208E-9          -2.975000E-9          1.382148E+2          0
3.204547E-7          -3.345833E-9          -3.301041E-9          1.499134E+2          0
1.760431E-6          -2.919791E-9          -2.947916E-9          1.619210E+2          0
1.604765E-7          -3.216666E-9          -3.208333E-9          1.740276E+2          0
1.604823E-7          -3.104166E-9          -3.122916E-9          1.858072E+2          0
3.786669E-6          -6.488543E-9          -5.615626E-9          1.907626E+2          0
2.080459E-6          -3.222916E-9          -3.161458E-9          2.028492E+2          0
2.560462E-6          -3.403125E-9          -3.357291E-9          2.148158E+2          0
8.004455E-7          -3.110416E-9          -2.939583E-9          2.266414E+2          0
1.600443E-6          -3.140625E-9          -3.177083E-9          2.387510E+2          0
9.604667E-7          -3.115625E-9          -3.056250E-9          2.508476E+2          0
2.080406E-6          -3.191666E-9          -3.175000E-9          2.626252E+2          0
1.440441E-6          -3.312500E-9          -3.263541E-9          2.746778E+2          0
1.042633E-6          -8.139585E-9          -6.098959E-9          2.797082E+2          0
8.004503E-7          -3.154166E-9          -3.141666E-9          2.916828E+2          0
3.108186E-6          -5.569792E-9          -4.264583E-9          2.954573E+2          0
1.840690E-6          -5.904168E-9          -5.254167E-9          3.026095E+2          0
6.404478E-7          -3.052083E-9          -3.110416E-9          3.162309E+2          0
8.004629E-7          -3.294791E-9          -3.185416E-9          3.279825E+2          0
1.600443E-6          -2.951041E-9          -2.996875E-9          3.401251E+2          0
8.004653E-7          -3.116666E-9          -3.175000E-9          3.522497E+2          0
4.716923E-6          -8.133335E-9          -6.409376E-9          3.594908E+2          0
1.604908E-7          -3.326041E-9          -3.386458E-9          3.715514E+2          0
1.920427E-6          -3.270833E-9          -3.265625E-9          3.835561E+2          0
1.604735E-7          -3.229166E-9          -3.214583E-9          3.970305E+2          0
4.804554E-7          -3.444791E-9          -3.466666E-9          4.089710E+2          0
2.560436E-6          -2.940625E-9          -2.916666E-9          4.210946E+2          0
1.760429E-6          -3.323958E-9          -3.256250E-9          4.329603E+2          0
8.004402E-7          -3.263541E-9          -3.273958E-9          4.449018E+2          0
1.325637E-6          -5.923959E-9          -6.736460E-9          4.521250E+2          0
1.280445E-6          -2.904166E-9          -2.945833E-9          4.641086E+2          0
9.604390E-7          -3.258333E-9          -3.248958E-9          4.760582E+2          0
8.004618E-7          -2.962500E-9          -3.022916E-9          4.880898E+2          0
4.095473E-7          -4.656250E-9          -6.914585E-9          4.955329E+2          0
8.004319E-7          -3.247916E-9          -3.145833E-9          5.075375E+2          0
1.600441E-6          -3.223958E-9          -3.251041E-9          5.195221E+2          0
1.920447E-6          -3.256250E-9          -3.229166E-9          5.313807E+2          0
1.600443E-6          -3.340625E-9          -3.322916E-9          5.436382E+2          0
8.004506E-7          -3.345833E-9          -3.254166E-9          5.557388E+2          0
6.404596E-7          -3.261458E-9          -3.321875E-9          5.678044E+2          0
9.604450E-7          -2.947916E-9          -2.947916E-9          5.798170E+2          0
6.404435E-7          -3.310416E-9          -3.253125E-9          5.917646E+2          0
1.600441E-6          -3.127083E-9          -3.185416E-9          6.036093E+2          0
8.004454E-7          -3.016666E-9          -3.040625E-9          6.154998E+2          0
4.804730E-7          -2.975000E-9          -3.007291E-9          6.276024E+2          0
9.517397E-8          -7.904169E-9          -5.623959E-9          6.347076E+2          0
4.804787E-7          -3.219791E-9          -3.165625E-9          6.467122E+2          0
1.120437E-6          -3.129166E-9          -3.162500E-9          6.586918E+2          0
1.143781E-6          -6.050001E-9          -4.352084E-9          6.673317E+2          0
1.470627E-6          -7.430210E-9          -5.357292E-9          6.774196E+2          0
1.920436E-6          -2.849999E-9          -2.868749E-9          6.894371E+2          0
4.804542E-7          -3.344791E-9          -3.300000E-9          7.014337E+2          0
1.708088E-6          -4.556250E-9          -5.636459E-9          7.132234E+2          0
2.149176E-6          -9.270836E-9          -6.784376E-9          7.178138E+2          0
2.240419E-6          -3.154166E-9          -3.127083E-9          7.300254E+2          0
9.604370E-7          -3.146875E-9          -3.088541E-9          7.420180E+2          0
4.804930E-7          -3.014583E-9          -2.987500E-9          7.538996E+2          0
4.804753E-7          -3.331250E-9          -3.313541E-9          7.659283E+2          0
9.604566E-7          -3.210416E-9          -3.158333E-9          7.779308E+2          0
1.600418E-6          -3.281250E-9          -3.282291E-9          7.899234E+2          0
3.204573E-7          -2.943750E-9          -3.002083E-9          8.017240E+2          0
4.901513E-7          -6.498960E-9          -4.803125E-9          8.058346E+2          0
1.920414E-6          -3.127083E-9          -3.060416E-9          8.178191E+2          0
8.004429E-7          -3.058333E-9          -3.118750E-9          8.298087E+2          0
1.280455E-6          -3.397916E-9          -3.330208E-9          8.419363E+2          0
1.120448E-6          -3.133333E-9          -3.131250E-9          8.538349E+2          0
9.604528E-7          -3.281250E-9          -3.297916E-9          8.657865E+2          0
1.600415E-6          -3.112500E-9          -3.159375E-9          8.777161E+2          0
1.050172E-6          -6.577085E-9          -5.034375E-9          8.882299E+2          0
8.918314E-6          -6.211459E-9          -4.134375E-9          8.921164E+2          0
2.755228E-6          -9.317711E-9          -4.655209E-9          8.983957E+2          0
1.605065E-7          -3.190625E-9          -3.104166E-9          9.104563E+2          0
6.404706E-7          -2.897916E-9          -2.953125E-9          9.224478E+2          0
1.600435E-6          -3.338541E-9          -3.235416E-9          9.343305E+2          0
1.120428E-6          -3.400000E-9          -3.337500E-9          9.464500E+2          0
1.440427E-6          -3.164583E-9          -3.137500E-9          9.581957E+2          0
1.600434E-6          -3.233333E-9          -3.266666E-9          9.703073E+2          0
1.440459E-6          -2.992708E-9          -3.031250E-9          9.823078E+2          0
1.920458E-6          -3.413541E-9          -3.344791E-9          9.942444E+2          0
3.191419E-7          -7.171876E-9          -5.142709E-9          9.983329E+2          0
2.250818E-6          -5.576042E-9          -5.123959E-9          1.005699E+3          0
2.080444E-6          -3.292708E-9          -3.361458E-9          1.017537E+3          0
2.400435E-6          -3.083333E-9          -3.114583E-9          1.030854E+3          0
1.760429E-6          -3.138541E-9          -3.139583E-9          1.042604E+3          0
4.933948E-6          -5.901043E-9          -7.073960E-9          1.046929E+3          0
9.604344E-7          -3.089583E-9          -3.064583E-9          1.058816E+3          0
8.004536E-7          -3.156250E-9          -3.112500E-9          1.070894E+3          0
1.120426E-6          -3.206250E-9          -3.233333E-9          1.082701E+3          0
5.068671E-7          -5.286459E-9          -6.102084E-9          1.084627E+3          0
1.075948E-6          -4.351042E-9          -5.061459E-9          1.096497E+3          0
2.240449E-6          -3.285416E-9          -3.270833E-9          1.108873E+3          0
6.404431E-7          -3.156250E-9          -3.170833E-9          1.120521E+3          0
4.804811E-7          -3.206250E-9          -3.189583E-9          1.134005E+3          0
1.600429E-6          -3.127083E-9          -3.114583E-9          1.145903E+3          0
3.410211E-7          -4.832292E-9          -5.485417E-9          1.147662E+3          0
3.236001E-6          -4.883334E-9          -4.755209E-9          1.154677E+3          0
1.440424E-6          -3.363541E-9          -3.384375E-9          1.166865E+3          0
1.120460E-6          -2.958333E-9          -2.968750E-9          1.178844E+3          0
1.440456E-6          -3.347916E-9          -3.302083E-9          1.191226E+3          0
8.004603E-7          -3.276041E-9          -3.195833E-9          1.203138E+3          0
1.600456E-6          -3.147916E-9          -3.129166E-9          1.215234E+3          0
1.120446E-6          -2.977083E-9          -3.093750E-9          1.227009E+3          0
1.280474E-6          -3.259375E-9          -3.156250E-9          1.238992E+3          0
8.004302E-7          -3.183333E-9          -3.170833E-9          1.251092E+3          0
6.404654E-7          -3.204166E-9          -3.225000E-9          1.262813E+3          0
1.280444E-6          -3.377083E-9          -3.322916E-9          1.274849E+3          0
1.604776E-7          -3.294791E-9          -3.297916E-9          1.286658E+3          0
1.798855E-6          -7.986460E-9          -4.758334E-9          1.292529E+3          0
3.292363E-7          -4.997917E-9          -4.133333E-9          1.300922E+3          0
2.240430E-6          -3.011458E-9          -2.984375E-9          1.312715E+3          0
2.080423E-6          -3.156250E-9          -3.180208E-9          1.324918E+3          0
6.735534E-7          -4.259375E-9          -5.111459E-9          1.327030E+3          0
1.920458E-6          -3.036458E-9          -3.062500E-9          1.339135E+3          0
2.055474E-6          -4.847917E-9          -5.072917E-9          1.345450E+3          0
2.080440E-6          -2.971875E-9          -2.936458E-9          1.357340E+3          0
3.204637E-7          -3.104166E-9          -3.022916E-9          1.369412E+3          0
1.120406E-6          -2.887499E-9          -2.986458E-9          1.381322E+3          0
9.604535E-7          -2.968750E-9          -2.962500E-9          1.393224E+3          0
2.208785E-6          -6.626043E-9          -5.809376E-9          1.400150E+3          0
2.240446E-6          -2.981250E-9          -2.951041E-9          1.412139E+3          0
1.604817E-7          -2.980208E-9          -2.964583E-9          1.424119E+3          0
1.280443E-6          -3.241666E-9          -3.273958E-9          1.436026E+3          0
2.400443E-6          -3.233333E-9          -3.147916E-9          1.448034E+3          0
1.604895E-7          -3.291666E-9          -3.252083E-9          1.459820E+3          0
6.404619E-7          -3.382291E-9          -3.401041E-9          1.472241E+3          0
3.659309E-6          -6.779168E-9          -4.954167E-9          1.478530E+3          0
2.016005E-6          -4.109375E-9          -4.270833E-9          1.490423E+3          0
1.953005E-6          -6.083334E-9          -4.193750E-9          1.500557E+3          0
3.334796E-6          -7.605210E-9          -6.040626E-9          1.504414E+3          0
1.120447E-6          -3.415625E-9          -3.445833E-9          1.516437E+3          0
1.440445E-6          -3.041666E-9          -3.031250E-9          1.528428E+3          0
2.560438E-6          -3.276041E-9          -3.270833E-9          1.540400E+3          0
2.240439E-6          -3.407291E-9          -3.445833E-9          1.552426E+3          0
4.901462E-7          -7.345835E-9          -4.679167E-9          1.562817E+3          0
6.404552E-7          -3.137500E-9          -3.097916E-9          1.574813E+3          0
7.747109E-8          -4.507292E-9          -5.309376E-9          1.577376E+3          0
1.280411E-6          -3.092708E-9          -3.202083E-9          1.589902E+3          0
1.379029E-7          -1.026563E-8          -4.858334E-9          1.593022E+3          0
3.204871E-7          -3.227083E-9          -3.221875E-9          1.605021E+3          0
5.878159E-6          -6.555210E-9          -4.805209E-9          1.609825E+3          0
1.760418E-6          -2.935416E-9          -2.928125E-9          1.621928E+3          0
1.604771E-7          -3.152083E-9          -3.040625E-9          1.633705E+3          0
2.753213E-7          -6.057293E-9          -6.921876E-9          1.641434E+3          0
1.920424E-6          -3.145833E-9          -3.106250E-9          1.653445E+3          0
4.804672E-7          -2.842708E-9          -2.935416E-9          1.665316E+3          0
9.604281E-7          -3.334375E-9          -3.392708E-9          1.677436E+3          0
4.804306E-7          -3.184375E-9          -3.229166E-9          1.689352E+3          0
3.204715E-7          -3.077083E-9          -2.908333E-9          1.701341E+3          0
3.204719E-7          -3.207291E-9          -3.275000E-9          1.713262E+3          0
4.672728E-6          -5.614584E-9          -4.438542E-9          1.715957E+3          0
1.920430E-6          -3.262500E-9          -3.210416E-9          1.727935E+3          0
2.560444E-6          -3.070833E-9          -3.012500E-9          1.739816E+3          0
1.604964E-7          -3.251041E-9          -3.270833E-9          1.751825E+3          0
6.404621E-7          -3.353125E-9          -3.351041E-9          1.763745E+3          0
1.440432E-6          -3.047916E-9          -3.145833E-9          1.775744E+3          0
2.240449E-6          -3.329166E-9          -3.290625E-9          1.787805E+3          0
1.028947E-6          -5.407292E-9          -5.064584E-9          1.792223E+3          0
1.604775E-7          -3.152083E-9          -3.173958E-9          1.804140E+3          0
1.120443E-6          -3.293750E-9          -3.242708E-9          1.816138E+3          0
2.221338E-6          -6.621876E-9          -6.309376E-9          1.828490E+3          0
3.204695E-7          -3.315625E-9          -3.255208E-9          1.840524E+3          0
3.471297E-7          -6.569793E-9          -4.568750E-9          1.843321E+3          0
1.450559E-6          -5.904168E-9          -4.955209E-9          1.852360E+3          0
1.280439E-6          -2.904166E-9          -2.963541E-9          1.864112E+3          0
1.760426E-6          -3.301041E-9          -3.300000E-9          1.876134E+3          0
2.400422E-6          -3.161458E-9          -3.139583E-9          1.887826E+3          0
6.404435E-7          -3.193750E-9          -3.214583E-9          1.899907E+3          0
1.440441E-6          -3.082291E-9          -3.019791E-9          1.913119E+3          0
1.120434E-6          -3.093750E-9          -3.131250E-9          1.925088E+3          0
8.004484E-7          -3.271875E-9          -3.234375E-9          1.937110E+3          0
2.400432E-6          -3.375000E-9          -3.306250E-9          1.949123E+3          0
1.760409E-6          -3.107291E-9          -3.091666E-9          1.961102E+3          0
3.941395E-6          -7.898960E-9          -7.040626E-9          1.968371E+3          0
6.508108E-7          -8.892711E-9          -6.517710E-9          1.976582E+3          0
4.804582E-7          -2.991666E-9          -2.933333E-9          1.988435E+3          0
1.604778E-7          -3.085416E-9          -3.072916E-9          2.000443E+3          0
1.760442E-6          -3.189583E-9          -3.133333E-9          2.012640E+3          0
1.322793E-6          -5.715626E-9          -4.482292E-9          2.022132E+3          0
2.080416E-6          -3.228125E-9          -3.250000E-9          2.034240E+3          0
2.240438E-6          -3.218750E-9          -3.247916E-9          2.046312E+3          0
2.240427E-6          -3.379166E-9          -3.373958E-9          2.058245E+3          0
3.204742E-7          -3.262500E-9          -3.233333E-9          2.070205E+3          0
9.604404E-7          -3.448958E-9          -3.392708E-9          2.082028E+3          0
1.920448E-6          -3.160416E-9          -3.206250E-9          2.094229E+3          0
8.004424E-7          -3.226041E-9          -3.312500E-9          2.106223E+3          0
1.238632E-6          -5.303126E-9          -6.953126E-9          2.115422E+3          0
3.204796E-7          -3.364583E-9          -3.365625E-9          2.127343E+3          0
8.004515E-7          -3.190625E-9          -3.187500E-9          2.139437E+3          0
8.004372E-7          -3.329166E-9          -3.248958E-9          2.151529E+3          0
1.120452E-6          -2.960416E-9          -2.934375E-9          2.163321E+3          0
1.440444E-6          -2.991666E-9          -2.929166E-9          2.175003E+3          0
2.560455E-6          -3.225000E-9          -3.141666E-9          2.187209E+3          0
1.600450E-6          -3.292708E-9          -3.252083E-9          2.199015E+3          0
1.938428E-6          -7.113543E-9          -5.079167E-9          2.200828E+3          0
9.183388E-7          -7.123960E-9          -6.202084E-9          2.204743E+3          0
2.560453E-6          -3.079166E-9          -3.081250E-9          2.216629E+3          0
2.575336E-7          -6.471876E-9          -6.587501E-9          2.228040E+3          0
2.275362E-6          -8.802086E-9          -5.032292E-9          2.236834E+3          0
1.714052E-7          -4.014583E-9          -5.058334E-9          2.244952E+3          0
9.604578E-7          -3.270833E-9          -3.260416E-9          2.256924E+3          0
9.425396E-6          -7.076043E-9          -4.215625E-9          2.261902E+3          0
1.600446E-6          -3.050000E-9          -3.077083E-9          2.273982E+3          0
1.792599E-6          -5.257292E-9          -6.216668E-9          2.279501E+3          0
2.560462E-6          -3.359375E-9          -3.327083E-9          2.291631E+3          0
8.396218E-6          -5.466667E-9          -7.812502E-9          2.295431E+3          0
1.760437E-6          -2.990625E-9          -3.000000E-9          2.307725E+3          0
1.353846E-6          -6.107293E-9          -6.415626E-9          2.315813E+3          0
4.864887E-6          -5.967709E-9          -5.062501E-9          2.318621E+3          0
1.120461E-6          -3.396875E-9          -3.369791E-9          2.330551E+3          0
6.632447E-7          -8.135419E-9          -4.540625E-9          2.339002E+3          0
3.718643E-6          -6.001043E-9          -4.272917E-9          2.348622E+3          0
1.604961E-7          -2.992708E-9          -3.077083E-9          2.360623E+3          0
4.028798E-6          -5.440626E-9          -4.837500E-9          2.370533E+3          0
2.080455E-6          -3.127083E-9          -3.118750E-9          2.382535E+3          0
3.204792E-7          -3.160416E-9          -3.196875E-9          2.394498E+3          0
2.080451E-6          -3.281250E-9          -3.232291E-9          2.406744E+3          0
1.280441E-6          -3.093750E-9          -3.056250E-9          2.418723E+3          0
6.404631E-7          -3.329166E-9          -3.319791E-9          2.430735E+3          0
1.120426E-6          -3.220833E-9          -3.236458E-9          2.442643E+3          0
9.604289E-7          -3.091666E-9          -3.110416E-9          2.454734E+3          0
6.404599E-7          -3.114583E-9          -3.172916E-9          2.466720E+3          0
1.415376E-7          -9.488544E-9          -6.191668E-9          2.474628E+3          0
1.604678E-7          -3.206250E-9          -3.182291E-9          2.486649E+3          0
1.604865E-7          -3.133333E-9          -3.156250E-9          2.498514E+3          0
2.400454E-6          -3.436458E-9          -3.397916E-9          2.510564E+3          0
8.694394E-8          -7.083335E-9          -6.533335E-9          2.520165E+3          0
6.404625E-7          -3.150000E-9          -3.147916E-9          2.532140E+3          0
2.797062E-6          -7.691668E-9          -5.641667E-9          2.539723E+3          0
2.080434E-6          -3.231250E-9          -3.155208E-9          2.551640E+3          0
3.930478E-7          -7.351043E-9          -4.432292E-9          2.560818E+3          0
2.586233E-6          -7.562502E-9          -5.178126E-9          2.564135E+3          0
2.956034E-6          -5.551042E-9          -4.359375E-9          2.573526E+3          0
4.804691E-7          -3.158333E-9          -3.172916E-9          2.585525E+3          0
3.527101E-6          -4.945834E-9          -5.014584E-9          2.590702E+3          0
6.404785E-7          -3.216666E-9          -3.270833E-9          2.602717E+3          0
1.604610E-7          -3.028125E-9          -2.985416E-9          2.614740E+3          0
1.600443E-6          -3.473958E-9          -3.398958E-9          2.626744E+3          0
2.560462E-6          -3.104166E-9          -3.118750E-9          2.638714E+3          0
2.411631E-6          -6.742710E-9          -4.821875E-9          2.641945E+3          0
2.560422E-6          -3.179166E-9          -3.191666E-9          2.654040E+3          0
1.280433E-6          -3.143750E-9          -3.145833E-9          2.666006E+3          0
1.760413E-6          -3.066666E-9          -3.116666E-9          2.677947E+3          0
1.042723E-6          -5.092709E-9          -5.318751E-9          2.686740E+3          0
