DATI MISURA

Inizio misura: 21/10/2022 16:11:23
Tempo di acquisizione (sec): 5.032961E+5
Eventi acquisiti: 41535

TDC          QDC1          QDC2          Time          Valido
1.120468E-6          -2.935416E-9          -2.927083E-9          1.380696E+1          0
2.880371E-6          -2.933333E-9          -2.939583E-9          2.699773E+1          0
8.800081E-6          -2.927083E-9          -2.925000E-9          4.026364E+1          0
6.880154E-6          -2.931250E-9          -2.927083E-9          5.352290E+1          0
8.320143E-6          -2.933333E-9          -2.941666E-9          6.689166E+1          0
2.775918E-7          -5.158334E-9          -3.410417E-9          7.020373E+1          0
1.196033E-6          -3.739583E-9          -3.402083E-9          7.570820E+1          0
3.011082E-6          -4.931251E-9          -4.233334E-9          7.690610E+1          0
3.018317E-6          -4.220834E-9          -3.837500E-9          8.500991E+1          0
7.040244E-6          -2.947916E-9          -2.943750E-9          9.808760E+1          0
1.008007E-5          -2.927083E-9          -2.939583E-9          1.114122E+2          0
7.863655E-7          -3.372917E-9          -3.610417E-9          1.208180E+2          0
2.400426E-6          -2.890625E-9          -2.902083E-9          1.341062E+2          0
1.280441E-6          -2.929166E-9          -2.925000E-9          1.472092E+2          0
3.840388E-6          -2.983333E-9          -2.943750E-9          1.608210E+2          0
2.720324E-6          -2.952083E-9          -2.927083E-9          1.740652E+2          0
3.200386E-6          -2.933333E-9          -3.011458E-9          1.874142E+2          0
7.360192E-6          -2.954166E-9          -2.933333E-9          2.007205E+2          0
6.404549E-7          -2.937500E-9          -2.941666E-9          2.140046E+2          0
3.040395E-6          -2.933333E-9          -2.927083E-9          2.272167E+2          0
8.000159E-6          -2.925000E-9          -2.925000E-9          2.405186E+2          0
1.570194E-6          -4.758334E-9          -4.552084E-9          2.493049E+2          0
8.320130E-6          -2.927083E-9          -2.929166E-9          2.627895E+2          0
9.826200E-7          -6.004168E-9          -3.460417E-9          2.695006E+2          0
6.400277E-6          -2.925000E-9          -2.916666E-9          2.828141E+2          0
9.604436E-7          -2.931250E-9          -2.916666E-9          2.960124E+2          0
7.360195E-6          -2.950000E-9          -2.935416E-9          3.095033E+2          0
1.760410E-6          -2.933333E-9          -2.929166E-9          3.227131E+2          0
9.939824E-7          -3.322916E-9          -3.779167E-9          3.256165E+2          0
6.880243E-6          -2.929166E-9          -2.918750E-9          3.388194E+2          0
2.104169E-6          -5.629168E-9          -3.441667E-9          3.415036E+2          0
2.560374E-6          -2.922916E-9          -2.929166E-9          3.549072E+2          0
3.484028E-6          -3.579167E-9          -3.522917E-9          3.678080E+2          0
6.720206E-6          -2.931250E-9          -2.914583E-9          3.817033E+2          0
5.494684E-6          -3.277083E-9          -3.391667E-9          3.857143E+2          0
7.840120E-6          -2.935416E-9          -2.956250E-9          3.989054E+2          0
8.960137E-6          -2.937500E-9          -2.935416E-9          4.124172E+2          0
7.360195E-6          -2.922916E-9          -2.920833E-9          4.256342E+2          0
1.280891E-6          -6.251043E-9          -4.002083E-9          4.339080E+2          0
8.640108E-6          -2.945833E-9          -2.925000E-9          4.473272E+2          0
4.160332E-6          -2.920833E-9          -2.952083E-9          4.608044E+2          0
8.004809E-7          -2.931250E-9          -2.995833E-9          4.740149E+2          0
5.920214E-6          -2.920833E-9          -2.914583E-9          4.870061E+2          0
6.872025E-7          -6.056251E-9          -3.377083E-9          4.893982E+2          0
2.080398E-6          -2.929166E-9          -2.925000E-9          5.026163E+2          0
9.280084E-6          -2.910416E-9          -2.927083E-9          5.158072E+2          0
6.720219E-6          -2.941666E-9          -2.925000E-9          5.291140E+2          0
3.040368E-6          -2.929166E-9          -2.927083E-9          5.424172E+2          0
2.783510E-6          -4.558334E-9          -3.572917E-9          5.549109E+2          0
2.080383E-6          -2.922916E-9          -2.925000E-9          5.683203E+2          0
2.720361E-6          -2.922916E-9          -2.929166E-9          5.813115E+2          0
2.880351E-6          -2.927083E-9          -2.900000E-9          5.947219E+2          0
9.120104E-6          -2.931250E-9          -2.916666E-9          6.080142E+2          0
7.040214E-6          -2.918750E-9          -2.929166E-9          6.211060E+2          0
3.200397E-6          -2.922916E-9          -2.927083E-9          6.344088E+2          0
4.640332E-6          -2.902083E-9          -2.929166E-9          6.479119E+2          0
9.120053E-6          -2.922916E-9          -2.925000E-9          6.611170E+2          0
7.040229E-6          -2.945833E-9          -2.925000E-9          6.743082E+2          0
8.004599E-7          -2.937500E-9          -2.931250E-9          6.879172E+2          0
4.800285E-6          -2.956250E-9          -2.929166E-9          7.010893E+2          0
3.680345E-6          -2.941666E-9          -2.950000E-9          7.144018E+2          0
3.520357E-6          -2.925000E-9          -2.925000E-9          7.276172E+2          0
5.600232E-6          -2.914583E-9          -2.904166E-9          7.407217E+2          0
4.800345E-6          -2.937500E-9          -2.922916E-9          7.540045E+2          0
2.075660E-6          -3.491667E-9          -3.950000E-9          7.642081E+2          0
