DATI MISURA

Inizio misura: 04/11/2022 18:08:14
Tempo di acquisizione (sec): 2.457919E+5
Eventi acquisiti: 20742

TDC          QDC1          QDC2          Time          Valido
1.306561E-6          NaN          NaN          1.842788E+1          0
2.560359E-6          -2.958333E-9          -2.937500E-9          3.146788E+1          0
2.880346E-6          -2.927083E-9          -2.929166E-9          4.425489E+1          0
9.604272E-7          -2.927083E-9          -2.931250E-9          5.745689E+1          0
8.750571E-7          -3.714583E-9          -3.429167E-9          6.626188E+1          0
3.520346E-6          -2.933333E-9          -2.916666E-9          7.935088E+1          0
3.520313E-6          -2.929166E-9          -2.941666E-9          9.245288E+1          0
8.000083E-6          -2.927083E-9          -2.914583E-9          1.053681E+2          0
5.280257E-6          -2.927083E-9          -2.927083E-9          1.186579E+2          0
7.200197E-6          -2.927083E-9          -2.927083E-9          1.315819E+2          0
8.004623E-7          -2.933333E-9          -2.943750E-9          1.446679E+2          0
1.418364E-6          -3.880208E-9          -4.508334E-9          1.532538E+2          0
1.007999E-5          -2.935416E-9          -2.927083E-9          1.663824E+2          0
1.971695E-7          -5.377084E-9          -3.941667E-9          1.781599E+2          0
3.878664E-6          -3.706250E-9          -3.467708E-9          1.852724E+2          0
4.160355E-6          -2.927083E-9          -2.927083E-9          1.984570E+2          0
2.720348E-6          -2.931250E-9          -2.927083E-9          2.113530E+2          0
2.560387E-6          -2.931250E-9          -2.933333E-9          2.244669E+2          0
6.404710E-7          -2.956250E-9          -2.937500E-9          2.375559E+2          0
4.937090E-6          -3.585417E-9          -3.616667E-9          2.469613E+2          0
5.057488E-6          -4.110417E-9          -3.669792E-9          2.739563E+2          0
3.840385E-6          -3.014583E-9          -2.937500E-9          2.870631E+2          0
4.804152E-7          -2.964583E-9          -2.970833E-9          3.000749E+2          0
1.920397E-6          -3.029166E-9          -2.989583E-9          3.131599E+2          0
3.680311E-6          -2.945833E-9          -2.950000E-9          3.261659E+2          0
7.360129E-6          -2.933333E-9          -2.943750E-9          3.394699E+2          0
8.000204E-6          -2.960416E-9          -2.962500E-9          3.524669E+2          0
9.760048E-6          -2.941666E-9          -2.920833E-9          3.654649E+2          0
3.969000E-6          -5.702084E-9          -3.945833E-9          3.719579E+2          0
1.605210E-7          -3.022916E-9          -3.044791E-9          3.851152E+2          0
2.720300E-6          -2.920833E-9          -2.920833E-9          3.982679E+2          0
7.520150E-6          -2.933333E-9          -2.927083E-9          4.111539E+2          0
5.440197E-6          -3.038541E-9          -2.985416E-9          4.242832E+2          0
9.050829E-6          -4.222917E-9          -4.225000E-9          4.316589E+2          0
3.840339E-6          -2.925000E-9          -2.927083E-9          4.447569E+2          0
7.680115E-6          -2.929166E-9          -2.927083E-9          4.577519E+2          0
4.480236E-6          -2.970833E-9          -2.927083E-9          4.708559E+2          0
9.120077E-6          -2.947916E-9          -2.954166E-9          4.839580E+2          0
8.000168E-6          -2.996875E-9          -2.948958E-9          4.971579E+2          0
5.760187E-6          -2.929166E-9          -3.008333E-9          5.102579E+2          0
3.606416E-6          -5.291667E-9          -3.752083E-9          5.135539E+2          0
7.360172E-6          -2.932291E-9          -2.927083E-9          5.267600E+2          0
8.480076E-6          -3.014583E-9          -2.962500E-9          5.398669E+2          0
2.082747E-6          -6.027084E-9          -4.128125E-9          5.476589E+2          0
9.120020E-6          -3.028125E-9          -3.078125E-9          5.607649E+2          0
2.080332E-6          -2.931250E-9          -2.943750E-9          5.737529E+2          0
8.000162E-6          -2.984375E-9          -2.992708E-9          5.869419E+2          0
4.803875E-7          -2.972916E-9          -2.977083E-9          5.998632E+2          0
6.720259E-6          -2.935416E-9          -2.992708E-9          6.129639E+2          0
3.546116E-6          -5.391667E-9          -4.129167E-9          6.181569E+2          0
7.840098E-6          -2.964583E-9          -2.956250E-9          6.313423E+2          0
9.920044E-6          -2.976041E-9          -2.950000E-9          6.442442E+2          0
2.080373E-6          -2.937500E-9          -2.937500E-9          6.573688E+2          0
4.320309E-6          -2.927083E-9          -2.952083E-9          6.704569E+2          0
2.021094E-6          -3.645833E-9          -4.704167E-9          6.743709E+2          0
4.000329E-6          -2.986458E-9          -2.939583E-9          6.875619E+2          0
3.073446E-6          -4.168750E-9          -3.587500E-9          6.961543E+2          0
3.360281E-6          -2.968750E-9          -2.964583E-9          7.092839E+2          0
2.748591E-6          -3.402083E-9          -4.993751E-9          7.194671E+2          0
5.557137E-6          -4.081250E-9          -3.577083E-9          7.285479E+2          0
2.560375E-6          -2.952083E-9          -2.945833E-9          7.416769E+2          0
4.804223E-7          -3.017708E-9          -3.014583E-9          7.545702E+2          0
9.120071E-6          -2.943750E-9          -2.950000E-9          7.676699E+2          0
1.967992E-7          -3.579167E-9          -3.569792E-9          7.767551E+2          0
3.040331E-6          -2.979166E-9          -2.947916E-9          7.898609E+2          0
3.431736E-6          -7.764585E-9          -4.242709E-9          7.911679E+2          0
2.240405E-6          -2.927083E-9          -2.927083E-9          8.043659E+2          0
1.120408E-6          -2.927083E-9          -2.897916E-9          8.173549E+2          0
3.028387E-7          -3.322916E-9          -3.400000E-9          8.277661E+2          0
2.500426E-6          -3.647917E-9          -3.425000E-9          8.294559E+2          0
2.880381E-6          -2.963541E-9          -2.927083E-9          8.427702E+2          0
6.755453E-7          -4.281250E-9          -3.666667E-9          8.493644E+2          0
1.024001E-5          -2.954166E-9          -2.975000E-9          8.624639E+2          0
6.880146E-6          -2.935416E-9          -3.016666E-9          8.757579E+2          0
1.440432E-6          -2.939583E-9          -2.950000E-9          8.886559E+2          0
6.400255E-6          -3.035416E-9          -3.020833E-9          9.017589E+2          0
9.759993E-6          -2.955208E-9          -3.069791E-9          9.147713E+2          0
9.193145E-7          -4.833334E-9          -3.689583E-9          9.236609E+2          0
8.800008E-6          -2.952083E-9          -2.966666E-9          9.367715E+2          0
6.560178E-6          -2.927083E-9          -2.979166E-9          9.496515E+2          0
6.080240E-6          -2.933333E-9          -2.964583E-9          9.627619E+2          0
3.520264E-6          -2.947916E-9          -2.987500E-9          9.758613E+2          0
6.880219E-6          -2.947916E-9          -2.927083E-9          9.888637E+2          0
4.800241E-6          -2.902083E-9          -2.966666E-9          1.002149E+3          0
5.280270E-6          -2.952083E-9          -2.945833E-9          1.015158E+3          0
2.080324E-6          -3.000000E-9          -2.925000E-9          1.028316E+3          0
2.379080E-6          -4.130209E-9          -3.520833E-9          1.039463E+3          0
9.453022E-7          -4.133334E-9          -3.529167E-9          1.045632E+3          0
3.040399E-6          -3.022916E-9          -3.044791E-9          1.058715E+3          0
6.560187E-6          -2.994791E-9          -2.970833E-9          1.071858E+3          0
7.200098E-6          -2.946875E-9          -2.991666E-9          1.085672E+3          0
9.280027E-6          -2.931250E-9          -2.931250E-9          1.098751E+3          0
2.560353E-6          -3.041666E-9          -2.979166E-9          1.111761E+3          0
3.840387E-6          -2.900000E-9          -2.922916E-9          1.124856E+3          0
7.360139E-6          -2.941666E-9          -2.929166E-9          1.137965E+3          0
1.605583E-7          -2.944791E-9          -2.920833E-9          1.150866E+3          0
5.600278E-6          -2.981250E-9          -2.952083E-9          1.163960E+3          0
3.680299E-6          -2.945833E-9          -2.967708E-9          1.177756E+3          0
8.160159E-6          -2.939583E-9          -2.927083E-9          1.190766E+3          0
1.600453E-6          -3.006250E-9          -2.947916E-9          1.204161E+3          0
5.518297E-6          -4.114584E-9          -3.427083E-9          1.211771E+3          0
6.080246E-6          -2.929166E-9          -2.985416E-9          1.224862E+3          0
4.804999E-7          -2.914583E-9          -2.925000E-9          1.237955E+3          0
3.360291E-6          -2.952083E-9          -2.929166E-9          1.250958E+3          0
2.537123E-6          -3.504167E-9          -3.483333E-9          1.258757E+3          0
6.080295E-6          -2.952083E-9          -2.900000E-9          1.271959E+3          0
4.788211E-6          -5.614584E-9          -3.797917E-9          1.274567E+3          0
2.505990E-6          -6.166668E-9          -4.327084E-9          1.276354E+3          0
6.400265E-6          -2.939583E-9          -2.925000E-9          1.289467E+3          0
9.280136E-6          -2.937500E-9          -3.010416E-9          1.302572E+3          0
1.008004E-5          -2.927083E-9          -2.960416E-9          1.315673E+3          0
4.640285E-6          -2.897916E-9          -2.904166E-9          1.328662E+3          0
1.771674E-6          -3.527083E-9          -3.502083E-9          1.337465E+3          0
3.040279E-6          -2.935416E-9          -2.967708E-9          1.350562E+3          0
7.520252E-6          -2.933333E-9          -2.923958E-9          1.363460E+3          0
8.005290E-7          -2.912500E-9          -2.900000E-9          1.376554E+3          0
8.800159E-6          -2.927083E-9          -2.922916E-9          1.389668E+3          0
7.520075E-6          -2.945833E-9          -2.962500E-9          1.402652E+3          0
1.120348E-6          -2.929166E-9          -2.920833E-9          1.415770E+3          0
7.520115E-6          -2.929166E-9          -2.981250E-9          1.428859E+3          0
1.280466E-6          -2.945833E-9          -2.984375E-9          1.441866E+3          0
5.760220E-6          -2.979166E-9          -3.007291E-9          1.454964E+3          0
8.003919E-7          -2.943750E-9          -2.969791E-9          1.468058E+3          0
8.160009E-6          -2.945833E-9          -2.928125E-9          1.481162E+3          0
1.920393E-6          -2.960416E-9          -2.939583E-9          1.494274E+3          0
9.440104E-6          -2.950000E-9          -3.026041E-9          1.507271E+3          0
3.200331E-6          -2.916666E-9          -2.922916E-9          1.520357E+3          0
4.968877E-6          -3.708333E-9          -3.397917E-9          1.525370E+3          0
4.160286E-6          -2.966666E-9          -2.971875E-9          1.538664E+3          0
9.280146E-6          -2.962500E-9          -2.995833E-9          1.551669E+3          0
7.229739E-6          -3.741667E-9          -3.463542E-9          1.563970E+3          0
5.120298E-6          -2.937500E-9          -2.962500E-9          1.577064E+3          0
8.000143E-6          -2.922916E-9          -2.968750E-9          1.589959E+3          0
8.960052E-6          -2.925000E-9          -2.929166E-9          1.603040E+3          0
5.280306E-6          -2.929166E-9          -2.916666E-9          1.616254E+3          0
6.240147E-6          -2.927083E-9          -2.935416E-9          1.629261E+3          0
2.880395E-6          -2.925000E-9          -2.918750E-9          1.642260E+3          0
1.008004E-5          -2.933333E-9          -2.931250E-9          1.655463E+3          0
5.280225E-6          -2.929166E-9          -2.897916E-9          1.668366E+3          0
9.600046E-6          -2.937500E-9          -2.939583E-9          1.681457E+3          0
8.960155E-6          -2.937500E-9          -2.954166E-9          1.694587E+3          0
8.160032E-6          -2.956250E-9          -2.922916E-9          1.707561E+3          0
8.800079E-6          -2.920833E-9          -2.922916E-9          1.720646E+3          0
5.584851E-7          -4.420834E-9          -3.633333E-9          1.725755E+3          0
3.840367E-6          -2.950000E-9          -2.931250E-9          1.738954E+3          0
6.404773E-7          -2.939583E-9          -2.927083E-9          1.751853E+3          0
7.360143E-6          -2.939583E-9          -2.962500E-9          1.764960E+3          0
3.040377E-6          -2.933333E-9          -2.947916E-9          1.778157E+3          0
9.280104E-6          -2.916666E-9          -2.925000E-9          1.791061E+3          0
1.760344E-6          -2.970833E-9          -2.933333E-9          1.804159E+3          0
4.320308E-6          -2.922916E-9          -2.927083E-9          1.817259E+3          0
2.010580E-6          -6.141668E-9          -3.627083E-9          1.825152E+3          0
3.161497E-7          -4.076042E-9          -3.413542E-9          1.833365E+3          0
1.120411E-6          -2.953125E-9          -2.914583E-9          1.846655E+3          0
7.899083E-7          -4.431250E-9          -4.330209E-9          1.854052E+3          0
7.680129E-6          -2.947916E-9          -2.927083E-9          1.867163E+3          0
9.604079E-7          -2.947916E-9          -2.979166E-9          1.880256E+3          0
6.080165E-6          -2.970833E-9          -2.929166E-9          1.893366E+3          0
4.160247E-6          -2.927083E-9          -2.927083E-9          1.906251E+3          0
6.720175E-6          -2.943750E-9          -2.931250E-9          1.919359E+3          0
9.604545E-7          -2.981250E-9          -2.943750E-9          1.932366E+3          0
