DATI MISURA

Inizio misura: 08/11/2022 17:33:04
Tempo di acquisizione (sec): 2.485965E+5
Eventi acquisiti: 24693

TDC          QDC1          QDC2          Time          Valido
8.641304E-6          NaN          NaN          1.419832E+1          0
1.008128E-5          -2.997916E-9          -2.941666E-9          2.613793E+1          0
2.991484E-6          -5.426042E-9          -4.025000E-9          3.113632E+1          0
3.787833E-6          -6.182293E-9          -6.967710E-9          4.144117E+1          0
2.401314E-6          -2.993750E-9          -2.979166E-9          5.333670E+1          0
4.164144E-6          -8.271877E-9          -5.759376E-9          5.844214E+1          0
5.121318E-6          -2.672916E-9          -2.692708E-9          7.035169E+1          0
9.281294E-6          -3.160416E-9          -3.113541E-9          8.226728E+1          0
9.613090E-7          -2.774999E-9          -2.844791E-9          9.423686E+1          0
1.738999E-6          -4.416667E-9          -4.376042E-9          9.984820E+1          0
5.761297E-6          -2.681249E-9          -2.698958E-9          1.120418E+2          0
8.321288E-6          -3.102083E-9          -3.152083E-9          1.240364E+2          0
9.601287E-6          -2.835416E-9          -2.856249E-9          1.359300E+2          0
3.213723E-7          -2.828124E-9          -2.876041E-9          1.478426E+2          0
5.281310E-6          -2.680208E-9          -2.668749E-9          1.598261E+2          0
9.761305E-6          -2.688541E-9          -2.676041E-9          1.717387E+2          0
8.961286E-6          -2.763541E-9          -2.748958E-9          1.836543E+2          0
9.954088E-7          -5.696876E-9          -5.037500E-9          1.925412E+2          0
5.761329E-6          -3.220833E-9          -3.267708E-9          2.046618E+2          0
6.413256E-7          -3.130208E-9          -3.193750E-9          2.166244E+2          0
7.201322E-6          -2.843749E-9          -2.935416E-9          2.286620E+2          0
9.281301E-6          -2.819791E-9          -2.853124E-9          2.406106E+2          0
4.801331E-6          -2.818749E-9          -2.834374E-9          2.524882E+2          0
8.001319E-6          -3.036458E-9          -3.015625E-9          2.645358E+2          0
2.104641E-6          -8.322919E-9          -5.398959E-9          2.743376E+2          0
4.932947E-7          -6.256251E-9          -4.462500E-9          2.787311E+2          0
8.321303E-6          -2.681249E-9          -2.694791E-9          2.908327E+2          0
5.121352E-6          -2.678124E-9          -2.740624E-9          3.027163E+2          0
7.521296E-6          -3.091666E-9          -3.130208E-9          3.147398E+2          0
4.961325E-6          -3.080208E-9          -3.239583E-9          3.266334E+2          0
2.053389E-6          -8.433335E-9          -6.528126E-9          3.305450E+2          0
8.013472E-7          -2.962500E-9          -3.058333E-9          3.424915E+2          0
7.521305E-6          -2.697916E-9          -2.726041E-9          3.544421E+2          0
8.013227E-7          -2.936458E-9          -2.878124E-9          3.663357E+2          0
6.241327E-6          -2.933333E-9          -2.865624E-9          3.783203E+2          0
9.921297E-6          -2.942708E-9          -2.841666E-9          3.903219E+2          0
4.641333E-6          -3.104166E-9          -3.055208E-9          4.022525E+2          0
2.523412E-6          -5.509376E-9          -5.721876E-9          4.122263E+2          0
9.635078E-6          -5.421876E-9          -5.186459E-9          4.188325E+2          0
9.613285E-7          -2.869791E-9          -2.820833E-9          4.380332E+2          0
2.561402E-6          -5.186459E-9          -5.780209E-9          4.429477E+2          0
1.945726E-6          -5.400001E-9          -4.081250E-9          4.544513E+2          0
8.104182E-7          -5.661459E-9          -5.384376E-9          4.661399E+2          0
2.561317E-6          -2.961458E-9          -2.929166E-9          4.781455E+2          0
8.013362E-7          -3.227083E-9          -3.198958E-9          4.901411E+2          0
4.961349E-6          -2.729166E-9          -2.738541E-9          5.020387E+2          0
2.198222E-6          -8.810419E-9          -7.584377E-9          5.072371E+2          0
5.921332E-6          -2.841666E-9          -2.942708E-9          5.193176E+2          0
1.558946E-7          -5.043750E-9          -4.667709E-9          5.271357E+2          0
2.298562E-6          -3.897917E-9          -4.380209E-9          5.321371E+2          0
3.041303E-6          -2.833333E-9          -2.865624E-9          5.441497E+2          0
8.961312E-6          -3.168750E-9          -3.183333E-9          5.562633E+2          0
1.921315E-6          -2.838541E-9          -2.810416E-9          5.681459E+2          0
7.201315E-6          -2.821874E-9          -2.837499E-9          5.801354E+2          0
5.281313E-6          -3.170833E-9          -3.166666E-9          5.922230E+2          0
9.281285E-6          -2.954166E-9          -2.933333E-9          6.042636E+2          0
1.584637E-6          -5.703126E-9          -4.984375E-9          6.097420E+2          0
9.263254E-8          -5.096876E-9          -8.363544E-9          6.142904E+2          0
2.986957E-6          -6.225001E-9          -4.296875E-9          6.222405E+2          0
5.761334E-6          -2.713541E-9          -2.702083E-9          6.340870E+2          0
6.710821E-7          -6.289584E-9          -6.350001E-9          6.390365E+2          0
8.641299E-6          -2.817708E-9          -2.786458E-9          6.511360E+2          0
3.041308E-6          -2.832291E-9          -2.915624E-9          6.631376E+2          0
1.951490E-7          -4.887500E-9          -4.182292E-9          6.693329E+2          0
7.051080E-7          -6.718751E-9          -4.777084E-9          6.786398E+2          0
2.241314E-6          -3.183333E-9          -3.175000E-9          6.906364E+2          0
5.396290E-6          -5.876043E-9          -4.721875E-9          6.972146E+2          0
4.481329E-6          -3.211458E-9          -3.190625E-9          7.092282E+2          0
1.761322E-6          -3.050000E-9          -3.145833E-9          7.212097E+2          0
9.613300E-7          -2.723958E-9          -2.784374E-9          7.331483E+2          0
4.209501E-6          -9.114586E-9          -4.847917E-9          7.438411E+2          0
5.281339E-6          -3.255208E-9          -3.294791E-9          7.557497E+2          0
4.641328E-6          -3.011458E-9          -2.962500E-9          7.677333E+2          0
3.841358E-6          -3.265625E-9          -3.321875E-9          7.797379E+2          0
1.076370E-6          -5.273959E-9          -5.220834E-9          7.883448E+2          0
4.801343E-6          -2.746874E-9          -2.783333E-9          8.003524E+2          0
4.521520E-7          -4.283333E-9          -5.836459E-9          8.034380E+2          0
