DATI MISURA

Inizio misura: 02/12/2022 17:41:54
Tempo di acquisizione (sec): 4.246537E+5
Eventi acquisiti: 35911

TDC          QDC1          QDC2          Time          Valido
7.839029E-6          NaN          NaN          3.181085E+1          0
4.959110E-6          -2.927083E-9          -2.938541E-9          4.481843E+1          0
3.359235E-6          -2.956250E-9          -2.958333E-9          5.802648E+1          0
9.278958E-6          -2.962500E-9          -2.962500E-9          7.103568E+1          0
3.839193E-6          -2.975000E-9          -2.975000E-9          8.411721E+1          0
1.035818E-6          -6.546876E-9          -3.780208E-9          9.022573E+1          0
8.639000E-6          -2.931250E-9          -2.925000E-9          1.033589E+2          0
6.392909E-7          -2.981250E-9          -2.931250E-9          1.164299E+2          0
3.999246E-6          -2.956250E-9          -2.931250E-9          1.295233E+2          0
1.850386E-6          -4.375000E-9          -4.387500E-9          1.321186E+2          0
6.883445E-7          -3.479167E-9          -3.583333E-9          1.373788E+2          0
5.759062E-6          -3.081250E-9          -3.062500E-9          1.504062E+2          0
3.359272E-6          -2.931250E-9          -2.935416E-9          1.635440E+2          0
1.439284E-6          -2.943750E-9          -2.937500E-9          1.766153E+2          0
4.319235E-6          -2.958333E-9          -2.927083E-9          1.897215E+2          0
6.879010E-6          -2.935416E-9          -2.958333E-9          2.026565E+2          0
5.439124E-6          -2.950000E-9          -2.931250E-9          2.158276E+2          0
7.838965E-6          -2.935416E-9          -2.975000E-9          2.288240E+2          0
5.599079E-6          -2.963541E-9          -2.954166E-9          2.418199E+2          0
3.039200E-6          -2.960416E-9          -2.950000E-9          2.549193E+2          0
8.318995E-6          -2.945833E-9          -2.935416E-9          2.679373E+2          0
2.399256E-6          -2.950000E-9          -2.975000E-9          2.810337E+2          0
4.639092E-6          -2.979166E-9          -2.929166E-9          2.941032E+2          0
7.519019E-6          -3.071875E-9          -2.950000E-9          3.071385E+2          0
4.793078E-7          -2.941666E-9          -2.985416E-9          3.202295E+2          0
9.278909E-6          -2.960416E-9          -2.965625E-9          3.332269E+2          0
9.278947E-6          -2.960416E-9          -2.947916E-9          3.463189E+2          0
8.319011E-6          -2.985416E-9          -2.962500E-9          3.592336E+2          0
5.599142E-6          -2.935416E-9          -2.955208E-9          3.723224E+2          0
1.593650E-7          -2.977083E-9          -2.941666E-9          3.854252E+2          0
8.638980E-6          -2.945833E-9          -2.931250E-9          3.985375E+2          0
8.638972E-6          -2.952083E-9          -2.950000E-9          4.115108E+2          0
5.279090E-6          -2.933333E-9          -2.933333E-9          4.246146E+2          0
4.159157E-6          -2.950000E-9          -2.940625E-9          4.376278E+2          0
3.199227E-6          -2.950000E-9          -2.954166E-9          4.509334E+2          0
2.399255E-6          -2.943750E-9          -2.929166E-9          4.639234E+2          0
3.334983E-7          -4.502084E-9          -5.447917E-9          4.690184E+2          0
4.479164E-6          -2.927083E-9          -2.931250E-9          4.820237E+2          0
1.007885E-5          -2.952083E-9          -2.966666E-9          4.951414E+2          0
6.399071E-6          -2.933333E-9          -2.941666E-9          5.080303E+2          0
7.679038E-6          -3.021875E-9          -3.009375E-9          5.212144E+2          0
6.399089E-6          -2.927083E-9          -2.939583E-9          5.342426E+2          0
8.908334E-8          -4.918751E-9          -3.566667E-9          5.471236E+2          0
4.159181E-6          -2.935416E-9          -2.979166E-9          5.603212E+2          0
8.638967E-6          -2.958333E-9          -2.955208E-9          5.733439E+2          0
