DATI MISURA

Inizio misura: 05/10/2022 15:49:56
Tempo di acquisizione (sec): 4.272431E+5
Eventi acquisiti: 34870

TDC          QDC1          QDC2          Time          Valido
5.001429E-7          NaN          NaN          5.830324E+0          0
3.361264E-6          -2.933333E-9          -2.855208E-9          1.922832E+1          0
8.014231E-7          -2.966666E-9          -2.712500E-9          3.244884E+1          0
9.441034E-6          -2.910416E-9          -2.920833E-9          4.593831E+1          0
3.521359E-6          -2.931250E-9          -2.914583E-9          5.933894E+1          0
4.801374E-6          -3.076041E-9          -2.925000E-9          7.263566E+1          0
8.801083E-6          -2.965625E-9          -2.880208E-9          8.584471E+1          0
1.921338E-6          -2.929166E-9          -2.918750E-9          9.945020E+1          0
6.881139E-6          -2.953125E-9          -2.897916E-9          1.138471E+2          0
4.481233E-6          -3.041666E-9          -2.956250E-9          1.278441E+2          0
9.761066E-6          -3.004166E-9          -2.979166E-9          1.413443E+2          0
6.241250E-6          -2.931250E-9          -2.895833E-9          1.560394E+2          0
5.921143E-6          -2.954166E-9          -2.918750E-9          1.694353E+2          0
7.841157E-6          -2.956250E-9          -2.870833E-9          1.831483E+2          0
7.521093E-6          -3.002083E-9          -2.993750E-9          1.965499E+2          0
1.921373E-6          -2.972916E-9          -2.958333E-9          2.100515E+2          0
4.961248E-6          -2.939583E-9          -2.904166E-9          2.234237E+2          0
1.008106E-5          -3.077083E-9          -3.035416E-9          2.369597E+2          0
7.201018E-6          -2.984375E-9          -2.903125E-9          2.503518E+2          0
1.008096E-5          -2.981250E-9          -2.933333E-9          2.645542E+2          0
7.681112E-6          -2.989583E-9          -3.012500E-9          2.794908E+2          0
8.161100E-6          -3.039583E-9          -2.918750E-9          2.930703E+2          0
4.161367E-6          -3.001041E-9          -2.910416E-9          3.066576E+2          0
1.121406E-6          -2.960416E-9          -2.805208E-9          3.205829E+2          0
3.041374E-6          -2.929166E-9          -2.915625E-9          3.345713E+2          0
4.161286E-6          -2.994791E-9          -2.906250E-9          3.484672E+2          0
1.025052E-6          -3.979167E-9          -3.431250E-9          3.495733E+2          0
1.121332E-6          -2.943750E-9          -2.848958E-9          3.638937E+2          0
7.390396E-7          -3.716667E-9          -3.300000E-9          3.662324E+2          0
4.481342E-6          -2.918750E-9          -2.910416E-9          3.794827E+2          0
3.212524E-7          -7.359377E-9          -3.359375E-9          3.864713E+2          0
4.161289E-6          -2.920833E-9          -2.876041E-9          4.002711E+2          0
8.481090E-6          -3.066666E-9          -2.922916E-9          4.139893E+2          0
5.921237E-6          -2.947916E-9          -2.929166E-9          4.273730E+2          0
8.641080E-6          -3.027083E-9          -2.971875E-9          4.405864E+2          0
3.361385E-6          -3.045833E-9          -2.922916E-9          4.539805E+2          0
9.600964E-6          -2.945833E-9          -2.927083E-9          4.674901E+2          0
5.441318E-6          -2.908333E-9          -2.900000E-9          4.807698E+2          0
7.681173E-6          -3.020833E-9          -2.922916E-9          4.941543E+2          0
1.441327E-6          -2.927083E-9          -2.873958E-9          5.078716E+2          0
1.288226E-6          -5.684376E-9          -3.450000E-9          5.182845E+2          0
9.121047E-6          -2.925000E-9          -2.902083E-9          5.314723E+2          0
1.715442E-6          -4.796876E-9          -4.621875E-9          5.355724E+2          0
2.989457E-6          -4.313542E-9          -4.035417E-9          5.405808E+2          0
2.540558E-6          -5.904168E-9          -3.518750E-9          5.535680E+2          0
6.299373E-7          -3.477083E-9          -3.467708E-9          5.564692E+2          0
1.441484E-6          -2.950000E-9          -2.866666E-9          5.700669E+2          0
6.721158E-6          -2.954166E-9          -2.931250E-9          5.833690E+2          0
2.561326E-6          -2.908333E-9          -2.906250E-9          5.967546E+2          0
