DATI MISURA

Inizio misura: 13/10/2023 17:09:56
Tempo di acquisizione (sec): 250217.0
Eventi acquisiti: 29160

TDC QDC1 QDC2
4.105806576732112e-06  
6.23377579162718e-06 -1.41995e-09 -1.4120750000000002e-09
4.3625250552931565e-06 -1.3585250000000001e-09 -1.348287e-09
2.694042924959283e-06 -1.6207629999999998e-09 -1.6462249999999999e-09
5.033987051551531e-06 -3.560639e-09 -3.197601e-09
8.171649340274219e-07 -1.642288e-09 -1.64465e-09
9.991688362154093e-07 -4.2688640000000005e-09 -4.494089e-09
4.378130934714632e-06 -1.67405e-09 -1.68875e-09
1.8370698908992796e-06 -1.3853e-09 -1.3750620000000002e-09
2.157387937831481e-06 -1.30445e-09 -1.3257120000000002e-09
9.778771169698082e-06 -1.5942500000000002e-09 -1.6113129999999998e-09
1.4720048201825371e-07 -1.324925e-09 -1.308125e-09
1.0791582834483937e-05 -1.616038e-09 -1.6475379999999999e-09
4.7076327400737895e-06 -1.5026370000000004e-09 -1.5097249999999998e-09
1.078766382901886e-05 -1.690063e-09 -1.6643379999999998e-09
4.763296015482434e-06 -3.506039e-09 -3.0737009999999997e-09
1.0286551536840205e-05 -1.386875e-09 -1.39475e-09
5.381791849749797e-06 -1.5029e-09 -1.4965999999999998e-09
8.25792781385558e-06 -1.6577750000000003e-09 -1.6837629999999997e-09
2.676678169653843e-06 -1.6464879999999997e-09 -1.657513e-09
4.195930981184236e-06 -1.3826749999999999e-09 -1.3853e-09
5.0470361881352395e-06 -1.5120870000000004e-09 -1.49765e-09
1.1534670448219976e-06 -8.379617e-09 -3.119376e-09
2.26423319436645e-06 -3.194976e-09 -5.976428e-09
3.0098138873665785e-06 -1.53755e-09 -1.547787e-09
6.297360097384647e-07 -5.468751999999999e-09 -1.9082e-09
2.501327026904989e-06 -1.562225e-09 -1.57745e-09
2.507356541472445e-06 -1.3879249999999998e-09 -1.3884499999999999e-09
1.5911853221948443e-07 -3.633614e-09 -4.679677e-09
4.035461834889763e-06 -1.6751e-09 -1.687175e-09
6.057550611580977e-06 -1.5992379999999997e-09 -1.613675e-09
2.3379779795472122e-06 -1.5288870000000002e-09 -1.52705e-09
3.866496005487094e-06 -1.633625e-09 -1.6184000000000001e-09
9.430650761711741e-06 -1.40735e-09 -1.41155e-09
1.4825798094908053e-06 -3.5921390000000005e-09 -2.693076e-09
2.673543470328742e-06 -1.4215250000000002e-09 -1.4078750000000002e-09
3.632996036414429e-07 -3.149563e-09 -2.9849759999999997e-09
2.008335364894639e-06 -1.3837249999999998e-09 -1.3887120000000003e-09
6.355953667472773e-07 -3.470601e-09 -2.8348259999999998e-09
1.1607731303831853e-06 -1.6701129999999996e-09 -1.6630250000000003e-09
2.175412524791004e-06 -1.4118120000000001e-09 -1.43045e-09
2.640296691466994e-06 -5.4522150000000005e-09 -3.020676e-09
8.930828472965333e-06 -1.4462e-09 -1.4496120000000001e-09
