DATI MISURA

Inizio misura: 14/11/2023 18:49:55
Tempo di acquisizione (sec): 243797.9
Eventi acquisiti: 24680

TDC QDC1 QDC2
4.2670172186854486e-07 -9.091663e-10 -8.75833e-10
1.3459943745059737e-06 -8.737497e-10 -8.966663e-10
8.383765331842211e-06 -9.112497e-10 -8.737497e-10
4.543598908991969e-06 -4.243543e-09 -2.709167e-09
1.8429462800418345e-06 -4.944585e-09 -2.6685419999999998e-09
5.098958199047727e-06 -9.19583e-10 -8.94583e-10
3.2546358795055465e-06 -4.293542999999999e-09 -2.507084e-09
4.943810135890307e-06 -8.799997e-10 -8.737497e-10
5.567550465149301e-06 -8.841663e-10 -8.841663e-10
9.710264720818472e-08 -9.612497e-10 -9.122913e-10
3.0792259358474e-06 -2.584167e-09 -3.742501e-09
1.973919761420444e-06 -9.091663e-10 -8.862497e-10
7.914050808364498e-06 -8.94583e-10 -8.799997e-10
6.770953415294205e-08 -7.731045e-09 -2.6216669999999996e-09
5.569619411592454e-06 -9.03958e-10 -9.216663e-10
4.943971465574954e-06 -8.716663e-10 -8.75833e-10
1.345816922690417e-06 -9.216663e-10 -8.862497e-10
1.3473547949582782e-06 -9.206247e-10 -8.904163e-10
4.630842777434522e-06 -8.779163e-10 -8.591663e-10
6.508487329054658e-06 -8.97708e-10 -8.904163e-10
6.19432101534525e-06 -9.904164e-10 -9.404164e-10
2.597343992939112e-06 -8.94583e-10 -8.997913e-10
7.476543300659384e-07 -4.27896e-09 -3.5789590000000003e-09
6.507665030882343e-06 -9.53958e-10 -8.904163e-10
5.881008136573025e-06 -8.75833e-10 -8.612497e-10
9.709334803862452e-08 -8.841663e-10 -8.69583e-10
8.023339343516978e-06 -2.0383339999999995e-09 -3.0862509999999997e-09
1.9738235129937338e-06 -9.237497e-10 -9.091663e-10
3.537321801410224e-06 -9.03958e-10 -9.25833e-10
4.661238471336063e-06 -4.1602100000000005e-09 -2.313334e-09
2.535598606868793e-07 -9.612497e-10 -9.049997e-10
4.9448722916390815e-06 -9.612497e-10 -9.487497e-10
2.1267950592022284e-06 -9.372914e-10 -9.112497e-10
1.767070614015632e-06 -7.042503000000001e-09 -4.17271e-09
6.350739747502714e-06 -9.63333e-10 -9.091663e-10
8.696509210210213e-06 -8.466663e-10 -8.38333e-10
5.411727354168196e-06 -9.341664e-10 -8.737497e-10
5.099561318767048e-06 -8.88333e-10 -8.88333e-10
8.228553909331825e-06 -8.75833e-10 -8.737497e-10
4.003154039667401e-06 -9.19583e-10 -8.88333e-10
6.506184855493488e-06 -9.143747e-10 -8.904163e-10
7.601147440635962e-06 -8.94583e-10 -8.716663e-10
6.3511460756506446e-06 -9.404164e-10 -8.987497e-10
6.662720962903145e-06 -8.69583e-10 -8.82083e-10
6.8759092016529e-06 -7.044585999999999e-09 -2.377917e-09
8.783505542313069e-07 -9.685414e-10 -9.112497e-10
5.8831723282583e-06 -8.966663e-10 -8.82083e-10
