DATI MISURA

Inizio misura: 04/12/2023 18:10:08
Tempo di acquisizione (sec): 595361.0
Eventi acquisiti: 60093

TDC QDC1 QDC2
1.1514851997085703e-06 -5.893745e-10 -5.997912e-10
7.007084790076139e-06 -3.026876e-09 -2.2539589999999996e-09
5.850027515626505e-06 -3.966661e-10 -4.102078e-10
9.363782577403961e-07 -2.010209e-09 -2.531042e-09
1.0790653485886456e-06 -4.252918e-09 -1.964375e-09
1.2947960916923863e-06 -6.239376999999999e-09 -2.5633339999999997e-09
2.3281861722512908e-06 -5.458126999999999e-09 -2.074792e-09
1.418978025511226e-06 -7.414579e-10 -6.810412e-10
5.579204288516295e-06 -6.070829e-10 -6.487496e-10
5.964982174994663e-06 -9.872914e-10 -8.716663e-10
5.7747655476424235e-06 -2.306042e-09 -3.277917e-09
5.189122667525377e-06 -6.143745e-10 -6.352079e-10
2.2264357249945695e-06 -2.53e-09 -3.3893759999999997e-09
4.197541534918109e-08 -2.6497919999999996e-09 -2.061875e-09
2.590981488014007e-06 -7.593544e-09 -2.2331249999999998e-09
2.0628101452370454e-06 -4.393745e-10 -4.206244e-10
9.802187872196873e-07 -4.211251e-09 -3.359167e-09
7.91476901648388e-06 -6.548752e-09 -1.6164579999999998e-09
8.176533829127585e-06 -4.487495e-10 -4.143744e-10
1.6670494012429714e-06 -5.289578e-10 -5.216662e-10
2.3228157271362728e-06 -8.85208e-10 -8.487496e-10
1.795226570442392e-06 -2.528959e-09 -2.916459e-09
3.7218015888101224e-07 -4.654161e-10 -4.831245e-10
7.254864212580495e-07 -3.6039590000000005e-09 -2.5706250000000003e-09
2.0589921895300678e-07 -5.7268769999999994e-09 -3.1716669999999995e-09
3.23072188298394e-06 -8.268746e-10 -7.654163e-10
1.783619207952605e-06 -6.605002e-09 -1.8352079999999999e-09
1.853938741795587e-06 -2.3331250000000003e-09 -3.2997919999999996e-09
4.80346620303887e-06 -7.320829e-10 -6.112495e-10
8.844566570283704e-07 -7.94583e-10 -7.727079e-10
3.7577222820500703e-07 -5.195828e-10 -4.966661e-10
5.716958171238002e-06 -7.466663e-10 -8.57083e-10
7.280725006687472e-06 -8.435413e-10 -7.872913e-10
1.2290992060821549e-06 -4.511251e-09 -2.221667e-09
2.457633379597778e-06 -1.8060420000000001e-09 -3.885209e-09
3.4854229522568563e-06 -5.737495e-10 -5.372912e-10
7.784140202136735e-06 -9.44583e-10 -9.966664e-10
3.707423625277911e-07 -4.966661e-10 -5.227078e-10
4.700714773893511e-07 -4.367501e-09 -1.9810420000000002e-09
7.661243025466001e-06 -9.393747e-10 -8.28958e-10
9.21156040939901e-07 -2.0018749999999998e-09 -2.141459e-09
6.760043285077313e-06 -4.164578e-10 -4.029161e-10
8.050710831201759e-06 -6.122912e-10 -5.518745e-10
1.8681236670383729e-06 -2.405e-09 -2.7852090000000002e-09
8.113673332068539e-07 -2.4310419999999997e-09 -3.087292e-09
