DATI MISURA

Inizio misura: 08/10/2024 19:11:12
Tempo di acquisizione (sec): 243172.2
Eventi acquisiti: 24321

TDC QDC1 QDC2
3.2258951780769953e-06  
1.4437766477269954e-06 -2.3102089999999997e-09 -3.278959e-09
3.1165177284218818e-06 -9.466664e-10 -9.299997e-10
7.258761619111794e-06 -7.102079e-10 -6.289579e-10
2.9733903911431454e-06 -7.737496e-10 -7.039579e-10
7.974879630733377e-06 -6.747912e-10 -6.914579e-10
2.0443993473621914e-06 -3.5591679999999996e-09 -5.181043e-09
8.114929269536878e-06 -8.424996e-10 -8.831247e-10
1.8312624297718492e-06 -1.0622910000000002e-09 -1.095625e-09
1.9282815809954097e-06 -2.960209e-09 -2.2175e-09
6.399319152805366e-06 -1.0602080000000002e-09 -1.0352080000000002e-09
4.140146066763524e-06 -2.7893759999999997e-09 -2.106042e-09
1.54651094421073e-06 -6.352079e-10 -6.195829e-10
5.1163140027950635e-06 -7.404163e-10 -8.435413e-10
6.400247841014334e-06 -1.001875e-09 -1.044583e-09
4.25934563127469e-06 -1.069583e-09 -1.0247910000000003e-09
4.115623600407155e-06 -8.622913e-10 -8.310413e-10
4.685915354404272e-06 -8.810413e-10 -7.310413e-10
3.689898455863848e-06 -6.695829e-10 -6.174995e-10
2.995010176156057e-06 -3.880000999999999e-09 -2.5185419999999997e-09
6.884791658304187e-07 -7.227079e-10 -7.591663e-10
5.971981610126272e-06 -6.924996e-10 -7.164579e-10
4.0230984328806116e-07 -9.237497e-10 -9.341664e-10
5.401039017916128e-06 -7.997913e-10 -7.924996e-10
4.039502988178976e-07 -6.841662e-10 -7.466663e-10
1.1174195491532824e-06 -5.674995e-10 -5.956245e-10
1.8315395859799365e-06 -7.362496e-10 -8.19583e-10
2.592687520991185e-07 -8.049996e-10 -7.591663e-10
5.8312681740757505e-06 -6.299995e-10 -5.602078e-10
6.89557394695734e-07 -7.164579e-10 -6.466662e-10
8.258609301060882e-06 -7.081246e-10 -7.497913e-10
1.8198830336597803e-06 -4.723751000000001e-09 -2.091459e-09
2.034394978858283e-07 -6.503960999999999e-09 -2.1831249999999997e-09
2.8311148804577125e-06 -6.518746e-10 -6.862496e-10
6.973442258032128e-06 -6.018745e-10 -6.852079e-10
1.9727886839859977e-06 -4.820828e-10 -5.570828e-10
2.126526668616129e-06 -3.721668e-09 -2.3654169999999998e-09
1.6887714482234414e-06 -6.477079e-10 -6.570829e-10
2.3399900385659736e-06 -2.4633339999999996e-09 -2.7237509999999997e-09
2.972305595253917e-06 -7.862496e-10 -7.97708e-10
1.7772099827631594e-06 -2.1675e-09 -2.077917e-09
1.0763768418262276e-06 -6.19146e-09 -4.220626e-09
2.692061478069398e-06 -5.077918e-09 -2.607084e-09
1.8123267740732002e-07 -3.1018759999999996e-09 -2.9039590000000005e-09
5.467057946153834e-07 -4.966661e-10 -5.143745e-10
2.5454940836092524e-06 -6.414579e-10 -6.299995e-10
