DATI MISURA

Inizio misura: 18/10/2024 17:09:23
Tempo di acquisizione (sec): 518246.9
Eventi acquisiti: 51264

TDC QDC1 QDC2
1.1368800609753176e-05 -6.069364000000001e-09 -2.9309040000000003e-09
2.8355884034372244e-06 -2.9566290000000005e-09 -3.623381e-09
5.488565706907587e-06 -1.1721489999999998e-09 -1.1311989999999999e-09
6.210932253586395e-06 -1.155349e-09 -1.0786989999999999e-09
2.820160827292243e-07 -7.632819000000001e-09 -3.221755e-09
3.6856084078742846e-06 -1.339624e-09 -1.332799e-09
4.835414502965059e-07 -6.37019e-09 -3.01543e-09
3.142774098905648e-06 -1.0382739999999998e-09 -1.0466739999999999e-09
1.126098479830532e-05 -9.689733e-10 -9.295982e-10
7.832118064677064e-06 -1.034599e-09 -1.0156980000000001e-09
1.701572774170193e-06 -1.342249e-09 -1.319149e-09
1.6167505930214062e-07 -3.577706e-09 -1.8053010000000003e-09
1.107962295504475e-05 -1.2755739999999998e-09 -1.272949e-09
8.55448729270298e-06 -1.1107239999999999e-09 -1.1443239999999999e-09
3.981793134877427e-06 -6.1145139999999994e-09 -2.9036040000000002e-09
4.407240769365729e-06 -1.252999e-09 -1.182649e-09
2.5246971759926533e-06 -5.848338000000001e-09 -3.5703559999999996e-09
9.796883087655357e-07 -1.0298740000000001e-09 -1.000998e-09
4.806467153213981e-06 -4.450784e-09 -4.246032999999999e-09
1.1620904215116416e-05 -1.0340739999999998e-09 -1.0424739999999998e-09
2.963845771284364e-06 -1.352749e-09 -1.3159989999999999e-09
6.389247487396334e-06 -1.114924e-09 -1.147999e-09
9.207348180567168e-07 -6.384890000000001e-09 -2.5156279999999997e-09
7.272873321318005e-07 -3.660657e-09 -4.093783e-09
2.8237468778183726e-06 -2.7083040000000003e-09 -4.227658e-09
8.734813376317221e-06 -9.259232e-10 -9.411482e-10
5.8818352331262955e-06 -3.28213e-09 -2.6894040000000003e-09
4.167028526330218e-06 -2.285677e-09 -3.3971059999999996e-09
3.3234836187789206e-06 -1.0435239999999998e-09 -1.0162230000000002e-09
8.530841641273163e-07 -6.149689000000001e-09 -3.08578e-09
6.752180061610259e-06 -1.173199e-09 -1.207324e-09
8.801760453670077e-06 -3.4028809999999996e-09 -2.784954e-09
7.293458911542279e-06 -1.2361989999999998e-09 -1.214674e-09
1.0540335233962989e-05 -1.35905e-09 -1.359575e-09
1.9844739889434582e-06 -7.0878669999999985e-09 -3.609731e-09
6.618708621039976e-06 -4.75266e-09 -3.1351299999999997e-09
1.4275098539945077e-06 -5.072386e-09 -2.7125040000000007e-09
4.767061281640763e-06 -1.170049e-09 -1.170049e-09
1.0000059000928706e-05 -1.0802739999999999e-09 -1.0671489999999999e-09
1.4823241323484305e-06 -3.1529800000000004e-09 -3.3829309999999995e-09
6.935582546901023e-07 -5.223061e-09 -2.6731290000000004e-09
6.028801224197834e-06 -1.0561240000000001e-09 -9.994234e-10
