DATI MISURA

Inizio misura: 28/10/2024 18:06:13
Tempo di acquisizione (sec): 246799.6
Eventi acquisiti: 25293

TDC QDC1 QDC2
1.3118833571223143e-06  
3.676458504583531e-06 -1.052375e-08 -2.2820839999999997e-09
1.092768546886866e-05 -1.89875e-09 -2.175834e-09
6.360816053804485e-07 -8.154163e-10 -8.091663e-10
7.91527315977874e-06 -6.495626999999999e-09 -6.369586e-09
2.3667377089907284e-06 -2.9945840000000003e-09 -3.967501e-09
1.239179768934758e-06 -1.163625e-08 -4.3352099999999995e-09
8.883272493045665e-06 -8.19583e-10 -8.07083e-10
1.0564301003963678e-05 -8.19583e-10 -8.32083e-10
6.189345604616795e-06 -8.19583e-10 -8.154163e-10
8.055632381334802e-07 -1.650833e-09 -2.051875e-09
4.507235721966484e-06 -8.19583e-10 -8.19583e-10
5.686164064148442e-06 -8.174997e-10 -8.19583e-10
1.056339845933756e-05 -8.174997e-10 -8.112497e-10
3.865897438085633e-06 -9.712296e-09 -2.9758340000000005e-09
7.642315633529084e-07 -2.7550009999999996e-09 -7.644586e-09
1.0393621470851188e-05 -8.19583e-10 -8.154163e-10
1.9845127912500544e-06 -7.966663e-10 -8.112497e-10
5.03007698442798e-07 -7.090419e-09 -6.416460999999999e-09
9.387162869635733e-06 -8.75833e-10 -8.279164e-10
4.507002060391811e-06 -8.32083e-10 -8.25833e-10
7.511745875854146e-07 -5.7352100000000005e-09 -1.750833e-09
7.910109098889281e-06 -9.944587e-09 -2.9070840000000003e-09
4.9820779053118904e-08 -6.370627e-09 -3.2768759999999995e-09
1.452749230636373e-06 -5.630002e-09 -2.36125e-09
4.34022583298478e-06 -8.424997e-10 -8.44583e-10
4.687136633685593e-07 -8.44583e-10 -8.341664e-10
7.031853392477749e-06 -8.174997e-10 -8.82083e-10
7.356651335386018e-06 -3.438334e-09 -2.846667e-09
2.5228362838024585e-06 -5.2727100000000005e-09 -2.044584e-09
2.4279309039227446e-06 -2.665417e-09 -2.6945840000000005e-09
3.008307412769123e-06 -3.052917e-09 -3.940417999999999e-09
6.385317079014055e-06 -5.369585e-09 -4.194585e-09
7.1993759203714866e-06 -8.63333e-10 -8.216664e-10
1.7300219109207469e-06 -2.52375e-09 -2.33625e-09
2.5052010746264454e-07 -2.4133339999999996e-09 -2.0633339999999998e-09
5.349904714268291e-06 -8.091663e-10 -8.00833e-10
6.236569106389152e-06 -3.919584e-09 -1.58e-09
4.339653265156296e-06 -8.19583e-10 -8.216664e-10
7.03205092465685e-06 -8.19583e-10 -8.341664e-10
8.04143276253211e-06 -8.25833e-10 -8.19583e-10
3.751598575532187e-06 -7.428961e-09 -1.5070829999999999e-09
5.322386922288297e-07 -8.236253000000001e-09 -3.227917e-09
2.9916932799995264e-06 -8.38333e-10 -8.331247e-10
2.6082117506723827e-07 -1.1219589999999999e-08 -1.905e-09
8.590725048206499e-08 -4.286251e-09 -5.245627e-09
