Group "TDC resolution" theta_0 theta_1
H1 1e-09 5.5097001707547437e-08 1.1865732414376906
F2 1e-09 -2.8569197853881813e-08 1.1991566879763642
C1 1e-09 5.984655840261509e-08 1.145287712043154
D1 1e-09 -1.2725360095593424e-08 1.0890207908672713
G1 1e-09 5.411737206856809e-09 1.1742349279068116
A2 1e-09 1.8412538541582556e-08 1.0523124475770191
I2 1e-09 -1.7954598710514902e-08 1.0417968126510748
E1 1e-09 5.7985849794893896e-08 1.133843009463458
G2 1e-09 6.2582796405586295e-09 0.8201007096712337
D2 1e-09 -7.925701166553932e-08 0.883518641518085
H2 1e-09 -6.505695571914177e-08 1.146715344282189
E2 1e-09 -4.972510791586331e-08 1.0838628958481662
B1 1e-09 1.0832041142912184e-08 1.1831329395556007
F1 1e-09 7.774456092524017e-08 1.132555776500849
I1 1e-09 2.9371352601723456e-10 0.8396204498958256
B2 1e-09 -7.48519039699755e-08 1.1227271923120161
C2 1e-09 -9.569672024884023e-08 1.1800465054690201
