DATI MISURA

Inizio misura: 11/10/2022 17:18:40
Tempo di acquisizione (sec): 2.496051E+5
Eventi acquisiti: 24237

TDC          QDC1          QDC2          Time          Valido
6.404659E-7          -3.079166E-9          -3.072916E-9          7.672095E+0          0
1.760441E-6          -3.247916E-9          -3.218750E-9          1.962166E+1          0
7.520436E-6          -3.132291E-9          -3.241666E-9          3.162625E+1          0
3.840442E-6          -3.266666E-9          -3.233333E-9          4.363384E+1          0
3.349006E-6          -4.511459E-9          -4.873959E-9          4.918524E+1          0
2.880467E-6          -3.218750E-9          -3.244791E-9          6.267561E+1          0
1.784558E-6          -8.045835E-9          -6.859376E-9          6.455343E+1          0
1.604897E-7          -3.133333E-9          -3.175000E-9          7.674301E+1          0
8.004453E-7          -3.147916E-9          -3.133333E-9          8.881459E+1          0
1.920442E-6          -3.173958E-9          -3.243750E-9          1.007421E+2          0
4.804734E-7          -3.202083E-9          -3.130208E-9          1.148605E+2          0
1.549784E-6          -4.831250E-9          -4.896875E-9          1.246614E+2          0
1.959708E-7          -4.212500E-9          -4.559375E-9          1.346402E+2          0
4.620116E-6          -5.348959E-9          -4.869792E-9          1.373619E+2          0
4.320461E-6          -3.181250E-9          -3.154166E-9          1.494625E+2          0
9.699565E-7          -5.359376E-9          -4.771875E-9          1.553487E+2          0
2.901839E-7          -5.476042E-9          -6.157293E-9          1.588383E+2          0
1.024042E-5          -3.232291E-9          -3.262500E-9          1.706819E+2          0
1.247664E-6          -6.810418E-9          -4.712500E-9          1.802538E+2          0
3.840469E-6          -3.182291E-9          -3.212500E-9          1.921685E+2          0
6.560450E-6          -3.254166E-9          -3.209375E-9          2.042551E+2          0
4.800476E-6          -3.234375E-9          -3.219791E-9          2.162486E+2          0
4.679204E-7          -6.280209E-9          -4.722917E-9          2.189603E+2          0
1.760459E-6          -3.116666E-9          -3.161458E-9          2.309509E+2          0
3.712250E-6          -5.105209E-9          -5.161459E-9          2.346635E+2          0
6.400461E-6          -3.162500E-9          -3.154166E-9          2.467810E+2          0
3.204746E-7          -3.207291E-9          -3.132291E-9          2.588657E+2          0
2.531284E-6          -1.005521E-8          -4.540625E-9          2.605455E+2          0
8.004614E-7          -3.131250E-9          -3.127083E-9          2.726620E+2          0
3.351307E-6          -6.805210E-9          -5.617709E-9          2.808540E+2          0
2.066133E-6          -5.779168E-9          -4.144792E-9          2.880362E+2          0
1.124247E-6          -5.303126E-9          -4.495834E-9          2.949364E+2          0
2.240446E-6          -3.253125E-9          -3.181250E-9          3.069690E+2          0
4.960452E-6          -3.236458E-9          -3.169791E-9          3.188376E+2          0
1.280432E-6          -3.241666E-9          -3.216666E-9          3.309792E+2          0
