DATI MISURA

Inizio misura: 17/10/2022 17:06:17
Tempo di acquisizione (sec): 2.499298E+5
Eventi acquisiti: 20665

TDC          QDC1          QDC2          Time          Valido
2.880134E-6          -2.933333E-9          -2.929166E-9          9.761906E+0          0
5.280048E-6          -2.931250E-9          -2.948958E-9          2.327021E+1          0
5.120072E-6          -2.939583E-9          -2.933333E-9          3.702828E+1          0
1.007982E-5          -2.927083E-9          -2.929166E-9          5.017022E+1          0
8.959855E-6          -2.931250E-9          -2.927083E-9          6.355921E+1          0
3.360150E-6          -2.929166E-9          -2.925000E-9          7.696563E+1          0
2.720159E-6          -2.935416E-9          -2.927083E-9          9.026244E+1          0
4.802618E-7          -2.937500E-9          -2.929166E-9          1.033413E+2          0
4.800087E-6          -2.934375E-9          -2.927083E-9          1.167519E+2          0
3.840121E-6          -2.929166E-9          -2.925000E-9          1.298479E+2          0
3.202602E-7          -2.927083E-9          -2.927083E-9          1.433509E+2          0
6.080008E-6          -2.937500E-9          -2.929166E-9          1.564787E+2          0
9.759868E-6          -2.947916E-9          -2.929166E-9          1.697550E+2          0
4.802565E-7          -2.941666E-9          -2.941666E-9          1.831581E+2          0
8.479921E-6          -2.960416E-9          -2.935416E-9          1.962639E+2          0
4.480092E-6          -2.927083E-9          -2.954166E-9          2.093667E+2          0
9.919844E-6          -2.929166E-9          -2.929166E-9          2.226552E+2          0
9.119865E-6          -2.927083E-9          -2.927083E-9          2.359302E+2          0
4.160102E-6          -2.937500E-9          -2.918750E-9          2.491418E+2          0
1.920172E-6          -2.927083E-9          -2.927083E-9          2.623579E+2          0
5.997809E-7          -5.575001E-9          -3.739583E-9          2.682060E+2          0
9.439870E-6          -2.943750E-9          -2.927083E-9          2.814561E+2          0
6.402477E-7          -2.929166E-9          -2.927083E-9          2.946553E+2          0
9.759853E-6          -2.950000E-9          -2.941666E-9          3.079549E+2          0
9.439855E-6          -2.929166E-9          -2.927083E-9          3.209596E+2          0
9.919846E-6          -2.927083E-9          -2.916666E-9          3.346652E+2          0
5.120089E-6          -2.931250E-9          -2.920833E-9          3.479499E+2          0
3.840109E-6          -2.918750E-9          -3.014583E-9          3.612583E+2          0
1.920171E-6          -2.939583E-9          -2.987500E-9          3.746520E+2          0
8.959890E-6          -2.933333E-9          -2.922916E-9          3.880582E+2          0
2.403429E-6          -3.631250E-9          -3.520833E-9          3.922297E+2          0
4.802703E-7          -2.968750E-9          -2.945833E-9          4.057481E+2          0
7.679935E-6          -2.962500E-9          -2.931250E-9          4.196605E+2          0
3.360154E-6          -2.937500E-9          -2.929166E-9          4.327413E+2          0
1.760186E-6          -2.925000E-9          -2.927083E-9          4.461570E+2          0
2.720182E-6          -2.927083E-9          -2.929166E-9          4.594487E+2          0
1.440208E-6          -2.979166E-9          -3.000000E-9          4.729467E+2          0
7.839918E-6          -2.939583E-9          -2.945833E-9          4.864662E+2          0
1.220128E-6          -5.268751E-9          -5.193751E-9          4.926628E+2          0
6.880007E-6          -2.962500E-9          -2.995833E-9          5.061733E+2          0
3.840126E-6          -2.946875E-9          -2.939583E-9          5.192450E+2          0
6.402474E-7          -2.929166E-9          -2.929166E-9          5.325652E+2          0
1.280224E-6          -2.920833E-9          -2.929166E-9          5.462513E+2          0
3.680100E-6          -2.922916E-9          -2.925000E-9          5.599384E+2          0
7.519949E-6          -2.933333E-9          -2.933333E-9          5.733515E+2          0
9.439881E-6          -2.929166E-9          -2.937500E-9          5.865678E+2          0
6.080025E-6          -2.935416E-9          -2.931250E-9          5.997750E+2          0
