DATI MISURA

Inizio misura: 28/10/2022 17:12:37
Tempo di acquisizione (sec): 5.120979E+5
Eventi acquisiti: 42583

TDC          QDC1          QDC2          Time          Valido
8.716096E-7          NaN          NaN          1.308428E+1          0
1.120428E-6          -2.941666E-9          -3.002083E-9          7.398154E+1          0
3.840237E-7          -3.706250E-9          -4.425000E-9          8.358033E+1          0
1.920397E-6          -2.985416E-9          -2.933333E-9          9.692001E+1          0
1.760417E-6          -2.972916E-9          -2.954166E-9          1.099812E+2          0
2.687470E-6          -4.279167E-9          -3.662500E-9          1.295331E+2          0
4.804630E-7          -2.937500E-9          -2.950000E-9          1.428496E+2          0
1.620313E-6          -4.247917E-9          -5.437501E-9          1.545628E+2          0
6.404531E-7          -2.966666E-9          -2.950000E-9          1.677588E+2          0
9.604146E-7          -2.929166E-9          -2.927083E-9          1.809349E+2          0
2.400371E-6          -2.935416E-9          -2.954166E-9          1.942250E+2          0
1.760405E-6          -2.916666E-9          -2.931250E-9          2.073347E+2          0
2.400386E-6          -2.929166E-9          -2.931250E-9          2.206515E+2          0
1.920394E-6          -2.937500E-9          -2.943750E-9          2.337281E+2          0
8.004495E-7          -2.942708E-9          -2.927083E-9          2.471160E+2          0
1.760415E-6          -2.964583E-9          -2.941666E-9          2.605102E+2          0
1.280438E-6          -2.927083E-9          -2.925000E-9          2.737237E+2          0
1.760400E-6          -2.922916E-9          -2.914583E-9          2.869126E+2          0
2.400389E-6          -2.935416E-9          -2.937500E-9          3.004235E+2          0
4.804514E-7          -2.927083E-9          -2.922916E-9          3.135495E+2          0
2.400389E-6          -2.935416E-9          -2.927083E-9          3.268527E+2          0
1.604797E-7          -2.927083E-9          -2.920833E-9          3.400564E+2          0
8.004469E-7          -2.954166E-9          -2.929166E-9          3.531594E+2          0
1.760389E-6          -2.927083E-9          -2.927083E-9          3.665200E+2          0
2.240373E-6          -2.958333E-9          -2.954166E-9          3.797601E+2          0
6.897680E-7          -7.056252E-9          -3.656250E-9          3.807519E+2          0
1.920403E-6          -2.929166E-9          -2.931250E-9          4.068538E+2          0
4.804606E-7          -2.927083E-9          -2.927083E-9          4.202350E+2          0
1.440420E-6          -2.962500E-9          -2.945833E-9          4.333206E+2          0
1.604745E-7          -2.935416E-9          -2.933333E-9          4.465217E+2          0
1.760407E-6          -2.964583E-9          -2.941666E-9          4.600571E+2          0
1.440420E-6          -2.941666E-9          -2.968750E-9          4.733416E+2          0
1.604377E-7          -2.958333E-9          -2.937500E-9          4.864321E+2          0
2.080375E-6          -3.018750E-9          -2.948958E-9          4.997507E+2          0
1.656318E-6          -4.762500E-9          -4.287500E-9          5.092576E+2          0
1.604510E-7          -2.929166E-9          -2.950000E-9          5.225509E+2          0
8.004404E-7          -3.058333E-9          -2.953125E-9          5.356497E+2          0
2.080403E-6          -2.927083E-9          -2.947916E-9          5.487336E+2          0
1.760416E-6          -2.958333E-9          -2.929166E-9          5.620555E+2          0
8.004559E-7          -2.925000E-9          -2.947916E-9          5.752477E+2          0
3.204986E-7          -2.986458E-9          -2.970833E-9          5.885429E+2          0
1.920372E-6          -2.947916E-9          -2.939583E-9          6.017473E+2          0
1.920416E-6          -2.922916E-9          -2.922916E-9          6.155468E+2          0
6.404490E-7          -2.929166E-9          -2.929166E-9          6.287477E+2          0
1.120413E-6          -2.933333E-9          -2.945833E-9          6.423352E+2          0
6.404658E-7          -2.927083E-9          -2.947916E-9          6.558292E+2          0
1.425595E-6          -3.841667E-9          -3.635417E-9          6.689692E+2          0
8.004475E-7          -2.922916E-9          -2.922916E-9          6.822529E+2          0
2.560356E-6          -2.960416E-9          -2.994791E-9          6.953513E+2          0
1.280418E-6          -2.952083E-9          -2.941666E-9          7.086420E+2          0
8.520007E-7          -3.806250E-9          -4.768750E-9          7.184570E+2          0
3.205029E-7          -2.933333E-9          -2.927083E-9          7.316681E+2          0
1.332956E-6          -3.550000E-9          -4.922917E-9          7.367507E+2          0
9.604191E-7          -2.943750E-9          -2.989583E-9          7.499579E+2          0
4.804553E-7          -2.955208E-9          -2.982291E-9          7.633510E+2          0
