DATI MISURA

Inizio misura: 08/11/2022 17:14:41
Tempo di acquisizione (sec): 2.495712E+5
Eventi acquisiti: 21087

TDC          QDC1          QDC2          Time          Valido
1.889051E-6          -5.479167E-9          -3.531250E-9          5.054326E+0          0
9.119902E-6          -2.937500E-9          -2.947916E-9          1.825531E+1          0
3.200058E-6          -2.961458E-9          -3.010416E-9          3.124433E+1          0
8.159874E-6          -3.060416E-9          -3.086458E-9          4.435833E+1          0
9.049554E-7          -5.537501E-9          -4.295834E-9          5.054303E+1          0
1.760269E-6          -3.069791E-9          -3.022916E-9          6.374832E+1          0
6.400021E-6          -2.972916E-9          -3.007291E-9          7.675171E+1          0
4.160055E-6          -3.018750E-9          -2.956250E-9          8.985660E+1          0
7.840004E-6          -3.010416E-9          -2.975000E-9          1.028603E+2          0
7.359987E-6          -3.051041E-9          -2.998958E-9          1.158393E+2          0
9.599828E-6          -2.947916E-9          -3.011458E-9          1.289623E+2          0
1.517950E-6          -3.855208E-9          -3.437500E-9          1.324553E+2          0
8.159979E-6          -2.939583E-9          -2.947916E-9          1.455423E+2          0
1.051133E-5          -6.384376E-9          -4.106250E-9          1.540562E+2          0
1.023988E-5          -2.945833E-9          -2.933333E-9          1.671778E+2          0
1.120328E-6          -2.991666E-9          -2.966666E-9          1.800463E+2          0
4.160004E-6          -2.945833E-9          -2.962500E-9          1.932698E+2          0
1.600213E-6          -3.068750E-9          -3.052083E-9          2.063433E+2          0
8.002855E-7          -2.984375E-9          -3.005208E-9          2.193423E+2          0
1.352983E-6          -4.295834E-9          -3.593750E-9          2.304413E+2          0
2.092429E-6          -6.046876E-9          -3.434375E-9          2.381557E+2          0
9.919782E-6          -2.964583E-9          -2.952083E-9          2.512713E+2          0
1.603746E-7          -2.996875E-9          -3.021875E-9          2.642606E+2          0
7.679966E-6          -2.966666E-9          -2.925000E-9          2.773667E+2          0
8.639857E-6          -2.929166E-9          -2.943750E-9          2.903513E+2          0
6.402365E-7          -3.077083E-9          -3.088541E-9          3.034553E+2          0
9.759864E-6          -2.941666E-9          -2.975000E-9          3.165749E+2          0
3.520098E-6          -3.013541E-9          -2.962500E-9          3.295423E+2          0
9.119863E-6          -3.014583E-9          -2.979166E-9          3.426618E+2          0
