DATI MISURA

Inizio misura: 22/11/2022 17:21:38
Tempo di acquisizione (sec): 1.742744E+5
Eventi acquisiti: 14836

TDC          QDC1          QDC2          Time          Valido
6.567016E-6          -4.726042E-9          -4.223959E-9          4.313402E+0          0
8.269203E-7          -5.951043E-9          -4.190625E-9          1.740880E+1          0
1.643231E-6          -5.285417E-9          -4.097917E-9          3.322169E+1          0
6.079927E-6          -3.059375E-9          -3.090625E-9          4.640696E+1          0
9.599839E-6          -3.026041E-9          -3.040625E-9          5.951267E+1          0
9.279864E-6          -3.202083E-9          -3.059375E-9          7.300569E+1          0
7.679904E-6          -3.062500E-9          -3.176041E-9          8.590567E+1          0
1.000810E-6          -4.230209E-9          -3.539583E-9          9.879877E+1          0
5.279987E-6          -3.094791E-9          -3.158333E-9          1.117012E+2          0
3.398401E-6          -7.055210E-9          -4.531250E-9          1.222007E+2          0
7.031622E-7          -6.740626E-9          -3.608333E-9          1.304150E+2          0
3.442459E-7          -6.866668E-9          -4.109375E-9          1.377919E+2          0
7.199973E-6          -3.093750E-9          -3.172916E-9          1.508153E+2          0
9.119842E-6          -3.038541E-9          -2.945833E-9          1.639066E+2          0
1.280270E-6          -2.995833E-9          -3.035416E-9          1.769059E+2          0
4.959980E-6          -3.109375E-9          -3.069791E-9          1.901965E+2          0
5.778714E-6          -4.937501E-9          -4.730209E-9          1.951964E+2          0
5.280048E-6          -3.016666E-9          -3.038541E-9          2.083078E+2          0
4.800073E-6          -3.132291E-9          -3.003125E-9          2.216117E+2          0
2.498954E-7          -4.382292E-9          -6.352085E-9          2.240018E+2          0
6.559918E-6          -2.948958E-9          -3.025000E-9          2.372062E+2          0
6.399927E-6          -3.022916E-9          -3.050000E-9          2.502263E+2          0
7.999801E-6          -2.945833E-9          -2.950000E-9          2.631997E+2          0
1.920184E-6          -2.987500E-9          -3.058333E-9          2.761919E+2          0
2.332114E-6          -3.733333E-9          -5.353126E-9          2.831988E+2          0
7.039921E-6          -3.014583E-9          -3.106250E-9          2.964506E+2          0
3.520085E-6          -2.995833E-9          -2.981250E-9          3.094177E+2          0
7.999947E-6          -3.018750E-9          -2.987500E-9          3.226046E+2          0
5.120051E-6          -2.989583E-9          -2.943750E-9          3.355987E+2          0
8.319843E-6          -2.976041E-9          -2.970833E-9          3.486269E+2          0
1.603416E-7          -2.981250E-9          -2.979166E-9          3.626088E+2          0
1.023977E-5          -3.056250E-9          -3.044791E-9          3.756183E+2          0
4.801388E-7          -3.026041E-9          -3.115625E-9          3.885118E+2          0
8.959954E-6          -3.047916E-9          -3.037500E-9          4.016087E+2          0
1.920176E-6          -3.025000E-9          -3.047916E-9          4.145986E+2          0
7.999879E-6          -3.009375E-9          -2.958333E-9          4.277003E+2          0
3.680138E-6          -3.105208E-9          -3.010416E-9          4.407115E+2          0
5.760071E-6          -3.068750E-9          -3.097916E-9          4.538123E+2          0
9.279784E-6          -3.071875E-9          -3.018750E-9          4.668160E+2          0
5.119958E-6          -2.980208E-9          -2.977083E-9          4.797979E+2          0
5.919959E-6          -3.048958E-9          -3.023958E-9          4.930016E+2          0
4.000104E-6          -2.956250E-9          -2.964583E-9          5.060084E+2          0
9.602657E-7          -2.945833E-9          -2.929166E-9          5.191083E+2          0
1.280265E-6          -2.981250E-9          -3.045833E-9          5.321057E+2          0
1.440218E-6          -2.950000E-9          -2.933333E-9          5.452071E+2          0
8.959920E-6          -2.981250E-9          -2.945833E-9          5.584930E+2          0
5.919966E-6          -2.958333E-9          -2.993750E-9          5.714890E+2          0
2.240065E-6          -2.943750E-9          -2.966666E-9          5.846019E+2          0
4.950153E-6          -3.679167E-9          -6.001043E-9          5.894021E+2          0
1.760144E-6          -2.950000E-9          -2.937500E-9          6.025047E+2          0
5.760011E-6          -2.945833E-9          -2.927083E-9          6.154019E+2          0
8.880303E-7          -4.138542E-9          -4.408334E-9          6.253997E+2          0
2.090656E-6          -7.590627E-9          -4.025000E-9          6.275034E+2          0
7.519838E-6          -3.006250E-9          -2.983333E-9          6.405560E+2          0
8.002618E-7          -3.012500E-9          -3.106250E-9          6.536057E+2          0
5.600002E-6          -2.945833E-9          -2.960416E-9          6.667076E+2          0
1.220355E-6          -5.686459E-9          -5.223959E-9          6.769608E+2          0
1.192504E-6          -3.688542E-9          -3.607292E-9          6.830088E+2          0
6.995731E-7          -6.360418E-9          -3.966667E-9          6.948073E+2          0
4.160038E-6          -3.029166E-9          -2.929166E-9          7.076752E+2          0
7.839942E-6          -2.975000E-9          -2.956250E-9          7.210026E+2          0
8.639952E-6          -3.084375E-9          -2.968750E-9          7.337767E+2          0
6.719914E-6          -3.011458E-9          -3.032291E-9          7.469007E+2          0
6.080036E-6          -2.960416E-9          -3.091666E-9          7.600066E+2          0
6.986844E-6          -3.507292E-9          -3.595833E-9          7.632148E+2          0
8.959934E-6          -3.006250E-9          -2.975000E-9          7.762987E+2          0
6.559877E-6          -3.040625E-9          -3.075000E-9          7.896238E+2          0
5.018924E-7          -3.500000E-9          -3.597917E-9          7.987027E+2          0
1.367109E-7          -5.780209E-9          -4.867709E-9          8.084980E+2          0
5.614327E-7          -3.998958E-9          -3.458333E-9          8.142597E+2          0
1.440184E-6          -3.018750E-9          -2.970833E-9          8.273982E+2          0
9.804412E-7          -4.107292E-9          -3.502083E-9          8.323007E+2          0
5.919959E-6          -2.950000E-9          -2.945833E-9          8.455407E+2          0
3.840077E-6          -3.030208E-9          -3.070833E-9          8.584056E+2          0
3.295221E-7          -3.918750E-9          -4.283334E-9          8.659128E+2          0
4.480088E-6          -2.972916E-9          -2.983333E-9          8.791021E+2          0
1.280250E-6          -2.943750E-9          -2.942708E-9          8.922148E+2          0
7.839913E-6          -2.975000E-9          -2.991666E-9          9.053039E+2          0
6.719999E-6          -3.064583E-9          -2.956250E-9          9.183294E+2          0
1.600123E-6          -3.098958E-9          -3.050000E-9          9.314057E+2          0
9.602001E-7          -3.012500E-9          -3.037500E-9          9.443090E+2          0
1.353799E-6          -5.480209E-9          -4.938542E-9          9.524821E+2          0
5.920011E-6          -3.008333E-9          -2.985416E-9          9.654998E+2          0
3.040158E-6          -3.051041E-9          -2.968750E-9          9.786104E+2          0
7.839915E-6          -3.077083E-9          -3.030208E-9          9.915373E+2          0
8.639923E-6          -3.151041E-9          -2.977083E-9          1.004800E+3          0
9.599778E-6          -2.966666E-9          -2.943750E-9          1.018001E+3          0
8.159916E-6          -3.007291E-9          -2.995833E-9          1.031002E+3          0
5.440086E-6          -3.072916E-9          -2.950000E-9          1.044099E+3          0
1.920239E-6          -3.119791E-9          -3.009375E-9          1.057175E+3          0
2.560176E-6          -2.935416E-9          -2.958333E-9          1.070297E+3          0
7.679922E-6          -2.975000E-9          -2.935416E-9          1.083333E+3          0
7.679876E-6          -2.962500E-9          -3.008333E-9          1.096207E+3          0
2.240175E-6          -2.937500E-9          -3.029166E-9          1.109501E+3          0
8.799866E-6          -3.059375E-9          -2.950000E-9          1.122518E+3          0
7.679887E-6          -3.040625E-9          -3.004166E-9          1.135600E+3          0
3.840101E-6          -2.929166E-9          -2.955208E-9          1.148727E+3          0
2.400133E-6          -3.062500E-9          -3.007291E-9          1.161587E+3          0
1.161170E-6          -5.136459E-9          -3.516667E-9          1.169600E+3          0
