DATI MISURA

Inizio misura: 13/10/2023 17:09:56
Tempo di acquisizione (sec): 2.502170E+5
Eventi acquisiti: 29160

TDC          QDC1          QDC2          Time          Valido
3.913764E-6          NaN          NaN          6.757199E+0          0
5.920286E-6          -1.419950E-9          -1.412075E-9          1.155561E+1          0
4.160320E-6          -1.358525E-9          -1.348287E-9          2.335020E+1          0
2.560283E-6          -1.620763E-9          -1.646225E-9          3.534171E+1          0
4.792138E-6          -3.560639E-9          -3.197601E-9          4.434663E+1          0
8.002665E-7          -1.642288E-9          -1.644650E-9          4.755929E+1          0
9.629807E-7          -4.268864E-9          -4.494089E-9          5.206370E+1          0
4.160307E-6          -1.674050E-9          -1.688750E-9          5.975582E+1          0
1.760256E-6          -1.385300E-9          -1.375062E-9          7.174134E+1          0
2.080267E-6          -1.304450E-9          -1.325712E-9          8.350393E+1          0
9.280242E-6          -1.594250E-9          -1.611313E-9          9.584344E+1          0
1.602639E-7          -1.324925E-9          -1.308125E-9          1.078550E+2          0
1.024026E-5          -1.616038E-9          -1.647538E-9          1.198766E+2          0
4.480273E-6          -1.502637E-9          -1.509725E-9          1.317672E+2          0
1.024026E-5          -1.690063E-9          -1.664338E-9          1.439207E+2          0
4.540281E-6          -3.506039E-9          -3.073701E-9          1.499119E+2          0
9.760252E-6          -1.386875E-9          -1.394750E-9          1.558702E+2          0
5.120277E-6          -1.502900E-9          -1.496600E-9          1.682757E+2          0
7.840265E-6          -1.657775E-9          -1.683763E-9          1.807213E+2          0
2.560305E-6          -1.646488E-9          -1.657513E-9          1.921759E+2          0
4.000290E-6          -1.382675E-9          -1.385300E-9          2.041944E+2          0
4.800275E-6          -1.512087E-9          -1.497650E-9          2.162970E+2          0
1.116711E-6          -8.379617E-9          -3.119376E-9          2.201165E+2          0
2.173951E-6          -3.194976E-9          -5.976428E-9          2.260868E+2          0
2.880298E-6          -1.537550E-9          -1.547787E-9          2.284045E+2          0
6.220556E-7          -5.468752E-9          -1.908200E-9          2.361446E+2          0
2.400293E-6          -1.562225E-9          -1.577450E-9          2.404431E+2          0
2.400273E-6          -1.387925E-9          -1.388450E-9          2.523536E+2          0
1.813843E-7          -3.633614E-9          -4.679677E-9          2.600118E+2          0
3.840305E-6          -1.675100E-9          -1.687175E-9          2.644792E+2          0
5.760270E-6          -1.599238E-9          -1.613675E-9          2.763228E+2          0
2.240259E-6          -1.528887E-9          -1.527050E-9          2.886023E+2          0
3.680291E-6          -1.633625E-9          -1.618400E-9          3.006039E+2          0
8.960273E-6          -1.407350E-9          -1.411550E-9          3.126174E+2          0
1.432582E-6          -3.592139E-9          -2.693076E-9          3.242160E+2          0
2.560278E-6          -1.421525E-9          -1.407875E-9          3.365306E+2          0
3.650904E-7          -3.149563E-9          -2.984976E-9          3.387343E+2          0
1.920266E-6          -1.383725E-9          -1.388712E-9          3.487211E+2          0
6.221376E-7          -3.470601E-9          -2.834826E-9          3.605237E+2          0
1.120275E-6          -1.670113E-9          -1.663025E-9          3.727212E+2          0
2.080262E-6          -1.411812E-9          -1.430450E-9          3.847947E+2          0
2.525999E-6          -5.452215E-9          -3.020676E-9          3.883244E+2          0
8.480255E-6          -1.446200E-9          -1.449612E-9          3.968263E+2          0
7.360266E-6          -1.602650E-9          -1.588475E-9          4.088219E+2          0
2.212066E-6          -4.377802E-9          -4.900177E-9          4.154281E+2          0
5.920266E-6          -1.507362E-9          -1.508937E-9          4.208184E+2          0
4.425678E-7          -4.346564E-9          -3.175288E-9          4.277086E+2          0
2.560295E-6          -1.519175E-9          -1.514450E-9          4.329130E+2          0
3.840284E-6          -1.699775E-9          -1.693738E-9          4.447896E+2          0
1.408800E-6          -2.912526E-9          -3.905039E-9          4.469253E+2          0
6.371482E-7          -7.182353E-9          -3.698976E-9          4.507799E+2          0
6.720273E-6          -1.451450E-9          -1.450925E-9          4.570381E+2          0
3.930178E-6          -4.164127E-9          -1.973300E-9          4.678218E+2          0
9.920264E-6          -1.542012E-9          -1.584800E-9          4.690217E+2          0
3.946117E-6          -6.331853E-9          -3.118588E-9          4.722403E+2          0
2.720281E-6          -1.393175E-9          -1.395800E-9          4.809212E+2          0
1.141307E-6          -4.319527E-9          -3.394476E-9          4.884093E+2          0
9.710881E-7          -3.984839E-9          -2.814613E-9          4.901161E+2          0
5.600285E-6          -1.407612E-9          -1.387137E-9          4.931147E+2          0
6.720255E-6          -1.425200E-9          -1.452500E-9          5.050843E+2          0
2.720296E-6          -1.649900E-9          -1.639400E-9          5.169929E+2          0
2.320848E-7          -5.619690E-9          -2.993113E-9          5.233091E+2          0
8.480247E-6          -1.527575E-9          -1.530725E-9          5.292284E+2          0
4.807946E-6          -3.274514E-9          -3.013851E-9          5.325270E+2          0
3.680299E-6          -1.686913E-9          -1.688225E-9          5.412200E+2          0
3.958866E-6          -5.390265E-9          -3.133026E-9          5.460264E+2          0
9.556699E-7          -4.696739E-9          -2.977888E-9          5.526786E+2          0
4.363872E-6          -3.081313E-9          -2.830888E-9          5.595098E+2          0
1.280268E-6          -1.654100E-9          -1.643600E-9          5.652341E+2          0
3.200269E-6          -1.301825E-9          -1.313900E-9          5.772897E+2          0
2.880290E-6          -1.543587E-9          -1.550150E-9          5.893842E+2          0
4.320280E-6          -1.430712E-9          -1.422837E-9          6.012697E+2          0
1.920288E-6          -1.506050E-9          -1.511300E-9          6.134043E+2          0
4.960267E-6          -1.550412E-9          -1.571937E-9          6.254669E+2          0
6.560276E-6          -1.616038E-9          -1.646488E-9          6.373044E+2          0
9.760248E-6          -1.350650E-9          -1.350650E-9          6.494270E+2          0
2.880272E-6          -1.470350E-9          -1.471662E-9          6.614506E+2          0
