DATI MISURA

Inizio misura: 23/10/2023 17:15:40
Tempo di acquisizione (sec): 2.485512E+5
Eventi acquisiti: 24871

TDC          QDC1          QDC2          Time          Valido
5.760308E-6          NaN          NaN          8.985876E+0          0
3.203477E-7          -1.433600E-9          -1.396325E-9          2.103944E+1          0
5.760320E-6          -1.362200E-9          -1.302612E-9          3.303899E+1          0
1.258520E-6          -2.811726E-9          -2.743738E-9          4.383973E+1          0
6.080315E-6          -1.432550E-9          -1.395537E-9          5.580125E+1          0
1.008026E-5          -1.504475E-9          -1.470350E-9          6.784881E+1          0
3.550225E-6          -3.845976E-9          -3.571139E-9          7.272125E+1          0
1.603420E-7          -1.590575E-9          -1.549100E-9          8.473878E+1          0
5.440315E-6          -1.256412E-9          -1.246175E-9          9.672640E+1          0
1.760495E-6          -7.085228E-9          -2.262313E-9          1.087979E+2          0
4.960293E-6          -1.488725E-9          -1.419950E-9          1.208205E+2          0
9.760260E-6          -1.369025E-9          -1.368500E-9          1.327930E+2          0
1.844072E-7          -5.572702E-9          -3.496589E-9          1.338669E+2          0
2.890537E-6          -3.772476E-9          -6.296153E-9          1.392662E+2          0
1.946286E-6          -4.345777E-9          -2.933263E-9          1.473173E+2          0
2.080295E-6          -1.271900E-9          -1.236987E-9          1.597538E+2          0
1.548793E-6          -5.782178E-9          -4.253902E-9          1.700125E+2          0
5.920312E-6          -1.506837E-9          -1.464837E-9          1.821291E+2          0
9.602998E-7          -1.360887E-9          -1.335950E-9          1.941246E+2          0
1.342708E-6          -5.650927E-9          -4.492777E-9          2.004439E+2          0
5.442006E-7          -5.403127E-9          -3.083413E-9          2.037415E+2          0
8.800289E-6          -1.501587E-9          -1.456437E-9          2.159610E+2          0
4.556395E-6          -4.371764E-9          -3.204951E-9          2.230472E+2          0
4.640322E-6          -1.290012E-9          -1.273737E-9          2.350828E+2          0
9.463760E-7          -3.581901E-9          -5.180002E-9          2.393712E+2          0
2.240310E-6          -1.382937E-9          -1.366925E-9          2.515628E+2          0
1.008028E-5          -1.321775E-9          -1.270325E-9          2.634983E+2          0
5.600282E-6          -1.526262E-9          -1.503162E-9          2.754919E+2          0
3.726035E-6          -4.482539E-9          -3.963839E-9          2.852028E+2          0
2.880336E-6          -1.592413E-9          -1.583225E-9          2.973323E+2          0
1.390400E-6          -5.051902E-9          -3.437789E-9          3.050793E+2          0
5.440283E-6          -1.364037E-9          -1.335950E-9          3.172459E+2          0
4.320311E-6          -1.472450E-9          -1.386350E-9          3.308392E+2          0
6.403118E-7          -1.437012E-9          -1.419687E-9          3.427898E+2          0
6.080296E-6          -1.381887E-9          -1.336737E-9          3.547823E+2          0
1.280293E-6          -1.217825E-9          -1.188162E-9          3.669359E+2          0
1.429030E-6          -5.484502E-9          -3.204951E-9          3.710464E+2          0
1.760312E-6          -1.266387E-9          -1.245125E-9          3.830520E+2          0
6.560273E-6          -1.563537E-9          -1.539387E-9          3.950875E+2          0
6.403179E-7          -1.490300E-9          -1.467462E-9          4.071331E+2          0
4.383412E-6          -7.527279E-9          -2.691501E-9          4.139332E+2          0
8.480271E-6          -1.592675E-9          -1.571675E-9          4.261648E+2          0
2.164049E-7          -3.250101E-9          -3.138276E-9          4.325931E+2          0
