DATI MISURA

Inizio misura: 27/10/2023 17:07:29
Tempo di acquisizione (sec): 2.527489E+5
Eventi acquisiti: 27528

TDC          QDC1          QDC2          Time          Valido
1.440237E-6          -8.154163E-10          -7.904163E-10          1.236924E+1          0
1.388283E-6          -8.037295E-9          -1.634167E-9          2.051786E+1          0
6.402560E-7          -8.195830E-10          -8.008330E-10          3.340946E+1          0
1.682399E-6          -6.525836E-9          -1.557083E-9          4.180778E+1          0
1.227649E-6          -3.971668E-9          -1.884167E-9          4.981358E+1          0
2.892559E-7          -8.561253E-9          -3.269584E-9          5.950722E+1          0
4.333234E-6          -3.184167E-9          -1.709167E-9          7.161503E+1          0
2.576528E-7          -6.924794E-9          -2.109167E-9          7.761769E+1          0
5.440097E-6          -7.883330E-10          -7.185413E-10          9.092748E+1          0
2.357158E-6          -6.973753E-9          -2.538334E-9          9.361346E+1          0
6.138392E-6          -1.364355E-8          -3.415418E-9          9.511353E+1          0
6.240184E-6          -8.091663E-10          -7.987497E-10          1.085208E+2          0
6.275375E-7          -4.727918E-9          -1.888334E-9          1.162255E+2          0
5.456015E-6          -1.740417E-9          -2.105000E-9          1.255267E+2          0
4.640189E-6          -8.154163E-10          -8.195830E-10          1.387660E+2          0
2.560274E-6          -8.133330E-10          -7.831247E-10          1.518890E+2          0
7.113368E-7          -1.651751E-8          -6.303961E-9          1.632558E+2          0
4.804021E-7          -8.154163E-10          -8.174997E-10          1.764790E+2          0
5.329920E-6          -3.146667E-9          -2.715417E-9          1.804645E+2          0
7.840006E-6          -8.195830E-10          -7.539580E-10          1.940489E+2          0
2.400211E-6          -8.049997E-10          -8.008330E-10          2.071470E+2          0
1.192298E-6          -2.467500E-9          -2.344584E-9          2.091751E+2          0
3.541837E-6          -7.564378E-9          -4.400835E-9          2.153633E+2          0
8.800006E-6          -8.195830E-10          -7.966663E-10          2.286532E+2          0
3.035439E-6          -1.089980E-8          -3.546668E-9          2.382666E+2          0
1.440337E-6          -8.299997E-10          -8.216664E-10          2.515713E+2          0
4.019093E-7          -9.733129E-9          -3.002917E-9          2.595533E+2          0
3.840285E-6          -7.945830E-10          -8.091663E-10          2.728949E+2          0
7.360135E-6          -8.029163E-10          -8.049997E-10          2.860965E+2          0
4.239688E-6          -3.127917E-9          -1.682083E-9          2.922729E+2          0
9.714910E-7          -5.319585E-9          -2.627917E-9          3.010799E+2          0
1.814629E-6          -8.772712E-9          -1.740417E-9          3.099545E+2          0
9.600010E-6          -8.258330E-10          -8.174997E-10          3.232864E+2          0
1.033395E-6          -5.019585E-9          -4.055001E-9          3.283825E+2          0
9.439948E-6          -7.966663E-10          -8.112497E-10          3.417597E+2          0
8.199152E-7          -4.607085E-9          -2.527917E-9          3.459634E+2          0
9.797062E-7          -7.001878E-9          -2.223750E-9          3.565781E+2          0
1.535637E-6          -6.269586E-9          -3.883126E-9          3.694743E+2          0
2.632413E-6          -2.555001E-9          -3.244584E-9          3.800131E+2          0
2.759588E-6          -2.588334E-9          -1.846667E-9          3.916170E+2          0
3.577041E-6          -5.155002E-9          -4.221668E-9          4.008095E+2          0
3.040248E-6          -8.195830E-10          -8.133330E-10          4.141226E+2          0
1.013642E-5          -5.806044E-9          -2.673751E-9          4.168133E+2          0
8.303537E-7          -5.288335E-9          -2.984167E-9          4.210273E+2          0
2.132832E-6          -5.627919E-9          -1.859167E-9          4.324221E+2          0
2.203095E-6          -8.764378E-9          -2.138334E-9          4.371280E+2          0
2.371482E-6          -9.723754E-9          -2.209167E-9          4.429290E+2          0
3.104325E-6          -3.190417E-9          -2.969584E-9          4.539246E+2          0
1.760144E-6          -7.904163E-10          -7.966663E-10          4.672393E+2          0
9.599988E-6          -8.154163E-10          -8.195830E-10          4.807351E+2          0
