DATI MISURA

Inizio misura: 10/11/2023 18:37:19
Tempo di acquisizione (sec): 2.448990E+5
Eventi acquisiti: 24802

TDC          QDC1          QDC2          Time          Valido
1.860155E-6          NaN          NaN          1.027475E+1          0
5.921453E-6          -5.727079E-10          -5.164578E-10          2.204042E+1          0
3.041457E-6          -8.591663E-10          -8.424996E-10          3.418695E+1          0
4.801471E-6          -8.174996E-10          -6.924996E-10          4.618059E+1          0
1.933618E-6          -3.865418E-9          -1.835208E-9          5.568448E+1          0
1.049332E-6          -4.544585E-9          -4.469585E-9          6.277465E+1          0
8.481411E-6          -7.695829E-10          -8.674997E-10          7.497422E+1          0
3.249026E-6          -7.330003E-9          -3.063334E-9          7.938572E+1          0
7.792595E-7          -2.301875E-9          -2.235209E-9          8.077450E+1          0
2.876414E-7          -4.758126E-9          -3.922709E-9          8.826963E+1          0
8.641411E-6          -7.945830E-10          -6.779162E-10          1.003762E+2          0
5.761442E-6          -5.164578E-10          -6.143745E-10          1.123908E+2          0
2.229029E-7          -2.930001E-9          -3.002917E-9          1.133667E+2          0
2.713595E-6          -4.932085E-9          -3.011251E-9          1.147895E+2          0
6.401451E-6          -4.893745E-10          -4.935411E-10          1.269591E+2          0
2.845080E-6          -3.022709E-9          -2.474792E-9          1.289669E+2          0
5.737655E-7          -2.814376E-9          -2.021667E-9          1.403736E+2          0
2.294428E-6          -2.889376E-9          -2.143542E-9          1.515713E+2          0
4.481463E-6          -8.112496E-10          -7.383329E-10          1.635788E+2          0
5.073307E-6          -4.012293E-9          -3.466459E-9          1.749645E+2          0
5.110902E-7          -4.334168E-9          -2.519584E-9          1.806728E+2          0
6.414735E-7          -5.977079E-10          -6.477079E-10          2.005945E+2          0
7.521438E-6          -6.216662E-10          -6.831246E-10          2.126021E+2          0
9.601434E-6          -8.060413E-10          -8.122913E-10          2.247787E+2          0
6.241445E-6          -8.341663E-10          -9.102080E-10          2.368403E+2          0
9.761412E-6          -6.404162E-10          -7.393746E-10          2.487658E+2          0
6.241434E-6          -6.393745E-10          -5.706245E-10          2.607754E+2          0
3.041454E-6          -6.154162E-10          -6.799996E-10          2.727970E+2          0
2.401457E-6          -6.654162E-10          -7.227079E-10          2.847816E+2          0
4.961452E-6          -5.810412E-10          -7.174996E-10          2.967902E+2          0
4.801475E-6          -5.914579E-10          -5.247912E-10          3.087839E+2          0
3.740983E-7          -6.364377E-9          -2.090417E-9          3.125964E+2          0
2.721445E-6          -7.310413E-10          -5.747912E-10          3.252029E+2          0
1.024142E-5          -6.310412E-10          -6.654162E-10          3.373975E+2          0
2.004966E-6          -8.062295E-9          -2.771667E-9          3.408731E+2          0
3.150948E-6          -2.155000E-9          -1.874792E-9          3.501070E+2          0
8.641419E-6          -5.685412E-10          -4.789578E-10          3.621816E+2          0
4.801457E-6          -5.602078E-10          -6.331245E-10          3.740832E+2          0
3.562455E-6          -5.318543E-9          -2.935209E-9          3.844970E+2          0
5.462717E-7          -2.505000E-9          -3.427918E-9          3.924020E+2          0
6.401436E-6          -6.737496E-10          -6.997912E-10          4.043947E+2          0
3.361459E-6          -7.602079E-10          -7.862496E-10          4.172761E+2          0
3.841461E-6          -6.133329E-10          -6.227079E-10          4.292918E+2          0
2.556144E-7          -7.655003E-9          -1.993542E-9          4.333982E+2          0
2.561463E-6          -6.737496E-10          -5.945829E-10          4.452949E+2          0
8.321429E-6          -7.581246E-10          -6.966662E-10          4.572784E+2          0
4.641463E-6          -5.977079E-10          -5.852079E-10          4.694730E+2          0
5.601466E-6          -6.539579E-10          -6.904162E-10          4.815077E+2          0
3.835487E-6          -4.267501E-9          -2.211250E-9          4.828075E+2          0
1.150365E-6          -5.183127E-9          -2.232084E-9          4.851812E+2          0
5.601547E-7          -3.518543E-9          -3.180001E-9          4.866850E+2          0
2.817691E-6          -4.533126E-9          -2.809167E-9          4.941771E+2          0
4.961489E-6          -6.549996E-10          -6.247912E-10          5.061997E+2          0
4.481468E-6          -5.997912E-10          -6.372912E-10          5.180933E+2          0
6.080345E-7          -2.698751E-9          -2.291459E-9          5.211840E+2          0
5.761448E-6          -5.852079E-10          -5.393745E-10          5.331846E+2          0
7.521429E-6          -7.924996E-10          -8.372913E-10          5.452891E+2          0
8.481399E-6          -6.414579E-10          -7.258329E-10          5.579867E+2          0
1.441441E-6          -6.893746E-10          -6.195829E-10          5.700803E+2          0
4.001476E-6          -5.310412E-10          -5.758329E-10          5.820889E+2          0
3.681481E-6          -5.893745E-10          -5.685412E-10          5.944894E+2          0
9.761419E-6          -6.341662E-10          -6.539579E-10          6.064890E+2          0
7.041442E-6          -8.102080E-10          -7.477079E-10          6.184926E+2          0
6.401457E-6          -6.508329E-10          -7.060412E-10          6.306052E+2          0
2.811171E-7          -2.976876E-9          -2.607084E-9          6.394902E+2          0
4.481469E-6          -6.227079E-10          -6.622912E-10          6.515127E+2          0
3.110232E-6          -5.762294E-9          -2.733126E-9          6.543834E+2          0
3.197447E-6          -4.638335E-9          -2.277917E-9          6.634963E+2          0
1.397651E-7          -4.476876E-9          -4.392501E-9          6.657900E+2          0
5.118585E-6          -7.166461E-9          -2.785209E-9          6.766818E+2          0
5.965059E-7          -2.773751E-9          -3.619584E-9          6.780847E+2          0
1.337098E-6          -4.223751E-9          -2.411250E-9          6.859917E+2          0
3.681469E-6          -7.477079E-10          -7.987496E-10          6.980083E+2          0
8.014639E-7          -6.049995E-10          -6.435412E-10          7.101019E+2          0
6.721440E-6          -6.612496E-10          -6.664579E-10          7.221795E+2          0
3.681457E-6          -6.185412E-10          -5.956245E-10          7.343811E+2          0
4.961445E-6          -5.852079E-10          -5.477078E-10          7.464136E+2          0
6.770167E-7          -7.799795E-9          -3.953959E-9          7.547946E+2          0
2.607700E-6          -3.163334E-9          -2.524792E-9          7.635816E+2          0
6.881429E-6          -6.727079E-10          -6.039579E-10          7.755722E+2          0
1.916624E-6          -2.568542E-9          -2.849792E-9          7.815845E+2          0
1.464877E-6          -4.886252E-9          -1.396667E-9          7.917764E+2          0
8.164087E-7          -5.126877E-9          -1.858125E-9          7.979076E+2          0
5.761442E-6          -6.602079E-10          -6.924996E-10          8.099782E+2          0
1.419659E-6          -5.314377E-9          -2.310209E-9          8.180903E+2          0
2.721466E-6          -8.070830E-10          -7.435413E-10          8.309948E+2          0
7.201417E-6          -5.956245E-10          -7.164579E-10          8.428893E+2          0
1.008143E-5          -7.466663E-10          -7.143746E-10          8.549959E+2          0
6.881426E-6          -6.685412E-10          -6.945829E-10          8.670165E+2          0
8.746169E-6          -6.017502E-9          -2.177917E-9          8.732828E+2          0
4.599908E-6          -4.626876E-9          -2.217500E-9          8.850814E+2          0
5.471705E-6          -4.688335E-9          -3.934168E-9          8.911967E+2          0
4.481464E-6          -6.258329E-10          -6.622912E-10          9.042891E+2          0
7.041424E-6          -7.456246E-10          -6.570829E-10          9.162867E+2          0
3.430785E-6          -3.415418E-9          -2.267500E-9          9.185985E+2          0
1.038489E-6          -5.436252E-9          -2.394584E-9          9.263086E+2          0
3.681426E-6          -7.091662E-10          -6.445829E-10          9.384782E+2          0
3.041471E-6          -5.997912E-10          -5.560412E-10          9.504858E+2          0
2.658391E-7          -2.228959E-9          -2.513334E-9          9.550942E+2          0
3.214692E-7          -5.872912E-10          -5.352078E-10          9.672028E+2          0
9.601413E-6          -6.727079E-10          -5.914579E-10          9.791784E+2          0
3.523041E-6          -3.860209E-9          -4.365418E-9          9.850787E+2          0
4.961469E-6          -5.841662E-10          -5.841662E-10          9.972843E+2          0
7.484981E-7          -2.732084E-9          -2.702917E-9          1.006582E+3          0
1.040175E-6          -4.625835E-9          -2.903959E-9          1.009797E+3          0
5.281466E-6          -8.060413E-10          -8.487496E-10          1.021987E+3          0
5.441447E-6          -7.070829E-10          -6.945829E-10          1.034104E+3          0
7.042659E-7          -8.306045E-9          -2.903959E-9          1.036886E+3          0
7.521429E-6          -5.622912E-10          -5.185412E-10          1.049081E+3          0
1.130422E-6          -2.860209E-9          -2.585209E-9          1.054802E+3          0
4.801480E-6          -5.789579E-10          -4.945828E-10          1.066783E+3          0
8.001428E-6          -6.122912E-10          -5.518745E-10          1.078931E+3          0
3.731435E-6          -2.097709E-9          -2.681042E-9          1.086391E+3          0
1.921449E-6          -7.570829E-10          -6.893746E-10          1.098382E+3          0
1.121453E-6          -6.143745E-10          -5.893745E-10          1.120284E+3          0
1.281451E-6          -7.466663E-10          -6.872912E-10          1.132515E+3          0
6.561450E-6          -7.852080E-10          -7.174996E-10          1.144491E+3          0
6.881423E-6          -8.841663E-10          -7.872913E-10          1.156482E+3          0
5.281446E-6          -7.695829E-10          -9.060413E-10          1.168506E+3          0
3.727999E-7          -2.618542E-9          -2.223750E-9          1.170496E+3          0
3.521483E-6          -5.997912E-10          -5.997912E-10          1.182608E+3          0
3.041465E-6          -5.768745E-10          -5.602078E-10          1.194686E+3          0
7.645166E-6          -7.490419E-9          -2.732084E-9          1.197083E+3          0
2.401468E-6          -8.508330E-10          -7.883330E-10          1.209291E+3          0
8.001434E-6          -9.289580E-10          -8.029163E-10          1.221292E+3          0
9.614551E-7          -7.872913E-10          -7.924996E-10          1.233289E+3          0
8.801421E-6          -8.414580E-10          -7.674996E-10          1.245374E+3          0
