DATI MISURA

Inizio misura: 14/11/2023 19:21:18
Tempo di acquisizione (sec): 2.420530E+5
Eventi acquisiti: 26274

TDC          QDC1          QDC2          Time          Valido
8.320137E-6          -7.924997E-10          -6.706246E-10          1.484376E+1          0
4.492244E-7          -8.834170E-9          -3.159167E-9          1.802175E+1          0
1.495460E-6          -6.249794E-9          -2.875834E-9          2.511934E+1          0
1.909406E-6          -5.940419E-9          -3.538334E-9          2.882175E+1          0
6.560123E-6          -8.070830E-10          -8.195830E-10          4.182572E+1          0
2.956861E-6          -6.522711E-9          -2.909167E-9          5.222572E+1          0
5.120221E-6          -7.924997E-10          -8.174997E-10          6.533002E+1          0
7.040109E-6          -8.029163E-10          -7.987497E-10          7.844997E+1          0
2.377441E-6          -2.234167E-9          -1.730000E-9          7.982438E+1          0
3.204540E-7          -7.789580E-10          -8.154163E-10          9.292953E+1          0
8.799935E-6          -8.195830E-10          -8.299997E-10          1.060485E+2          0
1.480957E-7          -5.158127E-9          -2.371667E-9          1.074407E+2          0
2.621881E-6          -1.752917E-9          -2.661251E-9          1.168033E+2          0
6.240281E-6          -7.987497E-10          -7.570830E-10          1.300659E+2          0
5.920117E-6          -7.789580E-10          -7.435413E-10          1.431399E+2          0
8.855154E-7          -1.139771E-8          -4.649793E-9          1.529458E+2          0
4.960287E-6          -7.758330E-10          -7.841663E-10          1.660276E+2          0
1.952837E-6          -7.038336E-9          -5.167502E-9          1.688288E+2          0
3.099577E-7          -4.627918E-9          -1.886250E-9          1.734309E+2          0
6.880096E-6          -7.758330E-10          -8.133330E-10          1.866267E+2          0
3.200406E-6          -8.445830E-10          -7.716663E-10          1.997367E+2          0
5.920149E-6          -8.070830E-10          -8.070830E-10          2.127280E+2          0
1.925902E-6          -4.784168E-9          -2.844584E-9          2.181218E+2          0
9.982745E-7          -5.436252E-9          -1.663333E-9          2.300938E+2          0
2.713866E-6          -1.050292E-8          -3.472709E-9          2.419174E+2          0
