DATI MISURA

Inizio misura: 09/10/2023 18:38:16
Tempo di acquisizione (sec): 2.436611E+5
Eventi acquisiti: 25860

TDC          QDC1          QDC2          Time          Valido
1.119248E-6          -9.654164E-10          -1.011250E-9          8.012289E+0          0
2.233635E-6          -8.631045E-9          -2.960209E-9          9.239468E+0          0
7.232989E-7          -7.917503E-9          -4.053960E-9          1.004435E+1          0
3.519170E-6          -9.112497E-10          -9.924998E-10          2.355345E+1          0
2.280930E-6          -1.314876E-8          -2.566459E-9          3.293328E+1          0
5.232580E-7          -1.079667E-8          -3.460209E-9          3.603455E+1          0
6.079057E-6          -9.570831E-10          -9.529164E-10          4.972054E+1          0
1.695557E-6          -4.803960E-9          -2.547709E-9          5.482566E+1          0
9.438917E-6          -6.799996E-10          -8.529164E-10          6.844930E+1          0
7.129417E-7          -8.510212E-9          -1.995625E-9          7.994633E+1          0
1.497216E-6          -8.206045E-9          -8.670628E-9          8.384837E+1          0
6.424540E-6          -1.187792E-8          -4.147710E-9          8.522980E+1          0
2.013402E-6          -2.098750E-9          -1.878959E-9          9.154827E+1          0
1.003163E-6          -8.483128E-9          -3.595626E-9          1.040348E+2          0
5.279115E-6          -9.404164E-10          -9.758331E-10          1.178381E+2          0
5.522509E-7          -1.044667E-8          -9.646671E-9          1.267462E+2          0
3.627601E-6          -2.750834E-9          -8.353962E-9          1.374413E+2          0
7.518984E-6          -8.799997E-10          -6.779163E-10          1.508883E+2          0
7.039040E-6          -1.028958E-9          -9.216664E-10          1.642437E+2          0
8.478965E-6          -9.174997E-10          -9.320831E-10          1.775716E+2          0
6.719030E-6          -8.716664E-10          -8.904164E-10          1.909414E+2          0
7.039013E-6          -8.268747E-10          -8.529164E-10          2.044387E+2          0
4.319143E-6          -9.185414E-10          -9.477081E-10          2.180153E+2          0
8.702002E-7          -4.917502E-9          -2.232084E-9          2.217459E+2          0
1.599267E-6          -8.279164E-10          -8.508330E-10          2.359541E+2          0
9.918908E-6          -9.299997E-10          -7.872913E-10          2.494543E+2          0
1.599253E-6          -9.174997E-10          -9.268747E-10          2.627346E+2          0
9.849853E-7          -1.021438E-8          -1.701875E-9          2.637367E+2          0
3.681415E-7          -2.285209E-9          -7.393544E-9          2.667362E+2          0
1.613797E-6          -7.659170E-9          -1.665417E-9          2.786333E+2          0
9.592833E-7          -9.841664E-10          -1.016458E-9          2.918953E+2          0
