DATI MISURA

Inizio misura: 09/10/2023 18:32:51
Tempo di acquisizione (sec): 2.445579E+5
Eventi acquisiti: 24139

TDC          QDC1          QDC2          Time          Valido
7.359092E-6          -9.893747E-10          -8.924997E-10          6.262257E+0          0
5.349620E-6          -3.138334E-9          -2.427917E-9          1.317243E+1          0
2.239158E-6          -4.737495E-10          -4.435411E-10          2.515805E+1          0
3.199175E-6          -9.612497E-10          -9.497914E-10          3.755357E+1          0
1.439116E-6          -8.237496E-10          -8.435413E-10          4.954810E+1          0
1.014347E-6          -5.398752E-9          -3.995626E-9          5.104992E+1          0
5.817542E-6          -4.238335E-9          -3.169584E-9          5.792610E+1          0
4.076158E-6          -6.032085E-9          -1.885208E-9          6.255455E+1          0
6.239091E-6          -4.185411E-10          -4.039578E-10          7.455514E+1          0
7.999126E-6          -4.341661E-10          -4.383328E-10          8.656974E+1          0
8.959104E-6          -4.477078E-10          -4.352078E-10          9.886722E+1          0
8.959127E-6          -1.025833E-9          -9.424997E-10          1.108598E+2          0
5.119139E-6          -9.497914E-10          -9.320830E-10          1.228574E+2          0
8.959120E-6          -4.029161E-10          -4.195828E-10          1.358538E+2          0
1.591522E-7          -9.664580E-10          -7.195829E-10          1.481813E+2          0
6.719100E-6          -4.560411E-10          -4.633328E-10          1.601529E+2          0
5.439117E-6          -7.966663E-10          -8.320830E-10          1.721785E+2          0
7.039128E-6          -6.581246E-10          -7.768746E-10          1.843040E+2          0
1.919154E-6          -4.102078E-10          -4.102078E-10          1.963526E+2          0
2.350617E-6          -2.609167E-9          -3.096667E-9          2.027508E+2          0
2.513649E-6          -3.495626E-9          -3.265417E-9          2.042037E+2          0
8.639117E-6          -4.258328E-10          -4.174994E-10          2.162623E+2          0
1.781744E-6          -5.609169E-9          -2.937292E-9          2.250532E+2          0
3.091441E-7          -7.251878E-9          -1.702917E-9          2.310375E+2          0
3.359150E-6          -4.883328E-10          -6.029162E-10          2.430551E+2          0
9.721832E-8          -3.305001E-9          -2.062292E-9          2.483654E+2          0
5.599127E-6          -9.206247E-10          -9.154163E-10          2.603830E+2          0
6.559136E-6          -4.279161E-10          -4.414578E-10          2.725435E+2          0
4.570414E-7          -3.900834E-9          -2.432084E-9          2.767780E+2          0
6.559126E-6          -6.977079E-10          -5.445828E-10          2.888776E+2          0
2.440040E-6          -3.319584E-9          -3.113334E-9          2.934491E+2          0
1.007910E-5          -4.466661E-10          -4.810411E-10          3.055706E+2          0
7.679117E-6          -6.299995E-10          -4.935411E-10          3.176642E+2          0
3.679135E-6          -6.435412E-10          -6.268745E-10          3.296588E+2          0
1.722948E-6          -6.236252E-9          -2.913334E-9          3.355770E+2          0
2.294090E-6          -5.313335E-9          -2.257084E-9          3.454629E+2          0
7.991400E-7          -6.779162E-10          -7.185413E-10          3.574774E+2          0
1.538848E-6          -2.887292E-9          -3.174792E-9          3.620089E+2          0
5.919161E-6          -6.174995E-10          -5.133328E-10          3.743514E+2          0
1.674266E-6          -4.758126E-9          -3.734168E-9          3.759503E+2          0
8.479100E-6          -8.883330E-10          -8.737497E-10          3.879448E+2          0
1.039339E-7          -1.414576E-10          -6.706246E-10          3.889707E+2          0
1.028634E-7          -4.008328E-10          1.224168E-9          3.902615E+2          0
1.010398E-7          -1.497910E-10          1.439592E-10          3.915513E+2          0
8.692230E-8          -7.883330E-10          4.054176E-10          3.933481E+2          0
2.239165E-6          -5.331245E-10          -5.029162E-10          4.056487E+2          0
2.239125E-6          -9.081247E-10          -8.602080E-10          4.175513E+2          0
8.959142E-6          -4.518745E-10          -4.164578E-10          4.295498E+2          0
4.799120E-6          -9.893747E-10          -9.331247E-10          4.416464E+2          0
6.879100E-6          -8.602080E-10          -8.299996E-10          4.537840E+2          0
9.370664E-7          -5.731044E-9          -2.122709E-9          4.563547E+2          0
1.017929E-6          -3.960209E-9          -2.391459E-9          4.619590E+2          0
2.050042E-6          -4.146668E-9          -2.269584E-9          4.685762E+2          0
5.279126E-6          -4.247911E-10          -4.143744E-10          4.806548E+2          0
8.799110E-6          -4.799995E-10          -4.935411E-10          4.926373E+2          0
5.919135E-6          -6.070829E-10          -5.539578E-10          5.046449E+2          0
6.917310E-7          -3.426876E-9          -2.576875E-9          5.082265E+2          0
6.079132E-6          -7.841663E-10          -7.924996E-10          5.204950E+2          0
3.519154E-6          -8.789580E-10          -9.008330E-10          5.325656E+2          0
6.239138E-6          -5.924995E-10          -6.466662E-10          5.447651E+2          0
7.039116E-6          -9.987497E-10          -9.727080E-10          5.567567E+2          0
7.199126E-6          -7.508329E-10          -6.924996E-10          5.689612E+2          0
1.225470E-6          -2.788334E-9          -2.164375E-9          5.780701E+2          0
9.919112E-6          -5.633328E-10          -5.049995E-10          5.901507E+2          0
2.616099E-6          -2.692501E-9          -4.027918E-9          5.987477E+2          0
7.533533E-7          -3.572709E-9          -2.762292E-9          6.006484E+2          0
9.279122E-6          -4.456245E-10          -4.539578E-10          6.128540E+2          0
9.572938E-6          -3.284167E-9          -4.374793E-9          6.183403E+2          0
9.591421E-7          -8.164580E-10          -7.424996E-10          6.302799E+2          0
1.506994E-6          -2.474792E-9          -2.309167E-9          6.361792E+2          0
3.199155E-6          -7.289579E-10          -6.841662E-10          6.482848E+2          0
7.999117E-6          -4.143744E-10          -4.310411E-10          6.605623E+2          0
8.639098E-6          -6.310412E-10          -5.747912E-10          6.725539E+2          0
9.759115E-6          -4.258328E-10          -4.070828E-10          6.922725E+2          0
8.479098E-6          -9.768747E-10          -8.695830E-10          7.043461E+2          0
1.688686E-6          -7.182086E-9          -1.806042E-9          7.215580E+2          0
1.279172E-6          -8.049996E-10          -8.581247E-10          7.336616E+2          0
8.799128E-6          -4.466661E-10          -4.279161E-10          7.458512E+2          0
1.221375E-6          -3.208126E-9          -2.664376E-9          7.545651E+2          0
2.559165E-6          -5.768745E-10          -5.091662E-10          7.665457E+2          0
8.799138E-6          -5.299995E-10          -4.924995E-10          7.787652E+2          0
3.192073E-7          -5.362495E-10          -7.029162E-10          7.908568E+2          0
7.624377E-7          -9.044587E-9          -2.738334E-9          7.950523E+2          0
7.016380E-7          -4.817502E-9          -3.248751E-9          7.991718E+2          0
9.279135E-6          -6.466662E-10          -5.966662E-10          8.113783E+2          0
9.919140E-6          -9.195830E-10          -8.799997E-10          8.233490E+2          0
5.759132E-6          -5.331245E-10          -4.331245E-10          8.355494E+2          0
7.411367E-7          -2.685209E-9          -2.781042E-9          8.382541E+2          0
4.959155E-6          -9.237497E-10          -7.758329E-10          8.503657E+2          0
5.919136E-6          -7.560413E-10          -5.133328E-10          8.623712E+2          0
2.674556E-6          -7.222711E-9          -3.933126E-9          8.688575E+2          0
9.279097E-6          -9.622914E-10          -8.216663E-10          8.809660E+2          0
