DATI MISURA

Inizio misura: 28/10/2024 17:59:30
Tempo di acquisizione (sec): 2.470098E+5
Eventi acquisiti: 24253

TDC          QDC1          QDC2          Time          Valido
1.760264E-6          NaN          NaN          1.512312E+1          0
5.120284E-6          -5.039578E-10          -5.216662E-10          2.698570E+1          0
1.024025E-5          -5.622912E-10          -6.487496E-10          3.897826E+1          0
2.213964E-6          -4.883127E-9          -2.701876E-9          4.310177E+1          0
1.024026E-5          -5.799995E-10          -5.789579E-10          5.547729E+1          0
2.945145E-6          -2.506042E-9          -2.498750E-9          5.736306E+1          0
1.371794E-6          -4.475835E-9          -2.818542E-9          6.446826E+1          0
2.240291E-6          -4.883328E-10          -3.810411E-10          7.632080E+1          0
1.288945E-6          -4.261251E-9          -2.526875E-9          8.322297E+1          0
4.000315E-6          -5.841662E-10          -5.664578E-10          9.529656E+1          0
3.680315E-6          -6.393745E-10          -5.872912E-10          1.072891E+2          0
1.759564E-7          -5.105002E-9          -3.941459E-9          1.092608E+2          0
2.294919E-6          -3.250834E-9          -3.528959E-9          1.118835E+2          0
8.320231E-6          -4.560411E-10          -4.716661E-10          1.241931E+2          0
6.240274E-6          -4.435411E-10          -4.206244E-10          1.362716E+2          0
1.942156E-6          -6.243544E-9          -2.043542E-9          1.415240E+2          0
7.200270E-6          -7.518746E-10          -7.602079E-10          1.535766E+2          0
4.803114E-7          -6.935412E-10          -7.174996E-10          1.657251E+2          0
7.680271E-6          -6.393745E-10          -5.435412E-10          1.780236E+2          0
8.160282E-6          -7.904163E-10          -6.997912E-10          1.900812E+2          0
4.480316E-6          -6.727079E-10          -8.008330E-10          2.020877E+2          0
8.960283E-6          -7.039579E-10          -6.247912E-10          2.141843E+2          0
5.641664E-7          -2.381042E-9          -2.339375E-9          2.256629E+2          0
4.640289E-6          -5.622912E-10          -5.289578E-10          2.378954E+2          0
9.603062E-7          -5.424995E-10          -5.372912E-10          2.498750E+2          0
1.024027E-5          -6.070829E-10          -6.081245E-10          2.621235E+2          0
1.440287E-6          -4.497911E-10          -4.310411E-10          2.744211E+2          0
9.280265E-6          -8.497913E-10          -7.674996E-10          2.863877E+2          0
4.909146E-6          -4.413335E-9          -1.990417E-9          2.932659E+2          0
8.716441E-7          -3.422709E-9          -2.635209E-9          3.038835E+2          0
2.400288E-6          -5.643745E-10          -5.935412E-10          3.161241E+2          0
3.067957E-6          -1.964375E-9          -1.885208E-9          3.199766E+2          0
6.720294E-6          -7.112496E-10          -7.112496E-10          3.323662E+2          0
3.203117E-7          -7.195829E-10          -7.237496E-10          3.443207E+2          0
8.000258E-6          -4.633328E-10          -4.727078E-10          3.564622E+2          0
6.560272E-6          -7.643746E-10          -6.539579E-10          3.684609E+2          0
9.120265E-6          -4.810411E-10          -5.081245E-10          3.804554E+2          0
4.908995E-6          -4.236251E-9          -3.965418E-9          3.910871E+2          0
1.280260E-6          -5.643745E-10          -5.810412E-10          4.031787E+2          0
1.008025E-5          -3.820828E-10          -2.893744E-10          4.160961E+2          0
4.402222E-6          -5.023752E-9          -2.826876E-9          4.247101E+2          0
3.561633E-6          -7.777920E-9          -2.553959E-9          4.355788E+2          0
9.760274E-6          -4.279161E-10          -4.237494E-10          4.475824E+2          0
3.531939E-6          -3.621668E-9          -2.075834E-9          4.564843E+2          0
7.200283E-6          -5.852079E-10          -5.758329E-10          4.685918E+2          0
1.600268E-6          -7.529163E-10          -7.508329E-10          4.806764E+2          0
7.200282E-6          -8.508330E-10          -8.112496E-10          4.926599E+2          0
3.325166E-6          -4.317501E-9          -2.844584E-9          5.035837E+2          0
1.760251E-6          -6.206245E-10          -5.966662E-10          5.156222E+2          0
9.280262E-6          -6.997912E-10          -7.227079E-10          5.276728E+2          0
2.233009E-6          -2.851876E-9          -2.395625E-9          5.317233E+2          0
1.714373E-6          -3.515418E-9          -2.216459E-9          5.399823E+2          0
5.120295E-6          -8.477080E-10          -7.487496E-10          5.521699E+2          0
8.960258E-6          -4.445828E-10          -4.237494E-10          5.642784E+2          0
1.187639E-7          -5.167502E-9          -2.218542E-9          5.690898E+2          0
6.340436E-6          -2.757084E-9          -2.237292E-9          5.757650E+2          0
3.712520E-6          -6.241461E-9          -2.060209E-9          5.828221E+2          0
8.960259E-6          -8.070830E-10          -7.279163E-10          6.042586E+2          0
1.120285E-6          -6.216662E-10          -5.810412E-10          6.162541E+2          0
4.880242E-6          -3.730001E-9          -2.812292E-9          6.177620E+2          0
1.216522E-7          -3.561251E-9          -3.418543E-9          6.191778E+2          0
5.120301E-6          -6.549996E-10          -5.362495E-10          6.313214E+2          0
2.702633E-6          -5.653960E-9          -2.373750E-9          6.419761E+2          0
9.280252E-6          -7.737496E-10          -6.893746E-10          6.541786E+2          0
9.760268E-6          -7.320829E-10          -6.914579E-10          6.661912E+2          0
2.236627E-6          -4.824793E-9          -2.267500E-9          6.778758E+2          0
4.480287E-6          -3.841661E-10          -3.945828E-10          6.898893E+2          0
2.560298E-6          -6.310412E-10          -6.560412E-10          7.020659E+2          0
4.800282E-6          -6.279162E-10          -5.612495E-10          7.140534E+2          0
1.602981E-7          -7.831246E-10          -7.039579E-10          7.260570E+2          0
9.602774E-7          -8.018746E-10          -7.852080E-10          7.380596E+2          0
7.145470E-7          -3.973751E-9          -2.501875E-9          7.461076E+2          0
