DATI MISURA

Inizio misura: 20/11/2024 15:57:22
Tempo di acquisizione (sec): 8.161549E+4
Eventi acquisiti: 8352

TDC          QDC1          QDC2          Time          Valido
2.729976E-6          NaN          NaN          3.736606E+0          0
9.760251E-6          -1.284499E-9          -1.276099E-9          1.555919E+1          0
1.120241E-6          -1.020423E-9          -1.048249E-9          2.740176E+1          0
9.280230E-6          -1.197874E-9          -1.234099E-9          3.952831E+1          0
1.440263E-6          -1.078174E-9          -1.044574E-9          5.155383E+1          0
2.240273E-6          -1.218874E-9          -1.234099E-9          6.365137E+1          0
5.581256E-7          -2.396978E-9          -3.753582E-9          6.833481E+1          0
1.760254E-6          -1.232524E-9          -1.185799E-9          8.056535E+1          0
7.360265E-6          -1.121749E-9          -1.088149E-9          9.256891E+1          0
3.203114E-7          -1.083424E-9          -1.105999E-9          1.052374E+2          0
6.400259E-6          -1.256149E-9          -1.246699E-9          1.172310E+2          0
1.602613E-7          -9.747483E-10          -9.862984E-10          1.293996E+2          0
9.602701E-7          -1.272949E-9          -1.264549E-9          1.415481E+2          0
3.375945E-6          -4.700685E-9          -6.451565E-9          1.437028E+2          0
1.280268E-6          -1.200499E-9          -1.144324E-9          1.559413E+2          0
1.998033E-6          -5.239336E-9          -3.571406E-9          1.675009E+2          0
8.000243E-6          -1.051924E-9          -9.831484E-10          1.806714E+2          0
1.008021E-5          -1.224124E-9          -1.256149E-9          1.927559E+2          0
3.840256E-6          -9.080731E-10          -9.243482E-10          2.056024E+2          0
4.046636E-6          -2.532428E-9          -4.549484E-9          2.076011E+2          0
5.786230E-7          -7.041142E-9          -3.546206E-9          2.097049E+2          0
9.600224E-6          -1.294474E-9          -1.285024E-9          2.221694E+2          0
4.802547E-7          -9.862984E-10          -9.595233E-10          2.341580E+2          0
2.693953E-6          -4.169908E-9          -3.820257E-9          2.398023E+2          0
1.820838E-6          -5.238286E-9          -4.480709E-9          2.502531E+2          0
1.024022E-5          -1.258774E-9          -1.299724E-9          2.724424E+2          0
7.040211E-6          -1.289749E-9          -1.269799E-9          2.844029E+2          0
9.120253E-6          -1.123324E-9          -1.163749E-9          2.965475E+2          0
9.607359E-6          -3.549356E-9          -2.684154E-9          3.044516E+2          0
