DATI MISURA

Inizio misura: 29/11/2024 17:40:05
Tempo di acquisizione (sec): 2.485810E+5
Eventi acquisiti: 25099

TDC          QDC1          QDC2          Time          Valido
5.103615E-7          NaN          NaN          1.258051E+1          0
4.275729E-7          -8.087995E-9          -5.266111E-9          1.334446E+1          0
4.480268E-6          -1.017798E-9          -1.012548E-9          2.622790E+1          0
1.830411E-6          -4.492259E-9          -4.117933E-9          3.033041E+1          0
2.751820E-6          -2.396978E-9          -4.201408E-9          3.291411E+1          0
5.920228E-6          -1.323874E-9          -1.313374E-9          4.475170E+1          0
6.720223E-6          -1.150099E-9          -1.130674E-9          5.707325E+1          0
7.360231E-6          -1.227799E-9          -1.213099E-9          6.937079E+1          0
1.353023E-6          -3.760932E-9          -4.424534E-9          7.657994E+1          0
1.280249E-6          -1.417850E-9          -1.392125E-9          8.861452E+1          0
8.800215E-6          -1.188424E-9          -1.146949E-9          1.006331E+2          0
6.882598E-6          -2.751354E-9          -3.792432E-9          1.070713E+2          0
3.520283E-6          -1.110199E-9          -1.054024E-9          1.192599E+2          0
1.285457E-7          -3.952557E-9          -3.011755E-9          1.250392E+2          0
1.589336E-6          -4.062283E-9          -2.786004E-9          1.313065E+2          0
9.280212E-6          -9.705483E-10          -9.799984E-10          1.435500E+2          0
1.440227E-6          -1.247749E-9          -1.309699E-9          1.556406E+2          0
1.600234E-6          -1.044574E-9          -1.018323E-9          1.675732E+2          0
3.149512E-7          -2.265727E-9          -2.136052E-9          1.691920E+2          0
1.856950E-6          -4.849785E-9          -2.343953E-9          1.800517E+2          0
5.120244E-6          -1.298674E-9          -1.269799E-9          1.920163E+2          0
9.280219E-6          -1.104424E-9          -1.011498E-9          2.047978E+2          0
2.113110E-7          -8.023420E-9          -2.739279E-9          2.071845E+2          0
9.602452E-7          -1.391075E-9          -1.372175E-9          2.194420E+2          0
8.000252E-6          -1.175824E-9          -1.131199E-9          2.312896E+2          0
8.960231E-6          -1.218349E-9          -1.224649E-9          2.433952E+2          0
3.381069E-6          -7.165042E-9          -3.158230E-9          2.464109E+2          0
3.040240E-6          -1.202599E-9          -1.210474E-9          2.586384E+2          0
1.760236E-6          -1.281874E-9          -1.228324E-9          2.708400E+2          0
4.856812E-6          -7.610244E-9          -2.695179E-9          2.748705E+2          0
5.280239E-6          -1.095499E-9          -1.153249E-9          2.871490E+2          0
1.121158E-6          -5.309687E-9          -5.215711E-9          2.891568E+2          0
4.543241E-6          -3.045355E-9          -3.093655E-9          2.904687E+2          0
5.760251E-6          -1.152724E-9          -1.139074E-9          3.024962E+2          0
6.240248E-6          -1.358525E-9          -1.364825E-9          3.145438E+2          0
1.008021E-5          -1.351174E-9          -1.343299E-9          3.266364E+2          0
9.600187E-6          -9.773734E-10          -1.012023E-9          3.386950E+2          0
9.600220E-6          -1.184224E-9          -1.147474E-9          3.506455E+2          0
2.190188E-6          -3.317305E-9          -5.321762E-9          3.543491E+2          0
9.120218E-6          -1.270849E-9          -1.257724E-9          3.664397E+2          0
9.280224E-6          -1.254049E-9          -1.243549E-9          3.784633E+2          0
6.560233E-6          -1.208899E-9          -1.171099E-9          3.904688E+2          0
7.200213E-6          -1.070299E-9          -1.081849E-9          4.024624E+2          0
7.825291E-7          -3.637031E-9          -2.507228E-9          4.036523E+2          0
1.312600E-6          -6.212164E-9          -2.265727E-9          4.095086E+2          0
2.240234E-6          -1.287649E-9          -1.281349E-9          4.217011E+2          0
8.320190E-6          -1.227799E-9          -1.281874E-9          4.337327E+2          0
8.160208E-6          -1.281349E-9          -1.229899E-9          4.457533E+2          0
1.125561E-6          -4.163608E-9          -2.458403E-9          4.538683E+2          0
7.360196E-6          -1.083949E-9          -1.092874E-9          4.658959E+2          0
2.874596E-7          -4.462859E-9          -3.483731E-9          4.773506E+2          0
2.400250E-6          -1.321249E-9          -1.325974E-9          4.893541E+2          0
4.800263E-6          -1.041424E-9          -9.920734E-10          5.014517E+2          0
8.000211E-6          -9.852484E-10          -1.012023E-9          5.134463E+2          0
9.280216E-6          -1.360625E-9          -1.339624E-9          5.255638E+2          0
4.802586E-7          -1.167949E-9          -1.162174E-9          5.375714E+2          0
3.520251E-6          -1.132774E-9          -1.097074E-9          5.496481E+2          0
5.760258E-6          -1.308124E-9          -1.357475E-9          5.616576E+2          0
2.469121E-6          -2.680479E-9          -2.137627E-9          5.659531E+2          0
1.024021E-5          -1.050349E-9          -1.029874E-9          5.779436E+2          0
3.202750E-7          -1.044574E-9          -1.073974E-9          5.899493E+2          0
2.400249E-6          -1.408925E-9          -1.399475E-9          6.021878E+2          0
4.160253E-6          -1.213099E-9          -1.178449E-9          6.141654E+2          0
2.179475E-6          -8.069095E-9          -3.684282E-9          6.210106E+2          0
6.400221E-6          -1.245124E-9          -1.261924E-9          6.330611E+2          0
3.104593E-6          -3.512081E-9          -2.262577E-9          6.365657E+2          0
2.590245E-6          -6.882066E-9          -3.379256E-9          6.399083E+2          0
1.440237E-6          -1.343299E-9          -1.345924E-9          6.522549E+2          0
1.929924E-7          -3.742557E-9          -2.373353E-9          6.602060E+2          0
3.000529E-6          -3.737307E-9          -3.749907E-9          6.826763E+2          0
3.840252E-6          -1.345924E-9          -1.341724E-9          6.947839E+2          0
4.802245E-7          -5.172136E-9          -4.205608E-9          7.028099E+2          0
2.571419E-6          -4.522709E-9          -2.840604E-9          7.059075E+2          0
1.920227E-6          -1.352224E-9          -1.361675E-9          7.181611E+2          0
1.311769E-6          -3.480581E-9          -4.005583E-9          7.228735E+2          0
3.407404E-6          -6.978667E-9          -3.035905E-9          7.271080E+2          0
1.300122E-6          -3.827607E-9          -3.094180E-9          7.318404E+2          0
2.773139E-6          -6.651066E-9          -2.538728E-9          7.411573E+2          0
1.600235E-6          -1.045624E-9          -1.039324E-9          7.533719E+2          0
2.240247E-6          -1.115449E-9          -1.123324E-9          7.653085E+2          0
9.920215E-6          -1.311799E-9          -1.245124E-9          7.774591E+2          0
