DATI MISURA

Inizio misura: 03/12/2024 18:39:10
Tempo di acquisizione (sec): 2.438612E+5
Eventi acquisiti: 25804

TDC          QDC1          QDC2          Time          Valido
5.440091E-6          NaN          NaN          1.040546E+1          0
6.057606E-7          -5.867502E-9          -7.136253E-9          2.053546E+1          0
6.038293E-7          -6.872711E-9          -1.709167E-9          2.849346E+1          0
1.132514E-6          -2.430000E-9          -5.515419E-9          2.963646E+1          0
3.840230E-6          -7.841663E-10          -7.445830E-10          4.383546E+1          0
1.920231E-6          -7.987497E-10          -8.008330E-10          5.674346E+1          0
1.600311E-6          -8.091663E-10          -8.154163E-10          7.023946E+1          0
2.453825E-6          -9.741462E-9          -2.315417E-9          7.522146E+1          0
4.803137E-7          -7.768747E-10          -7.758330E-10          8.833646E+1          0
3.930041E-6          -4.405001E-9          -3.530001E-9          9.313946E+1          0
7.285446E-8          -8.755003E-9          -2.900834E-9          9.484154E+1          0
8.406306E-7          -2.437292E-9          -4.065418E-9          9.793746E+1          0
1.094160E-6          -4.436251E-9          -3.857084E-9          1.055355E+2          0
6.720039E-6          -8.154163E-10          -8.133330E-10          1.186395E+2          0
1.171618E-6          -1.969584E-9          -4.942502E-9          1.259204E+2          0
4.516417E-7          -4.965086E-8          -1.913334E-9          1.303342E+2          0
1.291321E-6          -1.275709E-8          -3.744584E-9          1.323405E+2          0
9.279893E-6          -8.112497E-10          -8.008330E-10          1.457675E+2          0
3.927935E-6          -8.147711E-9          -2.686251E-9          1.575415E+2          0
2.881715E-7          -4.890418E-9          -2.700834E-9          1.694385E+2          0
3.040170E-6          -8.029163E-10          -7.279163E-10          1.827415E+2          0
4.804934E-6          -3.944584E-9          -2.355000E-9          1.843415E+2          0
1.007989E-5          -8.049997E-10          -7.893747E-10          1.975383E+2          0
2.761350E-6          -4.588335E-9          -1.600833E-9          2.003365E+2          0
4.800131E-6          -7.820830E-10          -8.049997E-10          2.133344E+2          0
2.445077E-6          -6.398752E-9          -2.067500E-9          2.158285E+2          0
1.149688E-6          -4.032085E-9          -3.272709E-9          2.209395E+2          0
9.279981E-6          -8.008330E-10          -7.779163E-10          2.342603E+2          0
8.799898E-6          -8.070830E-10          -7.977080E-10          2.474115E+2          0
2.560257E-6          -8.070830E-10          -7.883330E-10          2.611395E+2          0
7.840056E-6          -6.945830E-10          -7.341663E-10          2.743523E+2          0
9.439876E-6          -8.112497E-10          -7.633330E-10          2.874545E+2          0
7.360014E-6          -8.112497E-10          -8.154163E-10          3.014545E+2          0
1.023995E-5          -7.966663E-10          -7.695830E-10          3.142515E+2          0
2.950720E-6          -6.709169E-9          -1.452917E-9          3.187405E+2          0
9.919893E-6          -7.956247E-10          -8.008330E-10          3.350104E+2          0
1.438904E-6          -2.902917E-9          -7.525836E-9          3.430365E+2          0
4.960143E-6          -7.862497E-10          -8.091663E-10          3.563105E+2          0
1.214108E-6          -2.525834E-9          -1.732083E-9          3.712325E+2          0
1.031733E-6          -3.286251E-9          -2.242500E-9          3.752375E+2          0
4.956232E-6          -7.069586E-9          -2.444584E-9          3.873395E+2          0
1.306952E-6          -5.059168E-9          -2.957084E-9          3.915403E+2          0
4.388390E-6          -1.088313E-8          -1.859167E-9          3.937385E+2          0
1.570143E-6          -7.575836E-9          -6.594586E-9          4.022355E+2          0
8.756794E-6          -8.800837E-9          -3.850834E-9          4.072405E+2          0
5.110709E-7          -9.166462E-9          -5.846669E-9          4.083345E+2          0
1.804247E-6          -2.833126E-9          -8.085211E-9          4.184305E+2          0
4.126711E-7          -2.709167E-9          -3.565418E-9          4.357355E+2          0
6.350810E-7          -4.521668E-9          -4.865418E-9          4.457335E+2          0
4.801893E-6          -3.111251E-9          -1.782083E-9          4.468375E+2          0
4.160197E-6          -8.049997E-10          -8.091663E-10          4.603455E+2          0
5.600046E-6          -8.029163E-10          -7.174996E-10          4.731405E+2          0
1.978831E-6          -5.260210E-9          -2.919584E-9          4.788455E+2          0
6.418260E-6          -9.761254E-9          -3.419584E-9          4.842385E+2          0
3.200224E-6          -7.685413E-10          -8.237497E-10          4.971355E+2          0
2.927065E-7          -5.894585E-9          -2.188334E-9          5.027205E+2          0
4.534698E-7          -1.667500E-9          -5.315418E-9          5.103385E+2          0
4.800129E-6          -7.695830E-10          -7.362496E-10          5.233345E+2          0
9.603278E-7          -8.133330E-10          -7.529163E-10          5.364415E+2          0
3.200281E-6          -7.945830E-10          -8.070830E-10          5.495915E+2          0
1.779961E-6          -8.488337E-9          -2.436250E-9          5.601425E+2          0
6.890157E-6          -7.025836E-9          -4.121668E-9          5.627375E+2          0
2.500090E-6          -3.246667E-9          -1.734167E-9          5.718435E+2          0
3.798718E-6          -1.204667E-8          -7.473753E-9          5.758415E+2          0
2.191707E-6          -2.617501E-9          -3.661251E-9          5.866385E+2          0
2.400152E-6          -8.133330E-10          -7.924997E-10          5.995365E+2          0
3.740796E-7          -2.661251E-9          -4.065418E-9          6.085389E+2          0
2.608623E-6          -1.769583E-9          -4.894585E-9          6.205415E+2          0
2.947536E-6          -1.259667E-8          -2.405000E-9          6.253435E+2          0
8.319961E-6          -8.154163E-10          -8.091663E-10          6.384493E+2          0
7.840080E-6          -8.143747E-10          -7.799997E-10          6.516405E+2          0
5.120119E-6          -8.195830E-10          -8.112497E-10          6.648465E+2          0
8.004127E-7          -8.154163E-10          -7.695830E-10          6.783395E+2          0
6.239998E-6          -7.820830E-10          -7.820830E-10          6.910335E+2          0
2.476339E-6          -1.884167E-9          -1.725833E-9          6.920505E+2          0
4.176445E-7          -2.084167E-9          -4.742502E-9          6.975395E+2          0
1.712983E-6          -2.830001E-9          -6.221669E-9          7.101375E+2          0
8.159875E-6          -8.174997E-10          -8.195830E-10          7.232305E+2          0
5.238668E-7          -4.164376E-9          -1.900834E-9          7.264364E+2          0
6.962921E-7          -5.255002E-9          -2.302917E-9          7.307375E+2          0
2.880231E-6          -7.862497E-10          -7.654163E-10          7.434365E+2          0
2.869929E-7          -9.880004E-9          -4.613335E-9          7.444429E+2          0
2.056083E-6          -5.825835E-9          -3.088334E-9          7.458445E+2          0
5.847881E-6          -2.819584E-9          -1.738333E-9          7.492325E+2          0
7.360054E-6          -8.174997E-10          -7.924997E-10          7.623455E+2          0
8.001972E-7          -6.487496E-10          -7.904163E-10          7.755403E+2          0
6.240151E-6          -7.654163E-10          -7.924997E-10          7.884415E+2          0
9.919942E-6          -7.956247E-10          -8.029163E-10          8.014395E+2          0
1.293612E-6          -1.168730E-8          -2.950834E-9          8.110375E+2          0
1.760336E-6          -7.549997E-10          -7.174996E-10          8.241415E+2          0
1.029089E-7          -9.178962E-9          -3.083126E-9          8.263355E+2          0
3.881518E-7          -4.082085E-9          -4.896668E-9          8.423355E+2          0
1.685443E-6          -4.480001E-9          -3.552918E-9          8.546303E+2          0
2.744221E-6          -8.116461E-9          -3.234167E-9          8.602375E+2          0
6.403455E-6          -6.923753E-9          -3.340418E-9          8.699464E+2          0
1.418735E-6          -6.175836E-9          -2.886251E-9          8.759213E+2          0
8.159924E-6          -7.966663E-10          -8.174997E-10          8.893395E+2          0
5.470488E-6          -6.731044E-9          -2.275834E-9          8.928395E+2          0
4.497844E-7          -9.841462E-9          -4.477918E-9          9.007335E+2          0
2.240210E-6          -7.643747E-10          -7.716663E-10          9.170274E+2          0
1.926138E-7          -3.636251E-9          -5.093543E-9          9.233254E+2          0
2.419156E-7          -3.382084E-9          -4.257085E-9          9.293215E+2          0
6.400087E-6          -8.029163E-10          -8.112497E-10          9.493315E+2          0
1.401557E-6          -1.304667E-8          -4.825835E-9          9.521355E+2          0
3.478589E-7          -6.577919E-9          -2.282084E-9          9.597345E+2          0
2.668272E-6          -1.388417E-8          -2.711251E-9          9.679335E+2          0
2.770028E-6          -9.464379E-9          -2.769584E-9          9.754354E+2          0
6.400046E-6          -8.049997E-10          -7.924997E-10          9.885465E+2          0
6.400072E-6          -7.904163E-10          -7.383330E-10          1.001532E+3          0
2.103071E-6          -8.338337E-9          -2.546667E-9          1.011824E+3          0
1.348086E-6          -2.472709E-9          -1.628958E-9          1.018333E+3          0
3.151238E-7          -1.301438E-8          -4.825835E-9          1.030734E+3          0
2.240248E-6          -7.654163E-10          -7.799997E-10          1.044042E+3          0
3.680279E-6          -7.966663E-10          -8.154163E-10          1.057038E+3          0
4.443310E-7          -3.550834E-9          -7.524795E-9          1.067629E+3          0
7.840090E-6          -7.862497E-10          -8.029163E-10          1.080946E+3          0
2.435338E-6          -6.646669E-9          -3.613334E-9          1.083548E+3          0
3.343187E-6          -4.642501E-9          -6.238336E-9          1.090125E+3          0
5.600012E-6          -8.195830E-10          -7.716663E-10          1.103146E+3          0
6.879980E-6          -8.091663E-10          -8.091663E-10          1.116939E+3          0
8.320024E-6          -7.904163E-10          -8.133330E-10          1.129838E+3          0
1.248407E-6          -1.850834E-9          -2.446667E-9          1.142622E+3          0
3.360198E-6          -7.924997E-10          -8.174997E-10          1.155741E+3          0
2.272881E-6          -2.649792E-9          -1.632083E-9          1.165535E+3          0
2.240284E-6          -7.622913E-10          -7.445830E-10          1.178447E+3          0
8.464993E-7          -4.119585E-9          -1.428958E-9          1.189551E+3          0
2.838620E-6          -7.920628E-9          -3.813334E-9          1.192732E+3          0
1.786294E-7          -4.509168E-9          -2.282084E-9          1.194434E+3          0
2.453000E-7          -1.706042E-9          -1.700833E-9          1.198937E+3          0
