DATI MISURA

Inizio misura: 10/12/2024 19:02:16
Tempo di acquisizione (sec): 2.287516E+5
Eventi acquisiti: 26683

TDC          QDC1          QDC2          Time          Valido
1.007986E-5          -8.102080E-10          -7.518747E-10          6.989071E+0          0
3.840211E-6          -8.185414E-10          -7.674997E-10          1.796606E+1          0
4.803248E-7          -8.195830E-10          -8.091663E-10          2.891538E+1          0
4.960214E-6          -7.081246E-10          -7.477080E-10          3.967280E+1          0
6.400121E-6          -8.466664E-10          -8.070830E-10          5.097207E+1          0
1.604979E-7          -6.935413E-10          -6.935413E-10          6.177307E+1          0
2.075934E-6          -3.783126E-9          -4.692502E-9          6.406707E+1          0
8.160030E-6          -7.497913E-10          -7.841663E-10          7.477407E+1          0
7.199988E-6          -6.310413E-10          -7.883330E-10          8.568606E+1          0
4.480186E-6          -7.674997E-10          -8.383330E-10          9.657840E+1          0
2.443376E-7          -7.420628E-9          -2.934167E-9          1.073001E+2          0
5.078462E-7          -3.339376E-9          -1.727917E-9          1.124781E+2          0
9.439946E-6          -8.237497E-10          -7.924997E-10          1.233801E+2          0
6.899823E-6          -2.805001E-9          -7.010211E-9          1.251992E+2          0
3.351179E-6          -1.821667E-9          -1.528958E-9          1.353659E+2          0
8.640065E-6          -7.529163E-10          -7.529163E-10          1.463751E+2          0
7.679969E-6          -7.799997E-10          -7.758330E-10          1.574791E+2          0
6.747675E-7          -2.337292E-9          -1.868542E-9          1.633499E+2          0
9.439888E-6          -6.560413E-10          -7.924997E-10          1.740791E+2          0
1.738278E-6          -3.660209E-9          -3.673751E-9          1.826881E+2          0
3.203299E-7          -8.133330E-10          -8.247914E-10          1.934770E+2          0
7.512781E-7          -7.445628E-9          -1.780000E-9          2.001891E+2          0
2.879463E-6          -1.509167E-9          -1.859167E-9          2.028791E+2          0
9.599870E-6          -7.883330E-10          -6.737496E-10          2.138821E+2          0
5.120159E-6          -7.258330E-10          -7.549997E-10          2.245501E+2          0
3.976506E-6          -1.221334E-8          -7.281044E-9          2.295821E+2          0
9.217700E-7          -4.198751E-9          -2.036250E-9          2.354372E+2          0
4.113400E-7          -5.438335E-9          -5.112293E-9          2.437646E+2          0
9.919997E-6          -8.039580E-10          -7.810413E-10          2.545951E+2          0
1.784328E-6          -2.067500E-9          -3.689376E-9          2.587841E+2          0
8.000020E-6          -8.216664E-10          -7.924997E-10          2.696811E+2          0
6.400117E-6          -7.549997E-10          -7.529163E-10          2.804881E+2          0
2.720332E-6          -8.570830E-10          -8.029163E-10          2.916671E+2          0
1.023998E-5          -8.018747E-10          -7.466663E-10          3.023771E+2          0
8.126420E-7          -5.874794E-9          -2.421667E-9          3.047816E+2          0
4.492598E-6          -3.731043E-9          -2.192500E-9          3.146791E+2          0
4.430494E-7          -1.562063E-8          -2.038334E-9          3.253481E+2          0
9.919829E-6          -8.383330E-10          -8.487497E-10          3.361942E+2          0
6.400090E-6          -8.591664E-10          -8.529164E-10          3.470740E+2          0
4.160170E-6          -8.383330E-10          -8.393747E-10          3.589921E+2          0
3.520213E-6          -8.008330E-10          -7.893747E-10          3.695781E+2          0
2.240280E-6          -7.695830E-10          -8.414580E-10          3.806861E+2          0
4.320108E-6          -8.404164E-10          -7.924997E-10          3.913501E+2          0
9.718759E-8          -1.146438E-8          -5.047710E-9          3.969769E+2          0
9.759904E-6          -6.602079E-10          -7.164580E-10          4.077771E+2          0
4.160183E-6          -6.612496E-10          -8.258330E-10          4.187851E+2          0
1.603084E-7          -8.133330E-10          -8.174997E-10          4.294597E+2          0
1.336059E-6          -5.517502E-9          -4.730002E-9          4.306491E+2          0
6.494520E-7          -1.556042E-9          -2.427917E-9          4.372601E+2          0
2.063843E-6          -9.211254E-9          -5.383127E-9          4.457736E+2          0
4.160150E-6          -6.945830E-10          -7.549997E-10          4.565711E+2          0
3.680172E-6          -7.466663E-10          -7.445830E-10          4.672611E+2          0
2.359086E-6          -1.003730E-8          -1.836250E-9          4.722766E+2          0
6.799935E-7          -2.430000E-9          -5.326877E-9          4.767741E+2          0
1.751523E-6          -4.206043E-9          -3.721668E-9          4.797781E+2          0
5.124630E-7          -7.685211E-9          -2.764376E-9          4.865381E+2          0
1.422642E-6          -3.923751E-9          -3.471668E-9          4.927501E+2          0
6.240135E-6          -8.206247E-10          -8.091663E-10          5.037731E+2          0
8.959978E-6          -7.883330E-10          -8.404164E-10          5.145781E+2          0
5.120103E-6          -8.529164E-10          -8.633330E-10          5.253721E+2          0
5.778618E-7          -4.245626E-9          -4.525835E-9          5.341603E+2          0
9.439924E-6          -9.195831E-10          -8.727080E-10          5.448781E+2          0
1.605279E-7          -9.539581E-10          -9.195831E-10          5.555731E+2          0
4.800155E-6          -8.549997E-10          -7.935413E-10          5.662750E+2          0
2.828849E-7          -7.408128E-9          -1.894584E-9          5.716631E+2          0
1.604920E-7          -7.258330E-10          -7.268746E-10          5.825861E+2          0
5.635066E-7          -1.777917E-9          -5.197710E-9          5.930801E+2          0
3.520210E-6          -7.487497E-10          -7.497913E-10          6.038841E+2          0
2.942087E-6          -7.841461E-9          -3.623751E-9          6.058531E+2          0
5.757495E-7          -9.181045E-9          -3.794584E-9          6.122812E+2          0
7.680051E-6          -7.758330E-10          -8.049997E-10          6.228801E+2          0
3.473262E-6          -5.241460E-9          -3.105001E-9          6.308781E+2          0
9.402490E-8          -5.141460E-9          -3.477918E-9          6.342671E+2          0
5.280182E-6          -6.581246E-10          -7.581247E-10          6.448931E+2          0
7.199450E-6          -7.583128E-9          -5.515419E-9          6.469529E+2          0
4.999785E-7          -1.699792E-9          -3.108126E-9          6.564771E+2          0
8.814837E-7          -4.153960E-9          -4.230001E-9          6.608341E+2          0
1.603308E-7          -7.674997E-10          -8.049997E-10          6.720722E+2          0
7.011146E-8          -5.878960E-9          -3.314793E-9          6.758755E+2          0
3.203146E-7          -9.039581E-10          -8.154163E-10          6.866822E+2          0
4.160209E-6          -8.508330E-10          -8.247914E-10          6.976644E+2          0
9.919834E-6          -8.706247E-10          -9.029164E-10          7.085051E+2          0
2.301955E-7          -1.210605E-8          -4.965418E-9          7.146741E+2          0
1.920263E-6          -7.924997E-10          -7.904163E-10          7.254359E+2          0
7.360100E-6          -8.820830E-10          -8.216664E-10          7.372911E+2          0
8.003561E-7          -8.372914E-10          -8.091663E-10          7.480671E+2          0
6.403158E-7          -7.966663E-10          -7.383330E-10          7.589701E+2          0
1.628202E-6          -1.865417E-9          -2.173750E-9          7.636769E+2          0
8.002367E-7          -8.310414E-10          -8.758330E-10          7.744501E+2          0
8.003387E-7          -7.029163E-10          -7.633330E-10          7.851761E+2          0
6.244641E-7          -5.403960E-9          -3.677918E-9          7.880918E+2          0
2.933808E-7          -3.431043E-9          -3.132084E-9          7.942621E+2          0
3.850845E-6          -4.165418E-9          -3.368543E-9          7.956691E+2          0
8.189510E-6          -2.349792E-9          -1.492500E-9          8.041941E+2          0
5.510217E-7          -5.756044E-9          -1.707083E-9          8.094799E+2          0
2.956881E-6          -2.590417E-9          -4.998752E-9          8.144871E+2          0
9.669585E-7          -6.077919E-9          -5.038335E-9          8.157791E+2          0
1.600280E-6          -7.320830E-10          -8.049997E-10          8.268771E+2          0
9.776912E-7          -5.692502E-9          -1.965417E-9          8.298761E+2          0
6.041841E-7          -5.119585E-9          -4.356043E-9          8.411801E+2          0
3.259011E-7          -5.826877E-9          -5.058127E-9          8.445711E+2          0
4.804226E-7          -8.477080E-10          -8.497914E-10          8.554749E+2          0
8.975526E-7          -4.314376E-9          -4.883127E-9          8.592771E+2          0
