DATI MISURA

Inizio misura: 07/10/2025 17:28:26
Tempo di acquisizione (sec): 4.809426E+4
Eventi acquisiti: 5365

TDC          QDC1          QDC2          Time          Valido
2.568465E-6          -2.720626E-9          -1.794583E-9          6.145902E+0          0
7.839790E-6          -8.279164E-10          -8.362497E-10          1.743911E+1          0
3.460672E-6          -3.439376E-9          -3.538334E-9          1.872726E+1          0
2.040792E-7          -3.234167E-9          -4.172710E-9          2.831252E+1          0
2.727285E-6          -2.590417E-9          -1.990417E-9          3.172188E+1          0
8.228028E-7          -2.285209E-9          -2.738334E-9          4.091498E+1          0
8.388913E-7          -3.863334E-9          -2.142500E-9          5.132598E+1          0
5.420797E-7          -3.792501E-9          -5.505002E-9          5.891845E+1          0
7.199801E-6          -8.987497E-10          -9.039581E-10          7.023366E+1          0
1.623590E-6          -1.165292E-8          -3.439376E-9          7.142389E+1          0
8.410779E-7          -1.062792E-8          -1.882084E-9          7.931670E+1          0
5.439916E-6          -8.237497E-10          -8.279164E-10          9.062745E+1          0
6.399814E-6          -8.237497E-10          -8.779164E-10          1.021029E+2          0
5.599896E-6          -8.237497E-10          -8.404164E-10          1.140279E+2          0
1.600438E-7          -8.258330E-10          -8.195830E-10          1.253250E+2          0
8.000861E-7          -8.383330E-10          -8.383330E-10          1.368255E+2          0
3.201414E-7          -8.549997E-10          -8.258330E-10          1.482299E+2          0
2.293555E-6          -5.598752E-9          -3.449793E-9          1.519221E+2          0
1.648886E-7          -5.430002E-9          -2.038334E-9          1.548297E+2          0
8.799730E-6          -8.633330E-10          -8.320830E-10          1.663150E+2          0
7.679766E-6          -8.227080E-10          -8.174997E-10          1.775377E+2          0
4.670554E-6          -3.669584E-9          -2.509167E-9          1.816027E+2          0
3.417334E-6          -1.422271E-8          -6.361252E-9          1.862308E+2          0
7.310552E-7          -2.140417E-9          -2.909167E-9          1.971261E+2          0
9.501810E-7          -3.338334E-9          -5.791460E-9          2.017803E+2          0
1.541156E-7          -9.025837E-9          -2.939376E-9          2.061304E+2          0
6.853967E-8          -2.435209E-9          -2.212917E-9          2.141321E+2          0
9.919836E-7          -5.242502E-9          -1.932084E-9          2.185115E+2          0
9.119705E-6          -8.237497E-10          -8.341664E-10          2.299565E+2          0
3.201716E-7          -8.341664E-10          -8.279164E-10          2.413177E+2          0
5.439876E-6          -8.737497E-10          -8.591664E-10          2.528305E+2          0
2.741749E-6          -6.180002E-9          -2.202917E-9          2.625267E+2          0
1.600038E-6          -8.956247E-10          -9.049997E-10          2.740032E+2          0
5.279878E-6          -8.529164E-10          -8.529164E-10          2.855331E+2          0
4.970182E-7          -8.167503E-9          -2.475834E-9          2.946200E+2          0
4.959919E-6          -8.768747E-10          -8.279164E-10          3.060321E+2          0
6.399835E-6          -8.195830E-10          -8.591664E-10          3.182214E+2          0
7.615196E-6          -6.131044E-9          -2.111250E-9          3.225347E+2          0
4.319932E-6          -8.893747E-10          -8.466664E-10          3.342298E+2          0
8.479738E-6          -8.289580E-10          -8.279164E-10          3.456354E+2          0
1.102187E-6          -5.685210E-9          -2.436250E-9          3.470411E+2          0
1.280037E-6          -8.216664E-10          -8.237497E-10          3.584190E+2          0
1.642754E-6          -2.067500E-9          -2.190417E-9          3.733184E+2          0
2.625372E-7          -4.158126E-9          -6.348752E-9          3.754168E+2          0
6.239847E-6          -8.904164E-10          -8.695830E-10          3.869211E+2          0
2.560022E-6          -8.195830E-10          -8.258330E-10          3.981311E+2          0
7.679787E-6          -8.997914E-10          -8.779164E-10          4.095298E+2          0
6.376694E-7          -5.553960E-9          -7.302919E-9          4.181259E+2          0
2.643155E-6          -1.303105E-8          -3.788334E-9          4.211163E+2          0
7.780049E-7          -5.468544E-9          -3.549793E-9          4.230273E+2          0
1.120017E-6          -8.591664E-10          -8.320830E-10          4.346312E+2          0
6.879820E-6          -8.279164E-10          -8.299997E-10          4.463275E+2          0
8.159764E-6          -8.477080E-10          -8.716664E-10          4.576157E+2          0
7.679788E-6          -8.518747E-10          -8.174997E-10          4.692280E+2          0
4.800690E-7          -8.549997E-10          -8.299997E-10          4.802281E+2          0
1.444819E-6          -6.015419E-9          -2.363334E-9          4.844434E+2          0
6.559848E-6          -9.268747E-10          -8.424997E-10          4.959272E+2          0
1.957425E-6          -4.535210E-9          -1.748750E-9          4.977255E+2          0
2.879962E-6          -8.404164E-10          -8.456247E-10          5.094319E+2          0
1.440045E-6          -9.049997E-10          -8.945831E-10          5.210262E+2          0
1.296773E-7          -1.149355E-8          -1.632083E-9          5.248801E+2          0
1.226075E-7          -4.394585E-9          -2.115417E-9          5.319257E+2          0
7.947445E-6          -9.128962E-9          -1.957084E-9          5.370304E+2          0
8.639749E-6          -8.539580E-10          -8.414580E-10          5.483242E+2          0
1.920035E-6          -8.299997E-10          -8.612497E-10          5.592989E+2          0
6.239853E-6          -8.341664E-10          -8.299997E-10          5.707040E+2          0
7.999769E-6          -8.341664E-10          -8.633330E-10          5.824030E+2          0
8.799717E-6          -9.404164E-10          -8.737497E-10          5.937310E+2          0
1.613934E-6          -6.699794E-9          -3.211251E-9          5.969241E+2          0
3.163313E-6          -5.713335E-9          -2.499792E-9          6.011355E+2          0
1.217626E-6          -7.860211E-9          -3.880001E-9          6.021998E+2          0
1.600132E-7          -8.758330E-10          -8.622914E-10          6.139145E+2          0
7.619567E-8          -2.723751E-9          -2.748751E-9          6.179226E+2          0
9.759698E-6          -8.508330E-10          -8.841664E-10          6.301690E+2          0
6.559805E-6          -8.716664E-10          -9.112497E-10          6.475303E+2          0
1.308624E-6          -6.127919E-9          -2.855001E-9          6.524299E+2          0
6.864808E-6          -4.284168E-9          -3.180001E-9          6.635245E+2          0
9.119701E-6          -8.195830E-10          -8.508330E-10          6.747362E+2          0
2.080021E-6          -8.341664E-10          -8.549997E-10          6.859213E+2          0
6.719853E-6          -8.977081E-10          -8.362497E-10          6.974282E+2          0
8.159760E-6          -8.195830E-10          -8.456247E-10          7.089340E+2          0
6.719804E-6          -8.987497E-10          -8.549997E-10          7.216522E+2          0
1.770873E-6          -4.994585E-9          -3.327918E-9          7.298251E+2          0
3.839969E-6          -9.237497E-10          -8.216664E-10          7.408181E+2          0
7.679787E-6          -8.424997E-10          -8.570830E-10          7.528670E+2          0
2.656018E-6          -5.462294E-9          -2.577917E-9          7.606020E+2          0
2.559994E-6          -8.799997E-10          -8.591664E-10          7.723191E+2          0
5.599905E-6          -8.383330E-10          -8.424997E-10          7.884451E+2          0
5.119906E-6          -8.320830E-10          -8.258330E-10          8.005028E+2          0
3.999919E-6          -8.570830E-10          -8.299997E-10          8.118292E+2          0
5.119905E-6          -8.237497E-10          -8.612497E-10          8.234263E+2          0
2.778557E-6          -3.121667E-9          -6.126877E-9          8.282365E+2          0
5.279878E-6          -8.362497E-10          -8.362497E-10          8.435287E+2          0
8.297802E-7          -7.221669E-9          -3.461251E-9          8.449153E+2          0
1.120034E-6          -8.279164E-10          -8.737497E-10          8.572216E+2          0
9.243881E-7          -2.261250E-9          -2.994584E-9          8.674160E+2          0
9.119735E-6          -8.362497E-10          -8.445830E-10          8.788678E+2          0
4.959920E-6          -8.299997E-10          -8.279164E-10          8.904283E+2          0
5.599869E-6          -8.258330E-10          -8.320830E-10          9.022028E+2          0
1.569579E-6          -7.131044E-9          -3.273751E-9          9.092373E+2          0
6.079863E-6          -8.195830E-10          -8.029163E-10          9.204288E+2          0
2.879980E-6          -8.216664E-10          -8.362497E-10          9.318996E+2          0
2.660800E-6          -2.173750E-9          -3.952918E-9          9.344369E+2          0
3.018674E-6          -2.976876E-9          -1.884167E-9          9.451291E+2          0
1.066015E-6          -2.742501E-9          -2.688334E-9          9.551228E+2          0
3.839937E-6          -8.195830E-10          -8.237497E-10          9.671242E+2          0
9.919677E-6          -8.341664E-10          -8.299997E-10          9.782330E+2          0
4.159940E-6          -8.216664E-10          -8.112497E-10          9.899373E+2          0
2.240004E-6          -8.706247E-10          -8.424997E-10          1.002329E+3          0
9.851752E-7          -6.901878E-9          -4.602918E-9          1.005329E+3          0
4.799934E-6          -8.216664E-10          -8.258330E-10          1.016803E+3          0
6.879798E-6          -8.685414E-10          -8.529164E-10          1.028431E+3          0
1.762554E-6          -3.555001E-9          -1.705000E-9          1.039730E+3          0
2.718505E-6          -2.819584E-9          -2.690417E-9          1.047629E+3          0
2.719982E-6          -8.966664E-10          -8.404164E-10          1.059239E+3          0
5.599873E-6          -8.852080E-10          -9.206247E-10          1.070801E+3          0
4.763233E-6          -4.314376E-9          -3.136251E-9          1.078831E+3          0
3.382936E-6          -4.025835E-9          -2.161250E-9          1.087231E+3          0
2.437654E-6          -6.559169E-9          -1.917500E-9          1.092027E+3          0
2.688792E-6          -9.593545E-9          -3.525834E-9          1.097045E+3          0
5.240353E-6          -8.034170E-9          -8.066461E-9          1.099228E+3          0
6.079866E-6          -8.237497E-10          -8.591664E-10          1.116532E+3          0
9.248046E-6          -4.766460E-9          -2.302917E-9          1.123234E+3          0
2.880001E-6          -8.487497E-10          -8.195830E-10          1.134401E+3          0
1.600356E-7          -8.258330E-10          -8.404164E-10          1.146929E+3          0
2.879982E-6          -8.362497E-10          -8.195830E-10          1.158627E+3          0
2.945368E-6          -2.238334E-9          -1.752917E-9          1.162315E+3          0
8.799726E-6          -8.612497E-10          -8.279164E-10          1.174135E+3          0
4.800969E-7          -8.445830E-10          -8.633330E-10          1.185927E+3          0
1.504552E-7          -3.134167E-9          -1.944584E-9          1.196814E+3          0
