DATI MISURA

Inizio misura: 08/10/2025 10:37:01
Tempo di acquisizione (sec): 1.860400E+5
Eventi acquisiti: 18849

TDC          QDC1          QDC2          Time          Valido
2.240301E-6          NaN          NaN          1.204228E+2          0
9.934121E-6          -3.575834E-9          -2.340417E-9          1.307515E+2          0
8.757558E-8          -5.728107E-8          -5.381043E-9          1.410683E+2          0
3.660957E-7          -6.867502E-9          -4.083126E-9          1.432521E+2          0
3.425388E-7          -2.430000E-9          -3.484168E-9          1.546517E+2          0
4.160264E-6          -8.945830E-10          -9.529164E-10          1.665663E+2          0
6.139137E-6          -3.512293E-9          -4.098751E-9          1.684511E+2          0
3.203012E-7          -9.174997E-10          -9.779164E-10          1.806556E+2          0
4.413333E-6          -3.585209E-9          -2.957084E-9          1.913474E+2          0
4.753641E-6          -5.005002E-9          -2.702917E-9          1.945400E+2          0
1.771466E-6          -2.377917E-9          -4.106043E-9          1.971557E+2          0
4.320264E-6          -8.945830E-10          -8.674997E-10          2.093022E+2          0
1.145058E-6          -5.292502E-9          -3.773751E-9          2.175303E+2          0
8.640237E-6          -6.904162E-10          -7.320829E-10          2.297398E+2          0
7.680265E-6          -7.258329E-10          -7.320829E-10          2.416435E+2          0
9.440231E-6          -8.216663E-10          -8.591663E-10          2.539150E+2          0
4.160286E-6          -9.216663E-10          -8.633330E-10          2.659316E+2          0
1.024024E-5          -9.258330E-10          -8.924997E-10          2.779562E+2          0
3.971629E-7          -3.252917E-9          -2.908126E-9          2.805488E+2          0
5.280276E-6          -7.602079E-10          -6.977079E-10          2.926224E+2          0
2.037431E-7          -5.410210E-9          -2.677917E-9          3.025293E+2          0
8.177214E-7          -4.444585E-9          -2.842501E-9          3.074337E+2          0
7.840240E-6          -6.622912E-10          -7.102079E-10          3.194353E+2          0
7.520252E-6          -9.008330E-10          -8.695830E-10          3.317778E+2          0
4.160289E-6          -1.019583E-9          -1.005000E-9          3.436223E+2          0
2.720270E-6          -7.987496E-10          -7.487496E-10          3.558659E+2          0
4.909518E-6          -4.527918E-9          -3.080001E-9          3.651628E+2          0
2.080258E-6          -7.633329E-10          -8.247913E-10          3.771714E+2          0
4.802731E-7          -1.044583E-9          -1.038333E-9          3.893640E+2          0
8.002479E-7          -1.065416E-9          -1.025833E-9          4.020085E+2          0
1.443862E-6          -4.721668E-9          -3.238334E-9          4.080527E+2          0
4.763275E-6          -2.251875E-9          -2.673751E-9          4.107555E+2          0
3.520294E-6          -7.206246E-10          -8.195830E-10          4.227610E+2          0
1.457810E-6          -2.872709E-9          -3.560209E-9          4.311520E+2          0
2.080257E-6          -8.695830E-10          -8.758330E-10          4.433616E+2          0
9.120211E-6          -8.570830E-10          -8.758330E-10          4.555691E+2          0
1.240454E-6          -4.897710E-9          -2.430000E-9          4.609565E+2          0
2.056636E-6          -5.556044E-9          -2.516459E-9          4.665448E+2          0
1.920265E-6          -8.893747E-10          -8.716663E-10          4.788604E+2          0
6.880235E-6          -9.383330E-10          -9.612497E-10          4.909659E+2          0
2.480857E-6          -6.237294E-9          -2.512292E-9          4.976541E+2          0
9.920252E-6          -1.042500E-9          -1.000833E-9          5.097657E+2          0
1.447001E-6          -2.991459E-9          -2.502917E-9          5.200535E+2          0
2.720260E-6          -8.820830E-10          -8.549997E-10          5.321670E+2          0
1.894969E-6          -4.805002E-9          -3.501876E-9          5.371545E+2          0
9.120239E-6          -7.445829E-10          -7.841663E-10          5.492600E+2          0
4.000279E-6          -9.487497E-10          -9.602080E-10          5.612546E+2          0
3.520280E-6          -8.674997E-10          -8.445830E-10          5.734552E+2          0
5.920214E-6          -7.810413E-10          -7.904163E-10          5.853768E+2          0
3.203038E-7          -8.716663E-10          -8.758330E-10          5.976493E+2          0
4.583675E-7          -6.607086E-9          -3.753959E-9          6.091549E+2          0
7.096412E-7          -4.148751E-9          -2.655000E-9          6.210355E+2          0
4.043878E-6          -3.163334E-9          -2.913334E-9          6.293546E+2          0
2.560276E-6          -7.289579E-10          -8.227080E-10          6.416611E+2          0
1.600263E-6          -9.320830E-10          -9.112497E-10          6.537567E+2          0
4.480273E-6          -9.602080E-10          -8.716663E-10          6.657683E+2          0
1.864730E-6          -2.031042E-9          -2.452917E-9          6.707497E+2          0
4.717143E-6          -2.665417E-9          -3.571668E-9          6.804715E+2          0
4.475838E-7          -4.024793E-9          -2.626875E-9          6.827522E+2          0
1.440263E-6          -8.977080E-10          -9.779164E-10          6.948558E+2          0
3.040267E-6          -1.007083E-9          -9.289580E-10          7.069424E+2          0
8.002629E-7          -1.160208E-9          -1.126875E-9          7.189449E+2          0
4.261863E-6          -4.049793E-9          -2.640417E-9          7.276439E+2          0
9.120235E-6          -9.008330E-10          -9.258330E-10          7.398685E+2          0
1.920258E-6          -9.352080E-10          -9.237497E-10          7.517621E+2          0
2.080253E-6          -8.674997E-10          -9.362497E-10          7.639376E+2          0
2.257762E-6          -4.492501E-9          -1.973750E-9          7.649645E+2          0
1.008023E-5          -1.078958E-9          -1.021666E-9          7.770441E+2          0
1.300596E-6          -6.408127E-9          -1.815417E-9          7.830574E+2          0
