DATI MISURA

Inizio misura: 21/10/2025 17:41:52
Tempo di acquisizione (sec): 2.469302E+5
Eventi acquisiti: 28402

TDC          QDC1          QDC2          Time          Valido
4.239579E-6          -3.438606E-9          -5.164811E-9          4.151121E+0          0
2.721324E-6          -1.395300E-9          -1.405800E-9          1.542407E+1          0
8.014484E-7          -1.352250E-9          -1.329150E-9          2.652110E+1          0
3.631491E-6          -8.384121E-9          -3.381906E-9          3.385591E+1          0
1.841260E-7          -4.158908E-9          -5.746513E-9          4.242152E+1          0
5.921177E-6          -1.405800E-9          -1.397400E-9          5.342207E+1          0
3.841290E-6          -1.338600E-9          -1.369050E-9          6.492008E+1          0
3.521362E-6          -1.361700E-9          -1.397400E-9          7.602333E+1          0
9.121004E-6          -1.342800E-9          -1.361700E-9          8.696705E+1          0
2.881338E-6          -1.349100E-9          -1.320750E-9          9.852314E+1          0
2.401377E-6          -1.390050E-9          -1.326000E-9          1.096221E+2          0
7.521188E-6          -1.347000E-9          -1.315500E-9          1.209227E+2          0
6.987118E-7          -6.683116E-9          -5.738113E-9          1.223536E+2          0
3.681343E-6          -1.300800E-9          -1.363800E-9          1.335220E+2          0
7.299549E-7          -5.772763E-9          -3.396606E-9          1.425220E+2          0
2.007164E-6          -2.497803E-9          -3.598207E-9          1.485218E+2          0
4.001293E-6          -1.349100E-9          -1.321800E-9          1.595581E+2          0
3.497259E-6          -3.442806E-9          -3.596107E-9          1.638230E+2          0
9.238704E-6          -8.204571E-9          -3.839707E-9          1.657240E+2          0
1.008106E-5          -1.380600E-9          -1.376400E-9          1.774240E+2          0
3.215175E-7          -1.395300E-9          -1.382700E-9          1.889603E+2          0
2.066202E-7          -2.922005E-9          -2.418003E-9          1.925212E+2          0
4.566339E-7          -4.059158E-9          -2.863204E-9          1.994221E+2          0
4.814476E-7          -1.339650E-9          -1.323900E-9          2.110207E+2          0
8.921669E-7          -5.116511E-9          -3.906908E-9          2.199212E+2          0
2.241327E-6          -1.266150E-9          -1.315500E-9          2.311223E+2          0
8.852597E-7          -5.364312E-9          -5.522862E-9          2.347221E+2          0
4.641291E-6          -1.407900E-9          -1.391100E-9          2.471550E+2          0
3.053018E-6          -4.104308E-9          -2.800204E-9          2.490221E+2          0
5.121268E-6          -1.287150E-9          -1.307100E-9          2.601220E+2          0
4.961343E-6          -1.405800E-9          -1.412100E-9          2.711560E+2          0
1.445252E-6          -9.073973E-9          -3.510006E-9          2.778197E+2          0
6.339737E-6          -9.944426E-9          -2.449503E-9          2.874229E+2          0
1.155548E-6          -8.195121E-9          -2.390703E-9          2.886217E+2          0
3.540434E-6          -4.291209E-9          -4.051808E-9          2.989212E+2          0
3.445544E-6          -5.383212E-9          -2.863204E-9          3.005214E+2          0
2.956911E-6          -7.009667E-9          -5.243562E-9          3.077220E+2          0
3.466225E-7          -9.173724E-9          -4.408809E-9          3.150210E+2          0
4.481307E-6          -1.341750E-9          -1.391100E-9          3.264230E+2          0
1.125645E-6          -7.135667E-9          -3.556206E-9          3.338236E+2          0
4.801240E-6          -1.381650E-9          -1.395300E-9          3.454582E+2          0
4.357141E-6          -8.368371E-9          -2.535603E-9          3.491560E+2          0
3.841339E-6          -1.362750E-9          -1.407900E-9          3.602220E+2          0
3.521374E-6          -1.365900E-9          -1.369050E-9          3.713553E+2          0
9.281073E-6          -1.395300E-9          -1.386900E-9          3.824487E+2          0
2.674692E-6          -1.262508E-8          -4.495959E-9          3.908199E+2          0
5.281212E-6          -1.420500E-9          -1.412100E-9          4.019520E+2          0
2.104945E-6          -1.183128E-8          -4.731160E-9          4.040219E+2          0
7.521117E-6          -1.374300E-9          -1.391100E-9          4.151651E+2          0
1.921399E-6          -1.389000E-9          -1.397400E-9          4.261217E+2          0
8.321122E-6          -1.399500E-9          -1.424700E-9          4.379564E+2          0
7.521193E-6          -1.389000E-9          -1.370100E-9          4.494230E+2          0
1.166488E-7          -9.776425E-9          -2.548203E-9          4.515216E+2          0
1.828006E-6          -3.813457E-9          -4.095908E-9          4.571222E+2          0
7.330154E-7          -1.115193E-8          -3.354606E-9          4.632200E+2          0
3.841303E-6          -1.309200E-9          -1.334400E-9          4.764226E+2          0
1.105467E-6          -4.975811E-9          -2.822254E-9          4.780222E+2          0
9.441032E-6          -1.395300E-9          -1.395300E-9          4.893240E+2          0
9.441019E-6          -1.401600E-9          -1.405800E-9          5.004234E+2          0
3.378513E-7          -3.589807E-9          -4.700710E-9          5.046228E+2          0
2.521965E-6          -1.389454E-8          -2.449503E-9          5.112223E+2          0
9.921054E-6          -1.376400E-9          -1.399500E-9          5.228555E+2          0
7.841085E-6          -1.353300E-9          -1.391100E-9          5.340230E+2          0
2.721395E-6          -1.365900E-9          -1.399500E-9          5.451230E+2          0
3.215286E-7          -1.407900E-9          -1.384800E-9          5.561236E+2          0
4.641326E-6          -1.368000E-9          -1.303950E-9          5.673230E+2          0
1.156821E-6          -5.689813E-9          -3.744157E-9          5.720557E+2          0
1.921440E-6          -1.414200E-9          -1.405800E-9          5.830221E+2          0
7.361118E-6          -1.412100E-9          -1.391100E-9          5.941228E+2          0
3.417625E-6          -1.106373E-8          -6.824866E-9          5.959219E+2          0
1.843551E-6          -5.027261E-9          -5.072411E-9          5.983211E+2          0
8.542885E-7          -8.416671E-9          -3.472206E-9          6.040214E+2          0
5.121255E-6          -1.327050E-9          -1.376400E-9          6.154201E+2          0
7.282672E-7          -6.679966E-9          -2.560803E-9          6.221233E+2          0
6.001288E-7          -8.291721E-9          -2.911505E-9          6.295204E+2          0
4.161265E-6          -1.384800E-9          -1.397400E-9          6.409234E+2          0
7.277562E-7          -1.053978E-8          -5.468262E-9          6.455220E+2          0
5.601220E-6          -1.412100E-9          -1.405800E-9          6.569605E+2          0
2.143522E-6          -1.093983E-8          -3.471156E-9          6.597221E+2          0
1.124849E-6          -4.430859E-9          -1.054923E-8          6.663230E+2          0
8.641108E-6          -1.412100E-9          -1.407900E-9          6.776527E+2          0
1.668039E-6          -7.808719E-9          -6.963467E-9          6.835220E+2          0
1.566047E-7          -5.141711E-9          -5.704513E-9          6.863200E+2          0
9.921080E-6          -1.334400E-9          -1.300800E-9          6.975259E+2          0
6.455307E-7          -3.003905E-9          -5.170061E-9          7.038223E+2          0
7.841058E-6          -1.397400E-9          -1.374300E-9          7.148646E+2          0
1.301900E-6          -1.399324E-8          -5.844163E-9          7.253230E+2          0
7.106279E-7          -4.695460E-9          -2.922005E-9          7.307208E+2          0
8.014330E-7          -1.414200E-9          -1.416300E-9          7.418213E+2          0
2.824943E-7          -3.704257E-9          -3.027005E-9          7.522210E+2          0
3.550697E-7          -1.093983E-8          -8.673922E-9          7.619220E+2          0
1.601324E-6          -1.389000E-9          -1.397400E-9          7.731210E+2          0
