DATI MISURA

Inizio misura: 18/11/2025 16:56:19
Tempo di acquisizione (sec): 2.499424E+5
Eventi acquisiti: 25645

TDC          QDC1          QDC2          Time          Valido
4.000283E-6          -6.372912E-10          -6.102079E-10          1.083468E+1          0
6.240261E-6          -9.768747E-10          -1.058125E-9          2.232636E+1          0
7.360262E-6          -9.987497E-10          -9.883330E-10          3.413290E+1          0
6.217796E-7          -6.200836E-9          -2.660209E-9          3.622465E+1          0
7.840264E-6          -8.424996E-10          -8.487496E-10          4.842420E+1          0
2.364839E-6          -5.321668E-9          -2.288334E-9          5.142884E+1          0
3.360290E-6          -1.068541E-9          -1.114375E-9          6.372537E+1          0
1.090974E-7          -3.467501E-9          -3.750834E-9          7.383317E+1          0
9.602701E-7          -6.518746E-10          -7.404163E-10          8.578179E+1          0
7.360271E-6          -9.018747E-10          -8.383330E-10          9.803129E+1          0
3.637094E-7          -5.666460E-9          -2.242500E-9          9.901316E+1          0
4.320293E-6          -9.758330E-10          -9.758330E-10          1.111078E+2          0
6.080286E-6          -9.258330E-10          -8.320830E-10          1.231293E+2          0
8.800267E-6          -7.633329E-10          -6.831246E-10          1.353298E+2          0
4.480323E-6          -9.320830E-10          -9.091663E-10          1.474294E+2          0
3.840318E-6          -6.966662E-10          -6.893746E-10          1.596290E+2          0
7.722411E-6          -3.427918E-9          -3.109167E-9          1.623317E+2          0
4.960277E-6          -1.134166E-9          -1.084166E-9          1.745242E+2          0
5.760272E-6          -6.477079E-10          -6.289579E-10          1.866318E+2          0
6.006830E-7          -7.668545E-9          -2.763334E-9          1.971145E+2          0
2.030121E-6          -4.649793E-9          -2.909167E-9          2.026288E+2          0
9.014311E-7          -5.327918E-9          -2.873751E-9          2.117358E+2          0
5.997777E-7          -8.238336E-9          -2.846667E-9          2.161202E+2          0
8.160258E-6          -9.174997E-10          -9.331247E-10          2.281508E+2          0
7.971304E-7          -2.884167E-9          -3.419584E-9          2.360358E+2          0
9.280267E-6          -8.174996E-10          -8.445830E-10          2.481484E+2          0
4.125871E-7          -5.548752E-9          -2.039375E-9          2.519239E+2          0
9.602878E-7          -7.633329E-10          -7.216663E-10          2.640435E+2          0
3.203309E-7          -6.331245E-10          -6.435412E-10          2.799316E+2          0
8.320271E-6          -8.049996E-10          -7.779163E-10          2.921342E+2          0
6.712728E-6          -4.632085E-9          -6.141460E-9          2.968336E+2          0
3.680299E-6          -6.029162E-10          -6.018745E-10          3.099380E+2          0
9.920264E-6          -6.372912E-10          -5.872912E-10          3.229365E+2          0
1.760253E-6          -6.549996E-10          -6.310412E-10          3.349201E+2          0
5.920276E-6          -1.021666E-9          -9.883330E-10          3.471416E+2          0
8.480246E-6          -6.695829E-10          -7.122913E-10          3.590282E+2          0
5.600281E-6          -7.727079E-10          -7.560413E-10          3.711378E+2          0
5.280265E-6          -1.006041E-9          -1.012291E-9          3.833343E+2          0
3.421066E-6          -4.270626E-9          -2.073750E-9          3.891266E+2          0
1.261024E-6          -6.448752E-9          -3.715418E-9          3.949279E+2          0
8.002808E-7          -9.279164E-10          -9.299997E-10          4.094362E+2          0
2.240271E-6          -1.012291E-9          -9.799997E-10          4.213088E+2          0
2.028337E-6          -3.812293E-9          -1.684167E-9          4.330763E+2          0
3.030310E-6          -2.155000E-9          -4.761251E-9          4.384107E+2          0
5.920272E-6          -8.445830E-10          -8.112496E-10          4.506373E+2          0
4.000290E-6          -6.352079E-10          -6.414579E-10          4.627128E+2          0
1.600266E-6          -9.133330E-10          -9.570830E-10          4.747303E+2          0
5.920279E-6          -8.529163E-10          -8.779163E-10          4.867749E+2          0
8.003133E-7          -1.032083E-9          -9.206247E-10          4.987825E+2          0
5.920287E-6          -8.904163E-10          -8.654163E-10          5.107031E+2          0
1.440267E-6          -9.143747E-10          -9.008330E-10          5.227066E+2          0
3.855289E-6          -5.555002E-9          -1.975834E-9          5.334264E+2          0
1.760287E-6          -7.789579E-10          -8.258330E-10          5.454059E+2          0
1.280295E-6          -9.841664E-10          -9.508330E-10          5.574335E+2          0
7.840269E-6          -1.166458E-9          -1.086250E-9          5.695000E+2          0
1.116765E-6          -6.232086E-9          -3.168542E-9          5.807148E+2          0
3.797056E-6          -6.342502E-9          -3.600834E-9          5.865301E+2          0
7.840258E-6          -8.945830E-10          -9.070830E-10          5.985296E+2          0
1.440295E-6          -6.810412E-10          -6.331245E-10          6.107312E+2          0
1.308449E-6          -5.648752E-9          -2.680001E-9          6.205280E+2          0
2.240272E-6          -9.081247E-10          -8.404163E-10          6.324616E+2          0
3.188668E-6          -7.457086E-9          -2.399792E-9          6.343273E+2          0
