Group "TDC resolution" theta_0 theta_1
M1 1e-09 9.731117266749807e-08 1.1753653176973637
B2 1e-09 9.048990883705174e-08 0.8005498053817299
H2 1e-09 2.514595858650365e-08 0.8508932479828634
G1 1e-09 -7.540491585808042e-08 1.0292337782853813
A2 1e-09 -4.150497901760426e-08 0.8050126895855321
D1 1e-09 -7.636493184929139e-08 0.8618143093780283
E2 1e-09 -1.1498030750137028e-08 0.9078184587630502
F2 1e-09 -1.1421672762047864e-08 1.1572951734206705
I1 1e-09 3.1352198033205735e-08 1.1092581905827212
C1 1e-09 -1.324789325490572e-08 0.9219692962535704
L2 1e-09 -8.61035268978018e-08 0.9598763599161728
G2 1e-09 9.797189193090334e-09 0.9615542213339332
H1 1e-09 6.4634310335298e-08 1.0642667220324502
B1 1e-09 1.0857441319204367e-08 1.087195470674029
M2 1e-09 -9.862590129016737e-08 0.8986933285222358
D2 1e-09 8.642719250282165e-08 1.1730165783513145
A1 1e-09 9.963249357586153e-08 1.0574343924532803
E1 1e-09 -4.2187616770517963e-08 0.899193960820808
L1 1e-09 9.790751497892933e-08 0.8551792752099332
C2 1e-09 7.471122719013784e-08 1.0935699171987896
I2 1e-09 -8.090606372688991e-08 1.0203199036433213
F1 1e-09 1.4772667842167596e-08 0.8614028847007206
